zoneID	money	freq
49001	5600.0	4
49003	6550.0	14
49005	34048.0	47
49007	14782.0	35
49009	0	0
49011	194751.0	215
49013	1700.0	3
49015	6000.0	13
49017	0	0
49019	15808.0	18
49021	34932.0	28
49023	81990.0	48
49025	0	0
49027	4201.0	12
49029	1000.0	3
49031	0	0
49033	4600.0	2
49035	1253940.0	1585
49037	2000.0	1
49039	5550.0	13
49041	1550.0	4
49043	281107.0	345
49045	6550.0	17
49047	3598.0	12
49049	420335.0	432
49051	8500.0	12
49053	62638.0	74
49055	2300.0	2
49057	62802.0	108
