zoneID	money	freq
54001	850.0	2
54003	38040.0	74
54005	5800.0	5
54007	7050.0	12
54009	2450.0	6
54011	47851.0	76
54013	2200.0	2
54015	7100.0	4
54017	4000.0	6
54019	21770.0	20
54021	1000.0	1
54023	15100.0	17
54025	44350.0	57
54027	4000.0	6
54029	14850.0	29
54031	1750.0	4
54033	60911.0	97
54035	17851.0	25
54037	29950.0	46
54039	526945.0	654
54041	1150.0	5
54043	1984.0	6
54045	8100.0	5
54047	0	0
54049	11100.0	16
54051	9550.0	13
54053	12250.0	15
54055	10700.0	20
54057	12350.0	17
54059	19300.0	22
54061	7251610.0	126
54063	300.0	1
54065	10050.0	17
54067	350.0	1
54069	134682.0	140
54071	5651.0	8
54073	1300.0	5
54075	1000.0	2
54077	1700.0	5
54079	40600.0	54
54081	35207.0	32
54083	15000.0	29
54085	5500.0	14
54087	9000.0	10
54089	0	0
54091	15350.0	11
54093	2250.0	2
54095	1500.0	2
54097	28500.0	38
54099	3150.0	9
54101	0	0
54103	3300.0	7
54105	0	0
54107	26331.0	37
54109	500.0	1
