zoneID	money	freq
13001	0	0
13003	0	0
13005	0	0
13007	0	0
13009	6800.0	13
13011	4600.0	6
13013	500.0	1
13015	1000.0	2
13017	4700.0	3
13019	0	0
13021	165091.0	246
13023	0	0
13025	4800.0	2
13027	8350.0	12
13029	6150.0	8
13031	19150.0	26
13033	1150.0	2
13035	0	0
13037	1000.0	1
13039	2650.0	5
13043	2000.0	3
13045	5750.0	6
13047	12300.0	15
13049	0	0
13051	182343.0	270
13053	0	0
13055	9900.0	9
13057	11250.0	14
13059	89949.0	220
13061	0	0
13063	39750.0	44
13065	1500.0	6
13067	268283.0	361
13069	3000.0	3
13071	27200.0	34
13073	43996.0	65
13075	0	0
13077	19700.0	18
13079	3150.0	4
13081	1500.0	4
13083	0	0
13085	3300.0	5
13087	0	0
13089	508295.0	733
13091	5650.0	6
13093	15600.0	13
13095	43160.0	76
13097	1850.0	10
13099	0	0
13101	0	0
13103	20700.0	11
13105	2400.0	1
13107	2550.0	10
13109	500.0	2
13111	1300.0	6
13113	45785.0	45
13115	13850.0	15
13117	24400.0	32
13119	0	0
13121	1584393.0	2064
13123	400.0	2
13125	0	0
13127	11350.0	19
13129	1000.0	1
13131	0	0
13133	19500.0	14
13135	158945.0	221
13137	8850.0	11
13139	33400.0	45
13141	550.0	2
13143	0	0
13145	35150.0	36
13147	4914.0	6
13149	250.0	1
13151	48584.0	51
13153	37902.0	63
13155	9700.0	8
13157	5500.0	11
13159	0	0
13161	0	0
13163	6200.0	9
13165	0	0
13167	0	0
13169	8300.0	6
13171	2000.0	5
13173	250.0	1
13175	8950.0	12
13177	0	0
13179	7500.0	11
13181	250.0	1
13183	0	0
13185	15100.0	20
13187	1800.0	5
13189	250.0	1
13191	1500.0	2
13193	2000.0	3
13195	500.0	1
13197	0	0
13199	0	0
13201	0	0
13205	12200.0	14
13207	20233.0	24
13209	1000.0	2
13211	750.0	2
13213	0	0
13215	160839.0	179
13217	18500.0	16
13219	19250.0	43
13221	2900.0	7
13223	7350.0	12
13225	9600.0	11
13227	18900.0	22
13229	500.0	1
13231	0	0
13233	5400.0	6
13235	12055.0	12
13237	2400.0	4
13239	0	0
13241	1700.0	5
13243	0	0
13245	45579.0	89
13247	12150.0	24
13249	500.0	1
13251	6850.0	11
13253	0	0
13255	2600.0	2
13257	14500.0	17
13259	0	0
13261	8000.0	14
13263	0	0
13265	1000.0	1
13267	11700.0	17
13269	15000.0	9
13271	1000.0	1
13273	0	0
13275	64400.0	72
13277	11900.0	29
13279	10950.0	17
13281	2450.0	10
13283	4650.0	4
13285	3750.0	12
13287	6150.0	5
13289	0	0
13291	500.0	1
13293	1400.0	6
13295	5955.0	15
13297	8950.0	14
13299	500.0	3
13301	0	0
13303	20341.0	29
13305	8500.0	13
13307	0	0
13309	0	0
13311	1000.0	1
13313	5250.0	12
13315	500.0	1
13317	400.0	2
13319	2000.0	2
13321	250.0	1
