zoneID	money	freq
30001	4960.0	10
30003	1700.0	3
30005	1410.0	5
30007	1400.0	3
30009	9922.0	18
30011	1050.0	4
30013	15200.0	25
30015	2413.0	7
30017	2400.0	7
30019	750.0	2
30021	250.0	1
30023	450.0	2
30025	900.0	2
30027	2420.0	8
30029	66844.0	119
30031	109371.0	136
30033	0	0
30035	1150.0	5
30037	0	0
30039	1000.0	1
30041	4200.0	10
30043	800.0	3
30045	500.0	2
30047	9550.0	25
30049	22745.0	56
30051	0	0
30053	750.0	3
30055	500.0	1
30057	7004.0	9
30059	6550.0	10
30061	200.0	1
30063	38679.0	68
30065	950.0	4
30067	2150.0	6
30069	0	0
30071	500.0	2
30073	7525.0	18
30075	1194.0	5
30077	0	0
30079	0	0
30081	24835.0	52
30083	4200.0	14
30085	950.0	4
30087	500.0	2
30089	9000.0	12
30091	2250.0	5
30093	5582.0	20
30095	5250.0	6
30097	5450.0	11
30099	1760.0	6
30101	3410.0	6
30103	0	0
30105	2344.0	5
30107	700.0	3
30109	250.0	1
30111	147440.0	273
