zoneID	money	freq
37001	44935.0	75
37003	22750.0	19
37005	8520.0	14
37007	2150.0	7
37009	6780.0	12
37011	13250.0	25
37013	47862.0	79
37015	600.0	2
37017	7703.0	12
37019	25607.0	68
37021	167277.0	367
37023	27260.0	43
37025	231547.0	108
37027	23340.0	40
37029	2550.0	4
37031	28490.0	47
37033	3349.0	6
37035	145065.0	207
37037	44718.0	74
37039	15826.0	16
37041	13000.0	28
37043	1450.0	5
37045	25800.0	38
37047	4675.0	7
37049	54550.0	104
37051	242874.0	371
37053	700.0	3
37055	18750.0	35
37057	21169.0	32
37059	42875.0	87
37061	6250.0	17
37063	129036.0	253
37065	19470.0	33
37067	877307.0	1233
37069	20450.0	25
37071	88632.0	160
37073	0	0
37075	0	0
37077	12150.0	29
37079	2315.0	10
37081	426222.0	572
37083	12950.0	25
37085	69314.0	125
37087	20330.0	44
37089	332831.0	544
37091	1550.0	5
37093	70927.0	60
37095	3700.0	12
37097	185463.0	268
37099	15250.0	30
37101	47985.0	85
37103	3000.0	2
37105	40700.0	63
37107	22850.0	34
37109	38046.0	71
37111	8495.0	19
37113	17650.0	18
37115	450.0	2
37117	6550.0	18
37119	1437440.0	1956
37121	2000.0	4
37123	2150.0	5
37125	100330.0	172
37127	86022.0	136
37129	370764.0	487
37131	700.0	3
37133	35272.0	62
37135	207921.0	314
37137	4400.0	9
37139	12450.0	20
37141	14550.0	36
37143	8150.0	19
37145	15345.0	29
37147	213115.0	364
37149	5700.0	25
37151	66302.0	97
37153	32227.0	18
37155	45505.0	105
37157	17222.0	38
37159	39500.0	43
37161	43604.0	58
37163	49300.0	71
37165	22550.0	24
37167	25175.0	50
37169	2300.0	8
37171	72160.0	158
37173	22065.0	13
37175	16200.0	35
37177	250.0	1
37179	83897.0	122
37181	38965.0	74
37183	1548795.0	1836
37185	500.0	1
37187	500.0	1
37189	33050.0	55
37191	39950.0	70
37193	40120.0	60
37195	32600.0	48
37197	7315.0	11
37199	2700.0	6
