zoneID	money	freq
31001	28049.0	52
31003	200.0	1
31005	4600.0	6
31007	0	0
31009	0	0
31011	250.0	1
31013	3700.0	11
31015	0	0
31017	0	0
31019	31950.0	70
31021	0	0
31023	3700.0	5
31025	12325.0	15
31027	1000.0	3
31029	600.0	1
31031	1905.0	6
31033	2350.0	5
31035	0	0
31037	7425.0	7
31039	8750.0	14
31041	250.0	1
31043	250.0	1
31045	0	0
31047	9150.0	18
31049	0	0
31051	200.0	1
31053	12550.0	17
31055	879072.0	1205
31057	0	0
31059	0	0
31061	0	0
31063	0	0
31065	500.0	2
31067	1150.0	6
31069	1700.0	3
31071	0	0
31073	1000.0	1
31075	500.0	2
31077	0	0
31079	36000.0	54
31081	3650.0	4
31083	450.0	2
31085	250.0	1
31087	500.0	1
31089	4500.0	17
31091	0	0
31093	0	0
31095	1450.0	6
31097	0	0
31099	2200.0	3
31101	430.0	3
31103	0	0
31105	3150.0	3
31107	1250.0	6
31109	318044.0	491
31111	13620.0	30
31113	10000.0	7
31115	0	0
31117	0	0
31119	26475.0	53
31121	0	0
31123	2450.0	7
31125	500.0	1
31127	4700.0	5
31129	500.0	2
31131	6500.0	11
31133	4650.0	4
31135	250.0	1
31137	750.0	2
31139	0	0
31141	21600.0	42
31143	4150.0	5
31145	4230.0	14
31147	2650.0	7
31149	0	0
31151	1470.0	4
31153	71816.0	120
31155	1650.0	4
31157	28189.0	60
31159	3700.0	6
31161	750.0	2
31163	0	0
31165	0	0
31167	1750.0	4
31169	0	0
31171	0	0
31173	250.0	1
31175	0	0
31177	38343.0	54
31179	1600.0	6
31181	500.0	1
31183	0	0
31185	5775.0	16
