zoneID	money	freq
36001	764540.0	1235
36003	32649.0	49
36005	562702.0	645
36007	235920.0	383
36009	89720.0	87
36011	27894.0	39
36013	18718.0	33
36015	89323.0	151
36017	27469.0	43
36019	287724.0	456
36021	346734.0	516
36023	81574.0	68
36025	20550.0	47
36027	792133.0	1187
36029	1187920.0	1495
36031	130641.0	192
36033	86800.0	115
36035	15550.0	16
36037	14400.0	28
36039	81050.0	119
36041	16500.0	19
36043	83032.0	99
36045	96725.0	141
36047	2964168.0	3929
36049	9300.0	12
36051	22380.0	34
36053	81170.0	173
36055	1162499.0	1726
36057	35654.0	59
36059	6203868.0	6689
36061	39947829.0	36789
36063	107550.0	203
36065	519806.0	730
36067	1085526.0	1452
36069	287676.0	462
36071	387601.0	541
36073	2375.0	6
36075	33780.0	54
36077	95670.0	149
36079	218490.0	406
36081	1872094.0	2105
36083	147677.0	281
36085	799127.0	1267
36087	451096.0	583
36089	53780.0	90
36091	572765.0	812
36093	204987.0	320
36095	81000.0	64
36097	6201.0	16
36099	18649.0	23
36101	412118.0	492
36103	3700312.0	3912
36105	106475.0	142
36107	9254.0	24
36109	214330.0	426
36111	263655.0	373
36113	209879.0	304
36115	82007.0	129
36117	8545.0	21
36119	10025599.0	10049
36121	4150.0	11
36123	30350.0	73
