zoneID	money	freq
48001	1500.0	4
48003	1250.0	3
48005	16200.0	16
48007	6650.0	6
48009	750.0	2
48011	0	0
48013	1250.0	3
48015	500.0	1
48017	2800.0	6
48019	1000.0	1
48021	5700.0	17
48023	0	0
48025	1500.0	3
48027	127770.0	175
48029	823764.0	1123
48031	9100.0	13
48033	0	0
48035	2500.0	6
48037	199350.0	142
48039	62276.0	77
48041	69965.0	147
48043	11950.0	11
48045	0	0
48047	1000.0	1
48049	15301.0	13
48051	4800.0	6
48053	2250.0	3
48055	2600.0	2
48057	3775.0	6
48059	0	0
48061	153277.0	164
48063	920.0	4
48065	0	0
48067	7500.0	5
48069	1300.0	4
48071	3000.0	3
48073	3050.0	5
48075	0	0
48077	250.0	1
48079	0	0
48081	0	0
48083	1250.0	2
48085	392589.0	384
48087	0	0
48089	1800.0	4
48091	54714.0	50
48093	3900.0	3
48095	0	0
48097	5900.0	7
48099	3750.0	9
48101	0	0
48103	0	0
48105	0	0
48107	1750.0	3
48109	0	0
48111	3450.0	7
48113	3170393.0	3249
48115	4250.0	7
48117	0	0
48119	0	0
48121	203915.0	256
48123	750.0	2
48125	0	0
48127	250.0	1
48129	250.0	1
48131	0	0
48133	2925.0	3
48135	20000.0	17
48137	4800.0	2
48139	8550.0	13
48141	518573.0	621
48143	10700.0	9
48145	750.0	3
48147	0	0
48149	6900.0	6
48151	0	0
48153	2350.0	7
48155	0	0
48157	211974.0	288
48159	0	0
48161	3080.0	3
48163	7500.0	7
48165	6850.0	11
48167	157312.0	191
48169	500.0	1
48171	2700.0	4
48173	0	0
48175	0	0
48177	1800.0	4
48179	0	0
48181	23305.0	21
48183	115600.0	113
48185	1250.0	2
48187	3200.0	5
48189	1250.0	3
48191	942.0	1
48193	500.0	1
48195	500.0	1
48197	0	0
48199	2386.0	3
48201	6074804.0	6354
48203	72065.0	78
48205	0	0
48207	250.0	1
48209	87518.0	122
48211	2000.0	3
48213	550.0	2
48215	558863.0	563
48217	9120.0	19
48219	4500.0	7
48221	4400.0	10
48223	2000.0	2
48225	1000.0	1
48227	850.0	2
48229	500.0	1
48231	750.0	3
48233	0	0
48235	0	0
48237	0	0
48239	500.0	1
48241	3650.0	3
48243	800.0	2
48245	169199.0	172
48247	0	0
48249	2500.0	4
48251	44132.0	61
48253	0	0
48255	2950.0	2
48257	3900.0	3
48259	22600.0	22
48261	0	0
48263	0	0
48265	6600.0	22
48267	1000.0	1
48269	0	0
48271	600.0	2
48273	4300.0	10
48275	0	0
48277	17718.0	19
48279	2000.0	4
48281	5475.0	7
48283	250.0	1
48285	2925.0	7
48287	0	0
48289	2500.0	2
48291	0	0
48293	1250.0	5
48295	250.0	1
48297	3300.0	3
48299	6300.0	4
48301	0	0
48303	49199.0	87
48305	2150.0	3
48307	0	0
48309	416931.0	429
48311	3000.0	3
48313	10400.0	12
48315	0	0
48317	500.0	1
48319	250.0	1
48321	9496.0	15
48323	18350.0	24
48325	1600.0	3
48327	0	0
48329	99865.0	81
48331	0	0
48333	4800.0	2
48335	0	0
48337	0	0
48339	208295.0	221
48341	5350.0	6
48343	61600.0	30
48345	0	0
48347	2250.0	5
48349	3000.0	6
48351	0	0
48353	1000.0	3
48355	317890.0	317
48357	750.0	2
48359	500.0	1
48361	4750.0	8
48363	0	0
48365	2900.0	2
48367	14700.0	23
48369	1600.0	3
48371	2250.0	3
48373	2700.0	3
48375	5400.0	10
48377	4690.0	5
48379	0	0
48381	15050.0	24
48383	0	0
48385	2400.0	1
48387	2400.0	1
48389	18750.0	16
48391	1000.0	1
48393	0	0
48395	2000.0	6
48397	12080.0	13
48399	0	0
48401	7950.0	6
48403	0	0
48405	0	0
48407	0	0
48409	16650.0	21
48411	1800.0	1
48413	0	0
48415	0	0
48417	1500.0	3
48419	1500.0	2
48421	1500.0	3
48423	91970.0	79
48425	2250.0	2
48427	12150.0	14
48429	7100.0	14
48431	0	0
48433	0	0
48435	1800.0	4
48437	6450.0	13
48439	524458.0	640
48441	8150.0	23
48443	0	0
48445	1850.0	4
48447	0	0
48449	0	0
48451	37975.0	67
48453	2020721.0	2992
48455	1000.0	1
48457	1000.0	1
48459	0	0
48461	0	0
48463	16100.0	16
48465	9550.0	23
48467	0	0
48469	41649.0	51
48471	2950.0	8
48473	6350.0	13
48475	0	0
48477	13000.0	18
48479	301856.0	286
48481	1250.0	2
48483	0	0
48485	24300.0	49
48487	0	0
48489	2400.0	1
48491	50625.0	62
48493	2050.0	5
48495	0	0
48497	1300.0	3
48499	1400.0	2
48501	4750.0	8
48503	4400.0	6
48505	0	0
48507	18300.0	36
