zoneID	money	freq
54001	3250.0	7
54003	20150.0	31
54005	6650.0	8
54007	8250.0	12
54009	5000.0	5
54011	125350.0	138
54013	2650.0	2
54015	2700.0	2
54017	4050.0	4
54019	16150.0	16
54021	51250.0	40
54023	10250.0	10
54025	20900.0	29
54027	3150.0	4
54029	49400.0	45
54031	4000.0	5
54033	241038.0	256
54035	13400.0	13
54037	38668.0	102
54039	646333.0	583
54041	13850.0	12
54043	16400.0	21
54045	16400.0	13
54047	2250.0	3
54049	208221.0	256
54051	6350.0	12
54053	750.0	2
54055	19900.0	28
54057	10600.0	7
54059	13800.0	10
54061	764690.0	690
54063	2000.0	4
54065	5000.0	10
54067	28500.0	17
54069	74990.0	71
54071	750.0	3
54073	1450.0	4
54075	1250.0	3
54077	48850.0	42
54079	45200.0	52
54081	107775.0	100
54083	17100.0	16
54085	7200.0	3
54087	4400.0	3
54089	4400.0	5
54091	4900.0	5
54093	7700.0	4
54095	0	0
54097	18350.0	15
54099	9200.0	11
54101	3000.0	3
54103	2700.0	8
54105	0	0
54107	61650.0	69
54109	250.0	1
