zoneID	money	freq
35004	0	0
35005	1000.0	2
35006	0	0
35007	2750.0	5
35010	5248.0	10
35014	0	0
35016	1250.0	2
35019	2000.0	2
35020	5425.0	23
35022	250.0	1
35023	2000.0	4
35031	2750.0	4
35033	0	0
35034	0	0
35035	0	0
35036	0	0
35040	500.0	1
35042	0	0
35043	0	0
35044	0	0
35045	0	0
35046	250.0	1
35049	1000.0	1
35051	0	0
35052	0	0
35053	2000.0	4
35054	250.0	1
35055	43050.0	57
35057	17250.0	15
35058	800.0	1
35060	0	0
35061	0	0
35062	0	0
35063	0	0
35064	0	0
35068	0	0
35070	0	0
35071	2000.0	2
35072	0	0
35073	0	0
35074	0	0
35077	8750.0	11
35078	0	0
35079	750.0	2
35080	2500.0	3
35082	0	0
35083	2500.0	3
35085	0	0
35087	0	0
35089	0	0
35091	0	0
35094	0	0
35096	0	0
35097	0	0
35098	0	0
350HH	0	0
350XX	0	0
35111	0	0
35112	0	0
35114	0	0
35115	500.0	1
35116	0	0
35117	0	0
35118	0	0
35119	0	0
35120	0	0
35121	6000.0	9
35124	2000.0	2
35125	250.0	1
35126	6000.0	7
35127	0	0
35128	0	0
35130	0	0
35131	0	0
35133	0	0
35135	0	0
35136	0	0
35139	0	0
35143	0	0
35146	750.0	2
35147	1000.0	1
35148	0	0
35149	0	0
35150	250.0	1
35151	0	0
35160	500.0	1
35171	0	0
35172	500.0	1
35173	1250.0	2
35175	2250.0	4
35176	0	0
35178	0	0
35179	1750.0	3
35180	0	0
35183	0	0
35184	0	0
35186	250.0	1
35188	0	0
351HH	0	0
351XX	0	0
35203	55599.0	78
35204	1250.0	3
35205	29500.0	45
35206	1000.0	1
35207	0	0
35208	1500.0	2
35209	21600.0	40
35210	3700.0	5
35211	3500.0	7
35212	0	0
35213	18799.0	41
35214	3000.0	3
35215	1000.0	1
35216	9650.0	12
35217	3982.0	4
35218	0	0
35221	250.0	1
35222	18400.0	29
35223	42450.0	68
35224	0	0
35226	5500.0	9
35228	0	0
35233	2125.0	4
35234	0	0
35235	2000.0	3
35242	23800.0	35
35243	27050.0	37
35244	9750.0	19
352HH	0	0
35401	6000.0	8
35403	7250.0	8
35404	6700.0	10
35405	4900.0	8
35406	7450.0	11
35441	0	0
35442	750.0	2
35443	0	0
35444	0	0
35446	1000.0	1
35447	0	0
35452	2000.0	2
35453	0	0
35456	0	0
35457	0	0
35458	0	0
35459	0	0
35460	0	0
35461	0	0
35462	0	0
35463	0	0
35464	0	0
35466	0	0
35469	0	0
35470	700.0	2
35471	0	0
35473	1000.0	1
35474	1750.0	3
35475	19000.0	20
35476	5500.0	6
35477	0	0
35480	0	0
35481	0	0
35490	0	0
354HH	0	0
354XX	0	0
35501	14600.0	16
35503	1250.0	3
35504	17300.0	23
35540	0	0
35541	0	0
35542	0	0
35543	0	0
35544	0	0
35545	0	0
35546	0	0
35548	4500.0	5
35549	0	0
35550	2000.0	2
35552	0	0
35553	1000.0	2
35554	0	0
35555	5000.0	9
35559	0	0
35563	0	0
35564	0	0
35565	1500.0	2
35570	1210.0	3
35571	0	0
35572	0	0
35574	0	0
35575	0	0
35576	0	0
35578	5000.0	8
35579	0	0
35580	0	0
35581	2000.0	2
35582	5000.0	7
35584	0	0
35585	0	0
35586	1500.0	2
35587	0	0
35592	1250.0	2
35593	0	0
35594	0	0
355HH	0	0
355XX	0	0
35601	27000.0	48
35603	22651.0	38
35610	0	0
35611	6750.0	10
35613	0	0
35614	0	0
35616	334.0	1
35618	250.0	1
35619	0	0
35620	0	0
35621	0	0
35622	0	0
35630	41550.0	62
35633	3200.0	5
35634	23450.0	30
35640	1250.0	4
35643	0	0
35645	7500.0	11
35646	1500.0	2
35647	0	0
35648	0	0
35649	5900.0	6
35650	0	0
35651	0	0
35652	1950.0	4
35653	3750.0	4
35654	0	0
35660	8925.0	14
35661	5250.0	7
35670	0	0
35671	200.0	1
35672	500.0	1
35673	0	0
35674	3500.0	5
35677	0	0
356HH	0	0
356XX	0	0
35739	0	0
35740	2100.0	3
35741	13000.0	18
35742	0	0
35744	0	0
35745	0	0
35746	0	0
35747	0	0
35748	750.0	3
35749	4650.0	10
35750	250.0	1
35751	0.0	4
35752	0	0
35754	2000.0	2
35755	0	0
35756	0	0
35757	2000.0	2
35758	37820.0	66
35759	750.0	3
35760	2000.0	4
35761	3450.0	6
35763	12300.0	24
35764	0	0
35765	0	0
35766	0	0
35768	1950.0	7
35769	4200.0	9
35771	0	0
35772	0	0
35773	1000.0	1
35774	0	0
35775	0	0
35776	0	0
357HH	0	0
357XX	0	0
35801	221290.0	380
35802	42716.0	89
35803	19750.0	32
35805	7200.0	17
35806	15250.0	24
35808	1000.0	1
35810	3750.0	10
35811	2450.0	9
35816	4900.0	7
35824	1000.0	3
358HH	0	0
358XX	0	0
35901	11600.0	18
35903	0	0
35904	0	0
35905	0	0
35906	2000.0	2
35907	0	0
35950	2000.0	3
35951	300.0	1
35952	200.0	1
35953	0	0
35954	1000.0	1
35956	0	0
35957	0	0
35958	0	0
35959	1750.0	4
35960	1750.0	4
35961	1750.0	3
35962	1000.0	1
35963	0	0
35966	0	0
35967	4750.0	7
35968	4000.0	5
35971	2000.0	5
35972	0	0
35973	0	0
35974	0	0
35975	0	0
