zoneID	money	freq
20001	178401.0	234
20002	242584.0	506
20003	409950.0	789
20004	307456.0	554
20005	579344.0	1035
20006	404738.0	513
20007	932397.0	1512
20008	893895.0	1513
20009	365244.0	676
20010	62550.0	81
20011	55608.0	104
20012	79900.0	145
20015	349195.0	649
20016	760658.0	1304
20017	11000.0	20
20018	17750.0	29
20019	5200.0	18
20020	15360.0	26
20024	47529.0	90
20032	3950.0	6
20036	627469.0	1051
20037	240403.0	417
200HH	0	0
20319	0	0
20332	0	0
20336	0	0
20375	0	0
203XX	0	0
