zoneID	money	freq
32008	0	0
32009	0	0
32011	750.0	2
32013	0	0
32024	0	0
32025	1500.0	2
32033	0	0
32034	7064.0	10
32038	0	0
32040	0	0
32043	800.0	2
32044	0	0
32046	0	0
32052	500.0	1
32053	0	0
32054	0	0
32055	1500.0	2
32058	0	0
32059	0	0
32060	700.0	3
32061	0	0
32062	0	0
32063	0	0
32065	500.0	1
32066	0	0
32068	0	0
32071	0	0
32072	0	0
32073	3200.0	9
32079	0	0
32082	39250.0	65
32083	0	0
32084	3200.0	7
32086	2965.0	5
32087	0	0
32091	8899.0	20
32092	500.0	1
32094	1250.0	2
32095	500.0	1
32096	0	0
32097	1000.0	1
320HH	0	0
320XX	0	0
32102	0	0
32110	0	0
32112	0	0
32113	2000.0	2
32114	9450.0	22
32117	0	0
32118	19750.0	31
32119	9200.0	16
32124	500.0	2
32127	5900.0	15
32130	1500.0	3
32131	300.0	1
32132	0	0
32134	0	0
32136	450.0	2
32137	2750.0	5
32138	0	0
32139	0	0
32140	0	0
32141	0	0
32145	0	0
32147	0	0
32148	0	0
32157	0	0
32159	3000.0	3
32164	500.0	1
32168	0	0
32169	2400.0	6
32174	23475.0	37
32176	32100.0	43
32177	0	0
32179	0	0
32180	250.0	1
32181	0	0
32182	0	0
32183	0	0
32185	0	0
32187	0	0
32189	0	0
32190	0	0
32193	0	0
32195	500.0	1
321HH	0	0
321XX	0	0
32202	51564.0	79
32204	12750.0	21
32205	23250.0	32
32206	200.0	3
32207	104100.0	154
32208	6900.0	16
32209	5400.0	13
32210	45164.0	70
32211	8300.0	11
32212	0	0
32215	0	0
32216	5600.0	12
32217	27233.0	52
32218	1800.0	7
32219	500.0	1
32220	750.0	2
32221	0	0
32222	0	0
32223	15750.0	27
32224	11400.0	15
32225	15900.0	27
32226	3250.0	6
32227	0	0
32233	24000.0	35
32234	0	0
32244	2650.0	6
32246	800.0	2
32250	7750.0	13
32254	2500.0	3
32256	29000.0	43
32257	32950.0	54
32258	1750.0	3
32259	1750.0	5
32266	11000.0	19
32277	8900.0	21
322HH	0	0
32301	20237.0	41
32303	25250.0	44
32304	3250.0	4
32308	49650.0	91
32310	1000.0	1
32311	6650.0	17
32312	92006.0	183
32320	450.0	2
32321	0	0
32322	0	0
32323	0	0
32324	500.0	1
32327	0	0
32328	500.0	1
32330	0	0
32331	0	0
32332	0	0
32333	250.0	1
32334	0	0
32335	0	0
32336	0	0
32337	0	0
32340	2000.0	2
32343	0	0
32344	3800.0	5
32346	0	0
32347	1000.0	1
32350	0	0
32351	1450.0	4
32355	0	0
32356	0	0
32357	0	0
32358	0	0
32359	0	0
32360	0	0
32361	0	0
32399	1500.0	2
323HH	0	0
323XX	0	0
32401	2750.0	5
32403	0	0
32404	0	0
32405	17250.0	19
32407	200.0	1
32408	6000.0	7
32409	1000.0	1
32410	0	0
32413	200.0	1
32420	0	0
32421	0	0
32422	0	0
32423	0	0
32424	500.0	1
32425	0	0
32426	0	0
32427	0	0
32428	900.0	3
32430	0	0
32431	0	0
32432	0	0
32433	1225.0	2
32437	0	0
32438	0	0
32439	0	0
32440	3250.0	3
32442	0	0
32443	0	0
32444	1000.0	1
32445	3000.0	3
32446	3250.0	7
32447	0	0
32448	300.0	1
32449	0	0
32455	0	0
32456	1250.0	4
32459	6595.0	9
32460	0	0
32462	0	0
32463	0	0
32464	0	0
32465	3600.0	6
32466	0	0
324HH	0	0
324XX	0	0
32501	6550.0	12
32503	9050.0	17
32504	3000.0	6
32505	0	0
32506	0	0
32507	2000.0	3
32508	0	0
32514	4500.0	7
32526	2450.0	14
32531	0	0
32533	0	0
32534	0	0
32535	0	0
32536	500.0	1
32539	0	0
32541	5800.0	7
32542	0	0
32544	0	0
32547	2000.0	2
32548	0	0
32561	5900.0	12
32564	0	0
32565	0	0
32566	2000.0	2
32567	0	0
32568	0	0
32569	4500.0	5
32570	0	0
32571	2000.0	4
32577	0	0
32578	10375.0	16
32579	1000.0	1
32580	250.0	1
32583	0	0
325HH	0	0
325XX	0	0
32601	5250.0	12
32603	5100.0	8
32605	34120.0	59
32606	5550.0	16
32607	16050.0	27
32608	14600.0	32
32609	0	0
32615	2500.0	6
32616	623.0	2
32617	0	0
32618	800.0	3
32619	0	0
32621	0	0
32622	0	0
32625	250.0	1
32626	300.0	1
32628	500.0	1
32639	0	0
32640	500.0	1
32641	0	0
32643	0	0
32648	0	0
32653	4316.0	9
32654	0	0
32656	250.0	1
32658	0	0
32662	0	0
32664	250.0	1
32666	0	0
32667	0	0
32668	0	0
32669	1250.0	2
32680	5000.0	5
32681	0	0
32683	0	0
32686	0	0
32692	0	0
32693	250.0	1
32694	0	0
32696	0	0
32697	0	0
326HH	0	0
326XX	0	0
32701	3700.0	6
32702	0	0
32703	4500.0	10
32706	0	0
32707	5450.0	9
32708	6760.0	20
32709	0	0
32712	5050.0	15
32713	1500.0	2
32714	19850.0	41
32720	5450.0	8
32724	850.0	3
32725	2600.0	5
32726	3600.0	8
32730	0	0
32732	283.0	1
32735	0	0
32736	0	0
32738	0	0
32744	0	0
32746	28400.0	53
32750	5300.0	12
32751	44550.0	103
32754	400.0	1
32757	12888.0	15
32759	0	0
32763	250.0	1
32764	0	0
32765	6850.0	21
32766	500.0	1
32767	0	0
32771	9250.0	13
32773	1000.0	1
32775	0	0
32776	1250.0	2
32778	0	0
32779	35800.0	85
32780	4281.0	13
32784	0	0
32789	195860.0	361
32792	12250.0	30
32796	2950.0	8
32798	0	0
327HH	0	0
327XX	0	0
32801	48750.0	99
32803	32187.0	72
32804	60896.0	123
32805	7105.0	17
32806	38633.0	84
32807	3000.0	7
32808	900.0	4
32809	3750.0	9
32810	2150.0	5
32811	4281.0	12
32812	15700.0	28
32817	9750.0	23
32818	1550.0	5
32819	64650.0	108
32820	0	0
32821	2500.0	7
32822	250.0	1
32824	2500.0	6
32825	7650.0	13
32826	4250.0	6
32827	2000.0	2
32828	1250.0	2
32829	0	0
32831	0	0
32832	500.0	1
32833	250.0	1
32835	12875.0	29
32836	31400.0	60
32837	4250.0	7
32839	2500.0	6
328HH	0	0
32901	12500.0	22
32903	21860.0	47
32904	9614.0	18
32905	23900.0	29
32907	2500.0	3
32908	0	0
32909	7000.0	7
32920	2000.0	4
32922	17100.0	26
32925	0	0
32926	2000.0	4
32927	250.0	1
32931	9950.0	18
32934	16500.0	33
32935	20130.0	31
32937	36350.0	50
32940	5350.0	10
32948	0	0
32949	0	0
32950	0	0
32951	7350.0	14
32952	21400.0	50
32953	7075.0	14
32955	12898.0	22
32958	1500.0	3
32960	8350.0	18
32962	2470.0	5
32963	43650.0	62
32966	3950.0	10
32967	1250.0	3
32968	5500.0	9
32970	1714.0	5
32976	500.0	1
329HH	0	0
329XX	0	0
33001	0	0
33004	6250.0	8
33009	16936.0	29
33010	500.0	1
33012	1500.0	4
33013	9500.0	15
33014	41500.0	56
33015	4050.0	9
33016	14850.0	26
33018	750.0	2
33019	20000.0	39
33020	9250.0	15
33021	77350.0	118
