zoneID	money	freq
60002	3500.0	7
60004	14100.0	27
60005	8700.0	21
60007	7450.0	10
60008	22442.0	107
60010	79850.0	120
60012	3520.0	7
60013	500.0	2
60014	1700.0	5
60015	110398.0	201
60016	13050.0	20
60018	38400.0	85
60020	1000.0	1
60021	0	0
60022	167351.0	309
60025	91995.0	159
60029	3050.0	6
60030	5900.0	9
60031	8250.0	12
60033	0	0
60034	0	0
60035	496172.0	858
60037	1750.0	4
60040	500.0	2
60041	250.0	1
60042	0	0
60043	31700.0	49
60044	10050.0	18
60045	89300.0	133
60046	5100.0	7
60047	29050.0	46
60048	12850.0	24
60050	2250.0	3
60053	20800.0	37
60056	1800.0	6
60060	6450.0	10
60061	12750.0	23
60062	134344.0	205
60064	0	0
60067	29675.0	48
60068	30050.0	51
60069	10000.0	20
60070	5500.0	10
60071	0	0
60072	0	0
60073	2000.0	3
60074	1000.0	2
60076	39800.0	60
60077	26450.0	38
60081	0	0
60083	1750.0	3
60084	0	0
60085	13400.0	20
60087	14400.0	16
60088	0	0
60089	27900.0	39
60090	10200.0	16
60091	185854.0	298
60093	299743.0	488
60096	0	0
60097	500.0	1
60098	1500.0	4
60099	2450.0	4
600HH	0	0
60101	4050.0	6
60102	1150.0	3
60103	4000.0	7
60104	0	0
60106	3750.0	5
60107	1550.0	3
60108	3000.0	3
60109	500.0	1
60110	0	0
60111	250.0	1
60112	0	0
60113	0	0
60115	8520.0	10
60118	1000.0	2
60119	2450.0	9
60120	0	0
60123	3000.0	5
60126	9350.0	19
60129	0	0
60130	5500.0	6
60131	250.0	1
60134	1200.0	4
60135	0	0
60136	0	0
60137	16260.0	38
60139	1250.0	2
60140	0	0
60141	0	0
60142	500.0	2
60143	1250.0	4
60145	0	0
60146	0	0
60148	7750.0	18
60150	0	0
60151	0	0
60152	4250.0	7
60153	2100.0	4
60154	3750.0	6
60155	0	0
60157	500.0	1
60160	2000.0	2
60162	250.0	1
60163	-1000.0	1
60164	4050.0	6
60165	500.0	1
60171	0	0
60172	1300.0	2
60173	5500.0	8
60174	5000.0	11
60175	4950.0	7
60176	0	0
60177	500.0	1
60178	250.0	1
60180	0	0
60181	9100.0	10
60184	750.0	2
60185	11800.0	14
60187	12100.0	27
60188	1850.0	4
60190	9015.0	17
60191	7000.0	9
60192	0	0
60193	5250.0	7
60194	2750.0	7
60195	3950.0	8
601HH	0	0
60201	186170.0	407
60202	88756.0	175
60203	15900.0	36
60301	3800.0	6
60302	92960.0	171
60304	5250.0	11
60305	52425.0	83
60401	0	0
60402	14250.0	19
60406	2300.0	6
60407	0	0
60408	0	0
60409	4600.0	8
60410	0	0
60411	1400.0	4
60415	250.0	1
60416	450.0	2
60417	3250.0	5
60419	7400.0	13
60420	1200.0	3
60421	0	0
60422	40525.0	82
60423	11050.0	16
60424	0	0
60425	1800.0	3
60426	4550.0	7
60429	9050.0	12
60430	4200.0	7
60431	5575.0	7
60432	2300.0	8
60433	750.0	2
60435	8950.0	14
60436	1000.0	1
60437	0	0
60438	3500.0	5
60439	3600.0	5
60440	2250.0	4
60441	9700.0	12
60442	0	0
60443	1850.0	6
60444	0	0
60445	3500.0	5
60446	0	0
60447	250.0	1
60448	12050.0	18
60449	250.0	1
60450	5500.0	7
60451	500.0	2
60452	1050.0	3
60453	6325.0	10
60455	7750.0	9
60456	0	0
60457	800.0	3
60458	0	0
