zoneID	money	freq
60002	2775.0	10
60004	40747.0	75
60005	12300.0	23
60007	21000.0	29
60008	14250.0	15
60010	257650.0	386
60012	11950.0	19
60013	3900.0	10
60014	27250.0	45
60015	98405.0	170
60016	7500.0	10
60018	3900.0	22
60020	500.0	1
60021	700.0	3
60022	139798.0	243
60025	155229.0	255
60029	6000.0	8
60030	18946.0	25
60031	5450.0	11
60033	5500.0	10
60034	0	0
60035	235987.0	388
60037	0	0
60040	500.0	1
60041	250.0	1
60042	0	0
60043	154874.0	251
60044	75033.0	126
60045	572414.0	913
60046	5375.0	7
60047	35050.0	79
60048	57698.0	98
60050	17700.0	26
60053	18100.0	31
60056	9133.0	20
60060	21008.0	28
60061	4250.0	8
60062	152020.0	270
60064	1650.0	4
60067	118558.0	167
60068	38903.0	80
60069	21650.0	32
60070	9070.0	17
60071	3000.0	6
60072	3500.0	5
60073	2000.0	3
60074	350.0	1
60076	14285.0	32
60077	14350.0	35
60081	250.0	1
60083	1700.0	4
60084	4300.0	9
60085	7750.0	17
60087	6464.0	10
60088	350.0	1
60089	14250.0	24
60090	8700.0	14
60091	165063.0	298
60093	537519.0	839
60096	0	0
60097	250.0	1
60098	32400.0	50
60099	10003.0	14
600HH	0	0
60101	6450.0	10
60102	11550.0	22
60103	5450.0	8
60104	250.0	1
60106	1550.0	5
60107	0	0
60108	10360.0	23
60109	0	0
60110	7000.0	7
60111	250.0	1
60112	0	0
60113	0	0
60115	26350.0	63
60118	17500.0	38
60119	11500.0	22
60120	3800.0	8
60123	32865.0	69
60126	29200.0	56
60129	0	0
60130	500.0	1
60131	8700.0	11
60134	26575.0	60
60135	0	0
60136	200.0	1
60137	43900.0	69
60139	2550.0	4
60140	31000.0	32
60141	0	0
60142	15000.0	18
60143	13550.0	22
60145	0	0
60146	3750.0	6
60148	10225.0	19
60150	250.0	1
60151	2250.0	7
60152	800.0	3
60153	3000.0	6
60154	5750.0	8
60155	1000.0	1
60157	1500.0	2
60160	1955.0	5
60162	0	0
60163	5850.0	15
60164	1428.0	4
60165	0	0
60171	0	0
60172	3450.0	4
60173	13100.0	17
60174	44560.0	113
60175	51000.0	72
60176	1350.0	2
60177	1875.0	4
60178	10100.0	29
60180	499.0	1
60181	22995.0	32
60184	12950.0	22
60185	14700.0	26
60187	63250.0	122
60188	1050.0	3
60190	12950.0	27
60191	4350.0	8
60192	0	0
60193	2300.0	6
60194	6380.0	10
60195	5000.0	10
601HH	0	0
60201	37250.0	75
60202	21276.0	33
60203	7000.0	8
60301	3684.0	8
60302	31500.0	55
60304	8250.0	12
60305	29775.0	51
60401	2000.0	2
60402	3600.0	5
60406	4000.0	4
60407	0	0
60408	500.0	1
60409	200.0	1
60410	6500.0	12
60411	1600.0	4
60415	1000.0	1
60416	0	0
60417	11400.0	14
60419	250.0	1
60420	8750.0	16
60421	8000.0	10
60422	28650.0	35
60423	30951.0	38
60424	3000.0	3
60425	1825.0	3
60426	-1000.0	1
60429	2700.0	4
60430	6875.0	14
60431	12500.0	17
60432	6000.0	7
60433	8000.0	9
60435	32472.0	43
60436	9500.0	13
60437	1500.0	2
60438	10100.0	16
60439	17025.0	27
60440	3250.0	4
60441	21750.0	26
60442	2500.0	3
60443	0	0
60444	1500.0	3
60445	3000.0	3
60446	1100.0	4
60447	8100.0	14
60448	13450.0	16
60449	1750.0	3
60450	24600.0	37
60451	7450.0	13
60452	1200.0	4
60453	6650.0	13
60455	8550.0	12
60456	400.0	1
60457	1237.0	4
60458	0	0
60459	0	0
60460	0	0
60461	4900.0	12
60462	9900.0	16
60463	13137.0	37
60464	22093.0	36
60465	1700.0	4
60466	5000.0	5
60467	4950.0	8
60468	3250.0	6
60469	400.0	2
60470	0	0
60471	750.0	3
60472	0	0
60473	10300.0	13
60474	4000.0	4
60475	0	0
60476	1250.0	2
60477	11200.0	17
60478	0	0
60479	0	0
60480	1000.0	1
60481	13750.0	15
60482	750.0	2
60490	0	0
604HH	0	0
60501	0	0
60504	6100.0	16
60505	21569.0	56
60506	43860.0	125
60510	12900.0	29
60511	2250.0	3
60512	12175.0	21
60513	1100.0	4
60514	18950.0	35
60515	41050.0	67
60516	18580.0	32
60517	3251.0	6
60518	1500.0	5
60519	0	0
60520	1500.0	5
60521	334805.0	476
60523	75501.0	125
60525	28283.0	53
60526	1750.0	4
60530	0	0
60531	0	0
60532	18250.0	33
60534	0	0
60536	0	0
60537	0	0
60538	3630.0	11
60539	0	0
60540	39375.0	86
60541	1950.0	7
60542	3610.0	9
60543	23475.0	58
60544	18075.0	25
60545	12400.0	28
60546	9450.0	25
60548	2500.0	9
60549	0	0
60550	0	0
60551	250.0	1
60552	950.0	2
60553	0	0
60554	6250.0	15
60555	8250.0	11
60556	1000.0	2
60557	0	0
60558	16875.0	33
60559	5250.0	11
60560	32375.0	77
60561	17400.0	25
60563	13275.0	33
60564	13600.0	24
60565	16950.0	30
605HH	0	0
60601	106100.0	160
60602	56933.0	87
60603	63325.0	97
60604	19375.0	30
60605	19250.0	29
60606	184549.0	261
60607	18500.0	34
60608	3600.0	8
60609	3150.0	6
60610	287383.0	473
60611	466100.0	684
60612	5050.0	7
60613	14160.0	33
60614	260377.0	423
60615	8300.0	16
60616	23750.0	29
60617	2800.0	4
60618	3000.0	5
60619	0	0
60620	3390.0	5
60621	1250.0	2
60622	22575.0	32
60623	0	0
60624	1250.0	2
60625	6300.0	17
60626	5250.0	8
60628	250.0	1
60629	1013.0	3
60630	4847.0	10
60631	13750.0	22
60632	2700.0	8
60633	0	0
60634	4200.0	8
60636	0	0
60637	6300.0	14
60638	1500.0	4
60639	950.0	4
60640	4742.0	8
60641	2100.0	4
60643	6380.0	12
60644	750.0	2
60645	18098.0	42
60646	22100.0	38
60647	6500.0	10
60649	4000.0	4
60651	0	0
60652	500.0	1
60653	1000.0	2
60654	0	0
60655	5500.0	10
60656	1750.0	4
60657	44933.0	86
60659	25950.0	42
60660	6249.0	10
60661	11950.0	20
606HH	0	0
60706	500.0	2
60707	3750.0	6
60712	14850.0	24
60714	5200.0	17
60803	2500.0	3
60804	1250.0	3
60805	1250.0	2
60827	0	0
608HH	0	0
60901	10250.0	18
60910	0	0
60911	0	0
60912	0	0
60913	0	0
60914	20000.0	25
60915	1000.0	2
60917	250.0	1
60918	0	0
60919	0	0
60920	0	0
60921	250.0	1
60922	0	0
60924	250.0	1
60926	0	0
60927	1227.0	2
60928	0	0
60929	0	0
60930	1200.0	3
60931	0	0
60932	0	0
60933	0	0
60934	0	0
60935	0	0
60936	850.0	3
60938	0	0
60940	750.0	2
60941	3792.0	6
60942	750.0	2
60945	0	0
60946	0	0
60948	3100.0	5
60949	250.0	1
60950	1000.0	1
60951	0	0
60952	250.0	1
60953	0	0
60954	1500.0	2
60955	0	0
60957	7450.0	15
60959	200.0	1
60960	250.0	1
60961	0	0
60962	2000.0	4
60963	250.0	1
60964	500.0	2
60966	0	0
60967	0	0
60968	0	0
60969	3000.0	3
60970	6050.0	14
60973	0	0
60974	0	0
609HH	0	0
61001	0	0
61006	1340.0	2
61007	0	0
61008	23588.0	40
61010	4450.0	10
61011	8000.0	10
61012	0	0
61013	0	0
61014	250.0	1
61015	0	0
61016	1250.0	2
61018	0	0
61019	0	0
61020	200.0	1
61021	4675.0	13
61024	750.0	2
61025	2200.0	7
61028	450.0	2
61030	0	0
61031	250.0	1
61032	6400.0	16
61036	1950.0	5
61037	0	0
61038	0	0
61039	0	0
61041	250.0	1
61042	0	0
61044	0	0
61046	6700.0	10
61047	6500.0	12
61048	0	0
61049	0	0
61050	0	0
61051	800.0	2
61052	0	0
61053	800.0	3
61054	1000.0	1
61057	0	0
61059	0	0
61060	500.0	1
61061	7550.0	18
61062	0	0
61063	1000.0	1
61064	200.0	1
61065	900.0	4
61067	0	0
61068	3950.0	10
61070	0	0
61071	750.0	3
61072	2750.0	5
61073	14146.0	23
61074	200.0	1
61075	0	0
61077	0	0
61078	0	0
61080	2000.0	4
61081	11500.0	27
61084	200.0	1
61085	500.0	2
61087	0	0
61088	2550.0	6
61089	0	0
61091	0	0
610HH	0	0
61101	2820.0	7
61102	7450.0	9
61103	27300.0	41
61104	4850.0	8
61107	117550.0	203
61108	6800.0	12
61109	7700.0	12
61111	3750.0	11
61112	400.0	1
61114	50550.0	90
61115	1750.0	4
611HH	0	0
61201	43671.0	83
61230	0	0
61231	2643.0	6
61232	0	0
61233	0	0
61234	0	0
61235	0	0
61236	0	0
61238	0	0
61239	0	0
61240	1500.0	3
61241	2225.0	3
61242	1250.0	2
61243	0	0
61244	18400.0	33
61250	0	0
61251	0	0
61252	0	0
61254	7760.0	17
61256	0	0
61257	500.0	1
61259	0	0
61260	0	0
61261	0	0
61262	0	0
61263	0	0
61264	11900.0	21
61265	105825.0	166
61270	700.0	3
61272	0	0
61273	1900.0	6
61274	0	0
61275	1000.0	2
61276	0	0
61277	1000.0	3
61279	0	0
61281	500.0	2
61282	750.0	3
61283	250.0	1
61284	3200.0	7
61285	1000.0	1
612HH	0	0
61301	8100.0	15
61310	250.0	1
61311	0	0
61312	0	0
61313	0	0
61314	0	0
61315	0	0
61316	0	0
61317	0	0
61318	0	0
61319	0	0
61320	0	0
61321	0	0
61322	500.0	1
61323	0	0
61324	0	0
61325	0	0
61326	2000.0	3
61327	387.0	1
61328	0	0
61329	300.0	1
61330	250.0	1
61331	0	0
61332	0	0
61333	0	0
61334	0	0
61335	0	0
61336	0	0
61337	0	0
61338	0	0
61340	0	0
61341	300.0	1
61342	2200.0	6
61344	0	0
61345	750.0	2
61346	0	0
61348	700.0	1
61349	700.0	3
61350	12675.0	21
61353	0	0
61354	7600.0	11
61356	13275.0	33
61358	0	0
61359	0	0
61360	1500.0	3
61361	0	0
61362	11325.0	17
61363	0	0
61364	3300.0	6
61367	0	0
61368	0	0
61369	4350.0	10
61370	0	0
61372	0	0
61373	1050.0	3
61374	0	0
61375	200.0	1
61376	700.0	3
61377	845.0	3
61378	200.0	1
61379	250.0	1
613HH	0	0
61401	12275.0	25
61410	250.0	1
61411	200.0	1
61412	0	0
61413	0	0
61414	3000.0	3
61415	0	0
61416	0	0
61417	0	0
61418	300.0	1
61419	0	0
61420	200.0	1
61421	650.0	2
61422	1550.0	6
61423	0	0
61424	0	0
61425	0	0
61426	0	0
61427	0	0
61428	300.0	1
61430	0	0
61431	0	0
61432	0	0
61434	3950.0	7
61435	0	0
61436	500.0	1
61437	1000.0	1
61438	250.0	1
61439	0	0
61440	0	0
61441	0	0
61442	0	0
61443	10450.0	23
61447	0	0
61448	0	0
61449	0	0
61450	0	0
61451	0	0
61452	0	0
61453	0	0
61454	0	0
61455	8100.0	24
61458	0	0
61459	0	0
61460	1250.0	2
61462	700.0	2
61465	0	0
61466	0	0
61467	0	0
61468	0	0
61469	550.0	2
61470	0	0
61471	0	0
61472	450.0	2
61473	0	0
61474	0	0
61475	0	0
61476	0	0
61477	0	0
61478	0	0
61479	0	0
61480	0	0
61482	0	0
61483	0	0
61484	1250.0	5
61485	0	0
61486	200.0	1
61488	0	0
61489	0	0
61490	0	0
61491	950.0	3
614HH	0	0
61501	0	0
61516	0	0
61517	4050.0	8
61519	0	0
61520	2200.0	7
61523	500.0	2
61524	0	0
61525	13650.0	34
61526	250.0	1
61528	7650.0	16
61529	1250.0	3
61530	1500.0	4
61531	900.0	4
61532	0	0
61533	0	0
61534	0	0
61535	2450.0	4
61536	250.0	1
61537	200.0	1
61539	0	0
61540	1000.0	1
61541	0	0
61542	0	0
61543	0	0
61544	0	0
61545	0	0
61546	0	0
61547	0	0
61548	11250.0	25
61550	33900.0	66
61552	0	0
61554	7150.0	22
61559	0	0
61560	0	0
61561	200.0	1
61563	0	0
61564	0	0
61565	1250.0	2
61567	0	0
61568	1000.0	1
61569	2000.0	2
61570	0	0
61571	10325.0	20
61572	250.0	1
615HH	0	0
61602	4350.0	12
61603	1150.0	5
61604	7400.0	21
61605	0	0
61606	500.0	1
61607	0	0
61610	0	0
61611	7000.0	18
61614	111575.0	247
61615	50250.0	105
616HH	0	0
61701	85225.0	181
61704	80050.0	160
61720	0	0
61721	0	0
61722	0	0
61723	2250.0	3
61724	0	0
61725	0	0
61726	2900.0	5
61727	4450.0	10
61728	1000.0	2
61729	0	0
61730	0	0
61731	0	0
61732	2000.0	2
61733	0	0
61734	200.0	1
61735	0	0
61736	1250.0	2
61737	0	0
61738	500.0	1
61739	1250.0	2
61740	0	0
61741	500.0	2
61742	0	0
61743	400.0	1
61744	3750.0	10
61745	500.0	1
61747	2400.0	7
61748	8300.0	20
61749	0	0
61750	0	0
61752	500.0	1
61753	4500.0	7
61754	2650.0	5
61755	0	0
61756	250.0	1
61758	0	0
61759	0	0
61760	1400.0	2
61761	19800.0	48
61764	10341.0	26
61769	0	0
61770	0	0
61771	0	0
61772	0	0
61773	0	0
61774	250.0	1
61775	0	0
61776	1500.0	2
61777	0	0
61778	0	0
617HH	0	0
61801	22584.0	60
61802	14750.0	26
61810	0	0
61811	0	0
61812	250.0	1
61813	0	0
61814	0	0
61815	0	0
61816	1000.0	2
61817	250.0	1
61818	0	0
61820	33535.0	58
61821	91725.0	175
61822	17848.0	39
61830	0	0
61831	0	0
61832	7450.0	14
61833	0	0
61834	500.0	2
61839	860.0	1
61840	0	0
61841	0	0
61842	2600.0	3
61843	2000.0	1
61844	0	0
61845	200.0	1
61846	0	0
61847	0	0
61848	0	0
61849	500.0	2
61850	0	0
61851	0	0
61852	0	0
61853	10200.0	22
61854	450.0	2
61855	0	0
61856	12410.0	27
61857	0	0
61858	0	0
61859	950.0	3
61862	0	0
61863	650.0	3
61864	1200.0	2
61865	0	0
61866	4250.0	11
61870	0	0
61871	0	0
61872	0	0
61873	6750.0	13
61874	9950.0	16
61875	500.0	1
61876	500.0	2
61877	2600.0	8
61878	250.0	1
61880	750.0	3
61882	500.0	1
61883	500.0	2
61884	0	0
618HH	0	0
61910	8400.0	12
61911	3200.0	4
61912	0	0
61913	250.0	1
61914	1000.0	1
61917	500.0	2
61919	0	0
61920	750.0	2
61924	2000.0	5
61925	0	0
61928	0	0
61929	500.0	1
61930	300.0	1
61931	0	0
61932	0	0
61933	0	0
61936	0	0
61937	0	0
61938	8900.0	12
61940	0	0
61941	0	0
61942	6450.0	11
61943	0	0
61944	26300.0	40
61949	0	0
61951	5250.0	11
61953	10300.0	22
61956	1900.0	6
61957	0	0
619HH	0	0
62001	600.0	1
62002	11950.0	25
62006	0	0
62009	0	0
62010	500.0	1
62011	0	0
62012	600.0	2
62013	0	0
62014	200.0	1
62015	0	0
62016	0	0
62017	0	0
62018	0	0
62019	0	0
62021	200.0	1
62022	0	0
62023	0	0
62024	500.0	1
62025	24600.0	46
62027	0	0
62028	0	0
62030	0	0
62031	0	0
62032	0	0
62033	500.0	1
62034	4700.0	9
62035	24370.0	39
62036	0	0
62037	0	0
62040	1645.0	7
62044	0	0
62045	0	0
62046	200.0	1
62047	0	0
62048	0	0
62049	2750.0	5
62050	0	0
62051	0	0
62052	2000.0	3
62053	0	0
62054	0	0
62056	1460.0	3
62058	0	0
62059	0	0
62060	0	0
62061	1050.0	3
62062	0	0
62063	0	0
62065	0	0
62067	450.0	2
62069	0	0
62070	0	0
62074	0	0
62075	0	0
62077	0	0
62078	0	0
62079	0	0
62080	0	0
62081	1500.0	3
62082	0	0
62083	0	0
62084	0	0
62085	0	0
62086	0	0
62087	0	0
62088	3000.0	4
62089	0	0
62090	0	0
62091	0	0
62092	0	0
62093	0	0
62094	0	0
62095	200.0	1
62097	0	0
620HH	0	0
62201	0	0
62203	0	0
62204	0	0
62205	0	0
62206	0	0
62207	0	0
62208	2100.0	3
62214	0	0
62215	0	0
62216	0	0
62217	0	0
62218	0	0
62219	0	0
62220	3400.0	4
62221	2900.0	5
62223	8350.0	15
62225	0	0
62226	1750.0	4
62230	0	0
62231	0	0
62232	0	0
62233	250.0	1
62234	16000.0	32
62236	0	0
62237	0	0
62238	0	0
62239	1000.0	1
62240	0	0
62241	0	0
62242	0	0
62243	1250.0	2
62244	0	0
62245	250.0	1
62246	500.0	1
62249	13750.0	19
62250	0	0
62253	0	0
62254	1000.0	1
62255	0	0
62257	0	0
62258	750.0	1
62260	300.0	1
62261	0	0
62262	0	0
62263	3000.0	5
62264	0	0
62265	0	0
62266	0	0
62268	0	0
62269	9272.0	15
62271	0	0
62272	0	0
62273	0	0
62274	0	0
62275	0	0
62277	0	0
62278	0	0
62279	0	0
62280	0	0
62281	2500.0	5
62283	0	0
62284	0	0
62285	0	0
62286	0	0
62288	0	0
62289	0	0
62292	0	0
62293	1450.0	3
62294	750.0	2
62295	0	0
62297	0	0
62298	2000.0	4
622HH	0	0
62301	73039.0	169
62311	0	0
62312	500.0	1
62313	0	0
62314	0	0
62316	0	0
62318	0	0
62319	0	0
62320	0	0
62321	1650.0	5
62323	0	0
62324	0	0
62325	0	0
62326	0	0
62330	0	0
62334	0	0
62336	0	0
62338	750.0	2
62339	0	0
62340	0	0
62341	0	0
62343	0	0
62344	0	0
62345	0	0
62346	0	0
62347	0	0
62348	0	0
62349	200.0	1
62351	0	0
62352	0	0
62353	0	0
62354	4000.0	4
62355	0	0
62356	1600.0	4
62357	0	0
62358	0	0
62359	0	0
62360	200.0	1
62361	0	0
62362	0	0
62363	1910.0	5
62365	0	0
62366	250.0	1
62367	250.0	1
62370	0	0
62373	0	0
62374	0	0
62375	500.0	1
62376	0	0
62378	0	0
62379	200.0	1
62380	0	0
623HH	0	0
62401	5750.0	11
62410	0	0
62411	200.0	1
62413	0	0
62414	0	0
62417	0	0
62418	0	0
62419	0	0
62420	500.0	1
62421	0	0
62422	0	0
62423	0	0
62424	0	0
62425	0	0
62426	0	0
62427	0	0
62428	0	0
62431	0	0
62432	0	0
62433	0	0
62434	0	0
62436	0	0
62438	0	0
62439	12500.0	14
62440	0	0
62441	0	0
62442	0	0
62443	0	0
