zoneID	money	freq
66002	16750.0	32
66006	1100.0	5
66007	0	0
66008	1000.0	1
66010	0	0
66012	3250.0	7
66013	3850.0	9
66014	0	0
66015	250.0	1
66016	0	0
66017	200.0	1
66018	1200.0	2
66019	0	0
66020	0	0
66021	0	0
66023	0	0
66024	0	0
66025	500.0	2
66026	250.0	1
66027	0	0
66030	2750.0	6
66032	200.0	1
66033	0	0
66035	0	0
66039	0	0
66040	1050.0	5
66041	0	0
66042	0	0
66043	2400.0	5
66044	36599.0	87
66046	9910.0	29
66047	32925.0	77
66048	17950.0	29
66049	28791.0	68
66050	0	0
66052	0	0
66053	10900.0	24
66054	1500.0	5
66056	0	0
66058	750.0	2
66060	0	0
66061	82425.0	159
66062	58450.0	125
66064	300.0	1
66066	0	0
66067	1960.0	5
66070	0	0
66071	6474.0	16
66072	750.0	2
66073	0	0
66075	0	0
66076	0	0
66077	0	0
66078	0	0
66079	0	0
66080	0	0
66083	2950.0	6
66085	26150.0	47
66086	4350.0	10
66087	0	0
66088	0	0
66090	0	0
66091	0	0
66092	2200.0	3
66093	0	0
66094	0	0
66095	0	0
66097	0	0
660HH	0	0
66101	7450.0	15
66102	2800.0	13
66103	4950.0	8
66104	1500.0	4
66105	0	0
66106	19650.0	37
66109	3500.0	10
66111	2000.0	2
66112	2500.0	5
66115	0	0
66118	0	0
661HH	0	0
66202	23250.0	46
66203	14550.0	33
66204	11793.0	27
66205	107150.0	219
66206	85130.0	181
66207	142000.0	286
66208	425473.0	783
66209	162734.0	341
66210	60875.0	123
66211	161818.0	277
66212	71305.0	151
66213	68765.0	145
66214	23800.0	54
66215	48447.0	93
66216	36250.0	75
66217	26200.0	44
66218	19218.0	28
66219	9550.0	23
66220	7300.0	14
66221	31550.0	58
66223	28518.0	58
66224	23900.0	45
66226	13250.0	20
66227	2850.0	6
662HH	0	0
66401	0	0
66402	3200.0	9
66403	0	0
66404	0	0
66406	500.0	1
66407	2500.0	4
66408	0	0
66409	0	0
66411	0	0
66412	0	0
66413	0	0
66414	0	0
66415	0	0
66416	0	0
66417	0	0
66418	0	0
66419	0	0
66422	0	0
66423	0	0
66424	0	0
66425	0	0
66427	2000.0	3
66428	0	0
66429	250.0	1
66431	0	0
66432	0	0
66434	0	0
66436	250.0	1
66438	0	0
66439	0	0
66440	0	0
66441	16050.0	31
66442	250.0	1
66449	0	0
66450	0	0
66451	0	0
664HH	0	0
664XX	0	0
66501	0	0
66502	20450.0	47
66503	6950.0	16
66506	0	0
66507	950.0	4
66508	1200.0	4
66509	0	0
66510	0	0
66512	850.0	3
66514	0	0
66515	0	0
66516	0	0
66517	0	0
66518	0	0
66520	250.0	1
66521	0	0
66522	0	0
66523	3400.0	10
66524	0	0
66526	0	0
66527	0	0
66528	0	0
66531	0	0
66532	250.0	1
66533	1000.0	3
66534	300.0	1
66535	0	0
66536	478.0	2
66537	0	0
66538	0	0
66539	2000.0	4
66540	0	0
66541	0	0
66542	1250.0	3
66543	0	0
66544	0	0
66546	0	0
66547	2000.0	2
