zoneID	money	freq
40003	0	0
40004	11200.0	16
40006	0	0
40007	1000.0	1
40008	0	0
40009	500.0	1
40010	0	0
40011	250.0	1
40012	0	0
40013	1950.0	4
40014	2450.0	9
40019	1700.0	8
40020	0	0
40022	0	0
40023	0	0
40026	2300.0	6
40031	2250.0	11
40033	700.0	2
40036	0	0
40037	0	0
40040	0	0
40045	0	0
40046	400.0	2
40047	250.0	1
40050	700.0	2
40051	0	0
40052	0	0
40055	0	0
40056	1000.0	1
40057	0	0
40058	500.0	1
40059	17600.0	82
40060	250.0	1
40062	0	0
40065	2700.0	10
40067	225.0	1
40068	2500.0	3
40069	8000.0	8
40070	0	0
40071	1550.0	5
40076	0	0
40077	0	0
40078	0	0
400HH	0	0
40104	0	0
40107	0	0
40108	5550.0	10
40109	0	0
40111	0	0
40115	0	0
40117	1000.0	1
40118	0	0
40119	0	0
40121	0	0
40140	0	0
40142	0	0
40143	450.0	2
40144	1000.0	1
40145	0	0
40146	-300.0	4
40150	0	0
40152	0	0
40155	0	0
40157	0	0
40160	1000.0	3
40162	0	0
40164	0	0
40165	2750.0	4
40170	0	0
40171	0	0
40175	1100.0	2
40176	0	0
40177	0	0
40178	0	0
401HH	0	0
401XX	0	0
40202	47615.0	183
40203	6035.0	18
40204	67890.0	138
40205	50370.0	150
40206	65370.0	148
40207	56900.0	175
40208	15535.0	45
40209	0	0
40210	3000.0	6
40211	8110.0	26
40212	5650.0	12
40213	3450.0	12
40214	4300.0	11
40215	-4250.0	3
40216	450.0	2
40217	650.0	2
40218	2650.0	13
40219	1360.0	23
40220	7200.0	23
40222	21800.0	112
40223	26408.0	96
40228	161.0	11
40229	0.0	5
40241	24425.0	80
40242	2900.0	15
40243	1300.0	39
40245	6550.0	27
40258	200.0	1
40272	2200.0	4
40291	3600.0	12
40299	1006.0	29
402HH	0	0
40310	500.0	1
40311	1250.0	4
40312	1500.0	4
40313	0	0
40316	0	0
40322	0	0
40324	8550.0	18
40328	0	0
40330	3950.0	9
40334	0	0
40336	500.0	1
40337	0	0
40339	0	0
40342	4804.0	9
40346	0	0
40347	7250.0	8
40348	0	0
40350	0	0
40351	2650.0	7
40353	16950.0	26
40355	0	0
40356	15700.0	24
40358	4300.0	8
40359	1250.0	4
40360	5500.0	7
40361	4700.0	10
