zoneID	money	freq
70001	58750.0	102
70002	102814.0	186
70003	37900.0	73
70005	252510.0	441
70006	26800.0	45
70030	5000.0	7
70031	0	0
70032	2500.0	4
70036	0	0
70037	18250.0	22
70038	0	0
70039	0	0
70040	6000.0	10
70041	1000.0	1
70043	4925.0	8
70047	5950.0	12
70049	0	0
70050	0	0
70051	0	0
70052	200.0	1
70053	2500.0	5
70056	26200.0	49
70057	2000.0	3
70058	7150.0	13
70062	6999.0	13
70065	41984.0	87
70066	0	0
70067	5000.0	4
70068	3100.0	9
70070	2200.0	5
70071	0	0
70072	22575.0	33
70075	0	0
70076	0	0
70079	450.0	2
70080	0	0
70082	0	0
70083	0	0
70084	6000.0	11
70085	2000.0	2
70086	0	0
70087	2500.0	5
70090	0	0
70091	0	0
70092	1000.0	1
70094	300.0	1
700HH	0	0
700XX	0	0
70112	72524.0	97
70113	11650.0	15
70114	2750.0	6
70115	132800.0	235
70116	16250.0	27
70117	2500.0	4
70118	149017.0	227
70119	10900.0	19
70121	28012.0	38
70122	24570.0	49
70123	51300.0	85
70124	105050.0	209
70125	30500.0	53
70126	3550.0	6
70127	450.0	2
70128	7150.0	11
70129	2000.0	2
70130	138075.0	226
70131	51800.0	79
70163	24934.0	44
701HH	0	0
701XX	0	0
70301	19600.0	44
70339	0	0
70341	500.0	1
70342	14250.0	30
70343	3900.0	8
70344	0	0
70345	13360.0	22
70346	5000.0	8
70353	0	0
70354	35500.0	37
70355	0	0
70356	0	0
70357	7500.0	8
70358	0	0
70359	0	0
70360	23800.0	36
70363	4200.0	6
70364	900.0	3
70372	0	0
70373	10110.0	21
70374	60198.0	73
70375	0	0
70377	0	0
70380	19200.0	44
70390	500.0	1
70391	500.0	1
70392	8250.0	15
70393	1000.0	3
70394	2350.0	5
70395	0	0
70397	0	0
703HH	0	0
703XX	0	0
70401	7281.0	18
70403	2250.0	3
70420	0	0
70422	1550.0	4
70426	250.0	1
70427	15500.0	21
70431	7450.0	9
70433	92450.0	151
70435	5950.0	14
70436	700.0	2
70437	4200.0	7
70438	10000.0	21
70441	2000.0	2
70442	0	0
70443	0	0
70444	400.0	2
70445	500.0	1
70446	2750.0	4
70447	8650.0	17
70448	34280.0	65
70449	600.0	1
70450	0	0
70451	0	0
70452	2500.0	3
70453	0	0
70454	2200.0	6
70455	200.0	1
70456	300.0	1
70458	12650.0	22
