zoneID	money	freq
20601	3450.0	6
20602	6100.0	12
20603	4500.0	11
20606	500.0	1
20607	7421.0	14
20608	750.0	2
20609	0	0
20611	0	0
20612	0	0
20613	1000.0	2
20615	6250.0	7
20616	3800.0	5
20617	4874.0	9
20618	0	0
20619	7950.0	13
20620	0	0
20621	2000.0	3
20622	3800.0	7
20623	550.0	2
20624	0	0
20625	0	0
20626	250.0	1
20628	2000.0	2
20629	3000.0	6
20630	1000.0	1
20632	0	0
20634	2500.0	4
20636	5150.0	13
20637	5750.0	9
20639	3000.0	5
20640	4700.0	11
20645	4715.0	7
20646	18811.0	38
20650	14150.0	29
20653	17200.0	28
20657	2851.0	8
20658	0	0
20659	9000.0	13
20662	0	0
20664	2000.0	3
20667	0	0
20670	0	0
20674	0	0
20675	775.0	2
20676	250.0	1
20677	2000.0	5
20678	4600.0	8
20680	250.0	1
20684	500.0	1
20685	6700.0	11
20687	450.0	2
20688	6700.0	12
20689	500.0	1
20690	2200.0	3
20692	1000.0	2
20693	0	0
20695	1500.0	6
206HH	0	0
20701	0	0
20705	7250.0	18
20706	5950.0	12
20707	15300.0	28
20708	9500.0	17
20710	1000.0	3
20711	3250.0	6
20712	200.0	1
20714	0	0
20715	28932.0	55
20716	8500.0	16
20720	10325.0	29
20721	50400.0	83
20722	950.0	3
20723	20750.0	38
20724	5000.0	8
20732	1000.0	1
20733	2255.0	6
20735	25650.0	65
20736	3600.0	8
20737	2600.0	4
20740	19300.0	39
20743	4625.0	7
20744	38920.0	67
20745	1550.0	7
20746	5700.0	11
20747	1250.0	2
20748	8800.0	17
20751	2438.0	6
20754	6450.0	12
20755	250.0	1
20758	200.0	1
20759	1675.0	4
20762	0	0
20763	0	0
20764	3900.0	8
20765	5178.0	11
20769	8200.0	12
20770	7800.0	16
20772	42285.0	85
20774	10460.0	18
20776	4133.0	6
20777	13700.0	21
20778	1750.0	5
20779	200.0	1
20781	4900.0	9
20782	16300.0	26
20783	3775.0	8
20784	4350.0	8
20785	19386.0	30
20794	4050.0	9
207HH	0	0
20812	3550.0	10
20814	333571.0	631
20815	984489.0	1720
20816	568311.0	1044
20817	638355.0	1093
20818	50604.0	80
20832	12159.0	30
20833	7000.0	10
20837	10000.0	13
20838	1950.0	4
20839	0	0
20841	2750.0	6
20842	3250.0	5
20850	90210.0	163
20851	7250.0	9
20852	211822.0	395
20853	32745.0	58
20854	1132486.0	1825
20855	34987.0	61
20860	16500.0	19
20861	6250.0	9
20862	1200.0	4
20866	25650.0	39
20868	12750.0	15
20871	3450.0	8
20872	3500.0	10
20874	35693.0	67
20876	18950.0	33
20877	22810.0	46
20878	144338.0	241
20879	23900.0	41
20880	2500.0	4
20882	29775.0	58
20886	15350.0	35
20895	116010.0	234
20896	7400.0	15
208HH	0	0
20901	75373.0	147
20902	50150.0	119
20903	16510.0	30
20904	104620.0	210
20905	17437.0	35
20906	69369.0	130
20910	120975.0	238
20912	47597.0	108
209HH	0	0
21001	1850.0	5
21005	0	0
21009	2234.0	10
21010	500.0	1
21012	34850.0	55
21013	3700.0	8
21014	10234.0	24
21015	22877.0	40
21017	250.0	1
21028	14875.0	19
21029	41800.0	70
21030	60950.0	126
21031	2500.0	3
21032	15600.0	28
21034	400.0	2
21035	21300.0	47
21036	500.0	1
21037	19085.0	39
21040	1750.0	3
21042	47063.0	109
21043	12350.0	30
21044	53155.0	120
21045	47950.0	90
21046	23210.0	42
21047	7300.0	18
21048	2750.0	7
21050	750.0	2
21051	0	0
21052	0	0
21053	2450.0	4
21054	3600.0	9
21056	15050.0	29
21057	5200.0	14
21060	500.0	1
21061	2600.0	10
21071	23100.0	39
21074	1350.0	5
21075	950.0	4
21076	750.0	2
21077	0	0
21078	750.0	2
21082	250.0	1
21084	3800.0	6
21085	3000.0	6
21087	4000.0	10
21090	500.0	2
21093	150635.0	307
210HH	0	0
21102	8150.0	14
21104	0	0
21105	0	0
21108	8100.0	13
21111	24500.0	43
21113	500.0	1
21114	16785.0	41
21117	87649.0	168
21120	2400.0	7
21122	9300.0	20
21128	500.0	1
21130	1750.0	4
21131	26489.0	47
21132	500.0	1
21133	3850.0	11
21136	20925.0	41
21140	11250.0	36
21144	4800.0	11
21146	58450.0	106
21152	21800.0	39
21154	2250.0	3
21155	3250.0	7
21156	0	0
21157	6000.0	20
21158	2650.0	5
21160	340.0	1
21161	1500.0	2
21162	3398.0	6
21163	6578.0	14
211HH	0	0
21201	84699.0	155
21202	97254.0	159
21204	114273.0	207
21205	2230.0	6
21206	4500.0	8
21207	7100.0	16
21208	121080.0	262
21209	71550.0	130
21210	117066.0	213
21211	6500.0	13
21212	84675.0	173
21213	1242.0	11
21214	1647.0	5
21215	15650.0	32
21216	200.0	1
21217	7430.0	22
21218	70575.0	145
21219	500.0	1
21220	4630.0	11
21221	2874.0	7
21222	3250.0	9
21223	5250.0	11
21224	9200.0	21
21225	5150.0	9
21226	200.0	1
21227	9200.0	18
21228	21000.0	46
21229	8548.0	20
21230	33950.0	63
21231	9500.0	19
21234	13400.0	22
21236	3900.0	9
21237	3700.0	6
21239	1900.0	6
21244	10584.0	14
21286	40550.0	87
212HH	0	0
21401	213689.0	391
21402	8300.0	13
21403	166475.0	282
21405	12340.0	21
214HH	0	0
21502	8250.0	17
21520	300.0	1
21521	0	0
21522	0	0
21523	0	0
21524	250.0	1
21528	0	0
21529	0	0
21530	0	0
21531	300.0	1
21532	8750.0	23
21536	0	0
21538	0	0
21539	0	0
21540	0	0
21541	0	0
21542	0	0
21543	0	0
21545	1000.0	2
21550	1000.0	2
21555	0	0
21557	0	0
21560	0	0
21561	1000.0	1
21562	500.0	1
215HH	0	0
21601	82351.0	118
21607	0	0
21610	0	0
21612	2100.0	6
21613	4591.0	10
21617	1820.0	3
21619	3950.0	7
21620	16550.0	29
21622	5700.0	11
21623	0	0
21624	3000.0	3
21625	0	0
21626	0	0
21627	0	0
21628	0	0
21629	3200.0	6
21631	0	0
21632	0	0
21634	0	0
21635	1295.0	3
21636	0	0
21638	1818.0	8
21639	0	0
21640	0	0
21641	0	0
21643	1200.0	2
21644	0	0
21645	0	0
21647	250.0	1
21648	0	0
21649	0	0
21650	0	0
21651	500.0	2
21653	0	0
21654	23550.0	54
21655	2000.0	2
21657	250.0	1
21658	14410.0	26
21659	0	0
21660	0	0
21661	1700.0	4
21662	4950.0	11
21663	12550.0	28
21664	1250.0	4
21665	3900.0	7
21666	34700.0	56
21667	0	0
21668	300.0	4
21669	0	0
21671	0	0
21672	0	0
21673	14050.0	18
21675	0	0
21676	250.0	1
21677	0	0
21678	2561.0	8
21679	1000.0	1
216HH	0	0
21701	61200.0	69
21702	6337.0	20
21703	2725.0	6
21704	1350.0	4
21710	0	0
21711	0	0
21713	3100.0	7
21716	0	0
21717	250.0	1
21718	0	0
21719	0	0
21722	0	0
21723	500.0	1
21727	0	0
21733	200.0	1
21734	0	0
21737	3500.0	5
21738	18450.0	34
21740	9885.0	23
21742	26650.0	45
21750	0	0
21754	9100.0	25
21755	2333.0	3
21756	250.0	1
21757	0	0
21758	500.0	2
