zoneID	money	freq
55001	18200.0	44
55003	0	0
55005	0	0
55006	0	0
55007	550.0	1
55008	105.0	5
55009	1250.0	2
55010	0	0
55011	450.0	2
55012	0	0
55013	2450.0	8
55014	15900.0	37
55016	7650.0	16
55017	0	0
55018	1200.0	2
55019	0	0
55020	750.0	2
55021	3100.0	9
55024	9741.0	18
55025	21650.0	35
55026	0	0
55027	0	0
55030	0	0
55031	0	0
55032	0	0
55033	21550.0	55
55036	0	0
55037	0	0
55038	8150.0	12
55040	0	0
55041	250.0	1
55042	16077.0	41
55043	38350.0	71
55044	37774.0	79
55045	0	0
55046	1000.0	2
55047	9800.0	20
55049	0	0
55051	1150.0	7
55052	0	0
55053	1500.0	2
55055	8315.0	17
55056	1500.0	2
55057	5250.0	15
55060	4255.0	19
55063	750.0	2
55065	0	0
55066	6915.0	26
55068	6050.0	22
55069	1000.0	4
55070	250.0	1
55071	0	0
55072	0	0
55073	7550.0	14
55074	2960.0	7
55075	8585.0	17
55076	6352.0	16
55077	6270.0	22
55079	500.0	2
55080	0	0
55082	72949.0	167
55084	0	0
55085	1750.0	5
55087	0	0
55088	0	0
55089	8000.0	8
55090	0	0
55092	400.0	2
550HH	0	0
55101	46637.0	104
55102	127382.0	276
55103	9100.0	18
55104	62566.0	150
55105	171835.0	373
55106	20045.0	32
55107	10093.0	19
55108	60685.0	142
55109	10415.0	26
55110	104993.0	220
55112	66725.0	157
55113	51649.0	122
55114	44658.0	73
55115	23640.0	52
55116	71415.0	172
55117	18850.0	43
55118	153172.0	341
55119	11700.0	31
55120	10464.0	27
55121	9650.0	22
55122	18575.0	53
55123	25635.0	64
55124	35898.0	76
55125	53900.0	116
55126	62141.0	159
55127	98500.0	244
55128	7800.0	15
55129	9150.0	17
55150	600.0	2
551HH	0	0
55301	250.0	1
55302	2000.0	7
55303	38725.0	93
55304	44400.0	92
55305	98374.0	221
55306	17258.0	43
55307	0	0
55308	1500.0	3
55309	235.0	10
55310	750.0	2
55311	15950.0	33
55312	0	0
55313	3550.0	8
55314	0	0
55315	500.0	1
55316	15850.0	33
55317	31836.0	61
55318	26450.0	45
55319	200.0	1
55320	1900.0	5
55321	950.0	3
55322	250.0	1
55324	0	0
55325	250.0	1
55327	3800.0	8
55328	13000.0	21
55329	0	0
55330	2204.0	4
55331	193277.0	349
55332	250.0	1
55333	0	0
55334	0	0
55335	0	0
55336	0	0
55337	20550.0	50
55338	250.0	1
55339	0	0
55340	30600.0	65
55341	1700.0	3
55342	2100.0	6
55343	42290.0	105
55344	33920.0	65
55345	47520.0	104
55346	13260.0	31
55347	121301.0	268
55349	0	0
55350	8600.0	29
55352	5400.0	14
55353	250.0	1
55354	1250.0	2
55355	10650.0	19
55356	160262.0	268
55357	4000.0	11
55358	1000.0	6
55359	19950.0	49
55360	0	0
55362	3701.0	7
55363	0	0
55364	26450.0	56
55367	250.0	1
55368	0	0
55369	12715.0	27
55370	500.0	1
55371	525.0	2
55372	47200.0	75
55373	750.0	2
55374	3950.0	7
55375	0	0
55376	1550.0	3
55378	1550.0	3
55379	7750.0	15
55381	500.0	1
55382	0	0
55384	2750.0	4
55385	250.0	1
55386	3450.0	7
55387	11750.0	17
