zoneID	money	freq
63005	129130.0	177
63010	6400.0	16
63011	31300.0	58
63012	700.0	2
63013	0	0
63014	0	0
63015	0	0
63016	0	0
63017	189040.0	284
63019	3000.0	3
63020	750.0	2
63021	44250.0	65
63023	0	0
63025	4500.0	8
63026	23350.0	32
63028	3450.0	5
63030	0	0
63031	5950.0	12
63033	20450.0	34
63034	22850.0	36
63036	1000.0	1
63037	0	0
63038	21500.0	28
63039	0	0
63040	11350.0	14
63041	0	0
63042	9700.0	14
63043	20000.0	35
63044	12200.0	15
63048	2000.0	2
63049	9450.0	14
63050	5000.0	11
63051	1000.0	1
63052	1500.0	2
63055	1250.0	2
63056	0	0
63060	0	0
63061	0	0
63068	1000.0	1
63069	6500.0	11
63070	0	0
63071	0	0
63072	0	0
63074	1000.0	2
63077	7000.0	7
63080	200.0	1
63084	1000.0	1
63087	0	0
63088	250.0	1
63089	5500.0	6
63090	2200.0	6
63091	0	0
630HH	0	0
63101	98840.0	148
63102	55700.0	79
63103	8750.0	19
63104	34660.0	72
63105	380812.0	626
63106	3000.0	5
63107	2050.0	5
63108	164301.0	279
63109	15525.0	26
63110	32650.0	51
63111	1900.0	6
63112	48355.0	85
63113	9050.0	14
63114	24000.0	35
63115	7050.0	12
63116	6600.0	12
63117	72601.0	124
63118	21750.0	28
63119	92391.0	153
63120	6200.0	7
63121	15700.0	31
63122	130175.0	223
63123	24783.0	32
63124	273817.0	398
63125	4500.0	8
63126	6200.0	13
63127	37550.0	54
63128	52650.0	71
63129	46167.0	62
63130	140863.0	295
63131	306300.0	447
63132	57980.0	93
63133	750.0	2
63134	1750.0	3
63135	11030.0	22
63136	3850.0	14
63137	2000.0	4
63138	7500.0	9
63139	10875.0	23
63140	0	0
63141	245935.0	384
63143	2650.0	6
63144	36150.0	56
63146	57100.0	79
63147	3760.0	10
631HH	0	0
63301	44397.0	99
63303	38950.0	81
63304	16850.0	35
63330	0	0
63332	1250.0	2
63333	0	0
63334	2200.0	6
63336	1000.0	1
63339	0	0
63341	2900.0	7
63343	0	0
63344	0	0
63345	0	0
63347	0	0
63348	750.0	2
63349	1200.0	3
63350	0	0
63351	0	0
63352	500.0	1
63353	1490.0	6
63357	5000.0	5
63359	0	0
63361	300.0	1
63362	0	0
63363	0	0
63366	17400.0	33
63367	15425.0	26
63369	0	0
63370	0	0
63373	1250.0	4
63376	15750.0	26
63377	0	0
63379	12211.0	29
63381	0	0
63382	250.0	1
63383	1800.0	5
63384	0	0
63385	14000.0	24
63386	500.0	1
63387	0	0
63388	0	0
63389	0	0
63390	3500.0	5
633HH	0	0
63401	30450.0	67
63430	0	0
63431	0	0
63432	0	0
63433	0	0
63434	0	0
63435	750.0	2
63436	250.0	1
63437	200.0	1
63438	0	0
63439	500.0	1
63440	0	0
63441	0	0
63443	0	0
63445	0	0
63446	0	0
63447	0	0
63448	250.0	1
63450	200.0	1
63451	0	0
63452	0	0
63453	0	0
63454	250.0	1
63456	5800.0	14
63457	250.0	1
63458	0	0
63459	4800.0	13
63460	0	0
63461	3450.0	12
63462	1100.0	5
63463	0	0
63464	0	0
63465	0	0
63468	300.0	1
63469	450.0	2
63471	1400.0	3
63472	0	0
63473	0	0
63474	0	0
634HH	0	0
63501	7400.0	21
63530	750.0	2
63531	0	0
63532	250.0	1
63533	0	0
63534	0	0
63535	0	0
63536	0	0
63537	250.0	1
63538	0	0
63539	0	0
63540	0	0
63541	0	0
63543	0	0
63544	0	0
63545	0	0
63546	0	0
63547	0	0
63548	125.0	2
63549	0	0
63551	0	0
63552	4150.0	6
63555	200.0	1
63556	250.0	1
63557	0	0
63558	300.0	1
63559	250.0	1
63560	0	0
63561	0	0
63563	0	0
63565	0	0
63566	0	0
63567	0	0
635HH	0	0
63601	2000.0	4
63620	0	0
63621	0	0
63622	1000.0	3
63623	0	0
63624	250.0	1
63625	1000.0	3
63626	0	0
63627	1500.0	3
63628	5000.0	10
