zoneID	money	freq
59001	250.0	1
59002	0	0
59003	0	0
59006	0	0
59007	0	0
59008	0	0
59010	0	0
59011	250.0	1
59012	0	0
59013	0	0
59014	0	0
59015	0	0
59016	0	0
59018	900.0	2
59019	300.0	1
59020	0	0
59022	0	0
59024	0	0
59025	0	0
59026	0	0
59027	8550.0	16
59028	2950.0	8
59029	0	0
59030	500.0	2
59031	0	0
59032	3188.0	5
59033	0	0
59034	0	0
59035	0	0
59036	0	0
59037	2200.0	6
59038	200.0	1
59039	0	0
59041	0	0
59043	0	0
59044	5725.0	11
59046	0	0
59047	24306.0	42
59050	0	0
59052	13158.0	14
59053	0	0
59054	0	0
59055	0	0
59057	0	0
59058	0	0
59059	0	0
59061	0	0
59062	0	0
59063	0	0
59064	0	0
59065	250.0	1
59066	0	0
59067	0	0
59068	1250.0	4
59069	0	0
59070	0	0
59071	0	0
59072	800.0	3
59074	0	0
59075	0	0
59076	0	0
59077	0	0
59078	0	0
59079	0	0
59081	0	0
59085	0	0
59086	0	0
59087	0	0
59088	0	0
59089	0	0
590HH	0	0
590XX	0	0
59101	16499.0	35
59102	30410.0	71
59105	3000.0	8
59106	12500.0	28
59201	0	0
59211	0	0
59212	0	0
59213	0	0
59214	0	0
59215	0	0
59217	0	0
59218	0	0
59219	0	0
59221	0	0
59222	0	0
59223	0	0
59225	0	0
59226	0	0
59230	1250.0	3
59231	0	0
59241	0	0
59242	0	0
59243	0	0
59244	0	0
59247	0	0
59248	447.0	2
59250	0	0
59252	0	0
59253	0	0
59254	800.0	3
59255	300.0	1
59257	0	0
59258	0	0
59259	200.0	1
59260	0	0
59261	0	0
59262	0	0
59263	2250.0	6
59270	0	0
59274	0	0
59275	0	0
59276	0	0
592HH	0	0
59301	4200.0	6
59311	0	0
59313	0	0
59314	0	0
59315	0	0
59317	0	0
59318	0	0
59322	0	0
59323	0	0
59324	0	0
59326	0	0
59327	500.0	1
59330	1546.0	6
59332	0	0
59333	0	0
59336	0	0
59337	0	0
59338	0	0
59339	0	0
59343	0	0
59344	0	0
59347	0	0
59348	0	0
59349	0	0
59351	0	0
59353	0	0
59354	0	0
593HH	0	0
593XX	0	0
59401	20350.0	34
59404	12753.0	42
59405	3450.0	11
59410	0	0
59411	0	0
59412	0	0
59414	0	0
59416	250.0	1
59417	1000.0	1
59419	0	0
59420	0	0
59421	750.0	2
59422	1000.0	1
59424	0	0
59425	500.0	2
59427	0	0
59430	0	0
59432	0	0
59433	2450.0	6
59434	0	0
59436	0	0
59440	0	0
59441	0	0
59442	400.0	3
59443	300.0	1
59444	0	0
59446	0	0
59447	0	0
59448	0	0
59450	0	0
59451	0	0
59452	0	0
59453	0	0
59454	0	0
59456	3250.0	5
59457	3150.0	8
59460	0	0
59462	0	0
59463	0	0
59464	0	0
59465	0	0
59466	0	0
59467	0	0
59468	0	0
59469	0	0
59471	0	0
59472	0	0
59474	0	0
59477	0	0
59479	0	0
59480	250.0	1
59482	0	0
59483	0	0
59484	0	0
59485	0	0
59486	0	0
59487	0	0
594HH	0	0
594XX	0	0
59501	9200.0	15
59520	200.0	1
59521	0	0
59522	1074.0	4
59523	0	0
59524	0	0
59525	1900.0	5
59526	0	0
59527	0	0
59528	0	0
59529	0	0
59530	0	0
59531	0	0
59532	0	0
59535	0	0
59537	0	0
59538	0	0
59540	1500.0	3
59542	0	0
59544	0	0
59545	0	0
59546	0	0
59547	0	0
595HH	0	0
59601	68596.0	137
59602	450.0	2
59631	0	0
59632	750.0	2
59633	0	0
59634	0	0
59635	0	0
59636	0	0
59638	0	0
59639	1000.0	2
59640	0	0
59642	0	0
59643	0	0
59644	250.0	1
59645	0	0
59648	450.0	2
596HH	0	0
596XX	0	0
59701	6600.0	16
59710	0	0
59711	7250.0	18
59713	0	0
59714	6900.0	13
59715	53835.0	119
59716	300.0	1
59718	9950.0	22
59720	0	0
59721	0	0
59722	0	0
59725	3050.0	8
59727	0	0
59728	0	0
59729	0	0
59730	2000.0	2
59731	0	0
59733	0	0
59735	0	0
59736	0	0
59739	0	0
59740	0	0
59741	0	0
59743	0	0
59745	0	0
59746	0	0
59747	0	0
59748	0	0
59749	1965.0	3
59750	0	0
59751	0	0
59752	0	0
59754	0	0
59755	0	0
59756	500.0	1
59758	250.0	1
59759	0	0
59761	0	0
59762	0	0
597HH	0	0
597XX	0	0
59801	22558.0	50
59802	26226.0	69
59803	16162.0	45
59804	2850.0	8
59808	6500.0	15
59820	0	0
59821	4750.0	8
59823	0	0
59824	1200.0	4
59825	2000.0	5
59826	200.0	1
59827	0	0
59828	0	0
59829	200.0	1
59831	0	0
59832	0	0
59833	3850.0	9
59834	0	0
59836	0	0
59837	0	0
59840	14350.0	19
59841	0	0
59842	0	0
59843	0	0
59844	0	0
59845	0	0
59846	0	0
59847	0	0
59848	0	0
59851	0	0
59853	0	0
59854	8000.0	8
59855	3000.0	3
59858	0	0
59859	0	0
59860	13050.0	38
59864	700.0	3
59865	0	0
59866	0	0
59867	0	0
59868	4500.0	6
59870	500.0	2
59871	0	0
59872	0	0
59873	0	0
59874	450.0	2
59875	1000.0	1
598HH	0	0
598XX	0	0
59901	17550.0	48
59910	0	0
59911	8350.0	14
59912	800.0	3
59913	0	0
59914	0	0
59915	0	0
59916	500.0	1
59917	250.0	1
59918	0	0
59919	0	0
59920	0	0
59921	0	0
59922	1000.0	1
59923	0	0
59925	4000.0	4
59926	0	0
59927	0	0
59928	0	0
59929	0	0
59930	0	0
59931	0	0
59932	0	0
59933	0	0
59934	250.0	1
59935	0	0
59936	0	0
59937	17330.0	24
599HH	0	0
