zoneID	money	freq
27006	21900.0	50
27007	0	0
27009	0	0
27011	250.0	1
27012	16600.0	32
27013	500.0	1
27014	0	0
27016	0	0
27017	0	0
27018	0	0
27019	0	0
27020	1000.0	1
27021	500.0	1
27022	0	0
27023	9150.0	16
27024	0	0
27025	12250.0	20
27027	200.0	1
27028	6400.0	17
27030	17300.0	26
27040	2100.0	4
27041	3000.0	6
27042	0	0
27043	0	0
27045	1250.0	2
27046	0	0
27047	0	0
27048	0	0
27050	500.0	1
27051	0	0
27052	500.0	1
27053	0	0
27054	0	0
27055	500.0	2
270HH	0	0
27101	2400.0	6
27103	6500.0	15
27104	194950.0	331
27105	300.0	1
27106	120477.0	217
27107	1300.0	2
27109	1000.0	1
27127	1000.0	1
271HH	0	0
27202	0	0
27203	7000.0	19
27207	1000.0	1
27208	0	0
27209	500.0	1
27212	0	0
27214	1000.0	2
27215	22900.0	39
27217	500.0	1
27229	500.0	1
27231	0	0
27233	0	0
27235	0	0
27239	-25.0	1
27242	0	0
27243	0	0
27244	0	0
27248	0	0
27249	2223.0	5
27252	0	0
27253	500.0	1
27256	0	0
27258	0	0
27260	800.0	2
27262	7325.0	15
27263	0	0
27265	11750.0	27
27278	0	0
27281	0	0
27282	4750.0	11
27283	0	0
27284	12150.0	21
27288	500.0	2
27291	0	0
27292	2200.0	3
27295	0	0
27298	250.0	1
27299	0	0
272HH	0	0
27301	0	0
27302	2500.0	3
27305	0	0
27306	3625.0	7
27310	1000.0	3
27311	0	0
27312	6600.0	16
27313	2000.0	2
27314	1250.0	2
27315	250.0	1
27316	0	0
27317	500.0	1
27320	3400.0	8
27325	0	0
27326	0	0
27330	2400.0	7
27341	0	0
27342	0	0
27343	0	0
27344	8500.0	9
27349	0	0
27350	0	0
27355	0	0
27356	0	0
27357	0	0
27358	1100.0	2
27360	1100.0	4
27370	500.0	1
27371	450.0	2
27376	675.0	3
27377	4500.0	7
27379	750.0	3
273HH	0	0
27401	4050.0	10
27403	2300.0	5
27405	925.0	5
27406	690.0	3
27407	7900.0	14
27408	32988.0	81
27409	0	0
27410	10250.0	17
27455	6050.0	7
274HH	0	0
27501	0	0
27502	8250.0	10
27503	0	0
27504	1750.0	3
27505	0	0
27506	1000.0	1
27507	0	0
27508	0	0
27509	0	0
27510	1975.0	4
27511	15700.0	27
27513	16300.0	23
27514	28600.0	58
27516	7245.0	15
27520	4000.0	4
27521	250.0	1
27522	0	0
27524	1100.0	3
27525	1500.0	3
27526	2150.0	5
27529	1450.0	3
27530	11100.0	25
27534	17450.0	32
27536	950.0	3
27540	0	0
27541	1000.0	1
27542	0	0
27544	0	0
27545	2000.0	7
27546	0	0
27549	0	0
27551	0	0
27553	0	0
27555	0	0
27557	0	0
27559	0	0
27560	2500.0	4
27562	0	0
27563	0	0
27565	1000.0	1
