zoneID	money	freq
58001	0	0
58004	750.0	2
58005	0	0
58006	6000.0	7
58007	0	0
58008	0	0
58009	0	0
58011	0	0
58012	2500.0	5
58013	0	0
58015	0	0
58016	0	0
58017	0	0
58018	0	0
58021	0	0
58027	0	0
58029	0	0
58030	0	0
58031	0	0
58032	400.0	1
58033	0	0
58035	0	0
58036	0	0
58038	0	0
58039	0	0
58040	0	0
58041	4000.0	4
58042	500.0	1
58043	0	0
58045	0	0
58046	1000.0	2
58047	5250.0	8
58048	0	0
58049	0	0
58051	0	0
58052	0	0
58053	0	0
58054	2400.0	7
58056	0	0
58057	0	0
58058	0	0
58059	2000.0	3
58060	0	0
58061	0	0
58062	0	0
58063	0	0
58064	1700.0	5
58067	1750.0	4
58068	0	0
58069	0	0
58071	0	0
58072	0	0
58075	4200.0	6
58077	0	0
58078	4300.0	8
58079	0	0
58081	0	0
580HH	0	0
58102	31700.0	56
58103	51210.0	102
58104	35400.0	63
58201	12525.0	30
58202	0	0
58203	250.0	1
58204	0	0
58210	0	0
58212	0	0
58213	0	0
58214	0	0
58216	0	0
58218	0	0
58219	0	0
58220	0	0
58222	0	0
58223	0	0
58224	0	0
58225	0	0
58227	0	0
58228	0	0
58229	0	0
58230	500.0	1
58231	0	0
58233	0	0
58235	1950.0	5
58236	0	0
58237	3500.0	6
58238	0	0
58239	0	0
58240	0	0
58241	0	0
58243	0	0
58244	0	0
58249	0	0
58250	0	0
58251	0	0
58254	0	0
58255	0	0
58256	0	0
58257	0	0
58258	0	0
58259	0	0
58260	0	0
58261	0	0
58262	0	0
58265	0	0
58266	0	0
58267	1000.0	1
58269	0	0
58270	0	0
58271	0	0
58272	0	0
58273	0	0
58274	0	0
58275	300.0	1
58276	0	0
58277	0	0
58278	0	0
58281	0	0
58282	0	0
582HH	0	0
58301	250.0	1
58310	0	0
58311	0	0
58313	0	0
58316	0	0
58317	0	0
58318	300.0	1
58321	0	0
58323	0	0
58324	650.0	3
58325	0	0
58327	0	0
58329	0	0
58330	0	0
58331	0	0
58332	0	0
58335	0	0
58338	0	0
58341	0	0
58343	0	0
58344	500.0	1
58345	0	0
58346	0	0
58348	200.0	1
58351	0	0
58352	0	0
58353	0	0
58355	0	0
58356	200.0	1
58357	0	0
58359	0	0
58361	0	0
58362	0	0
58363	0	0
58365	0	0
58366	0	0
58367	0	0
58368	0	0
58369	0	0
58370	0	0
58372	0	0
58374	0	0
58377	0	0
58379	0	0
58380	0	0
58381	0	0
58382	500.0	1
58384	0	0
58385	250.0	1
58386	0	0
583HH	0	0
58401	250.0	1
58413	0	0
58415	0	0
58416	300.0	1
58418	0	0
58420	0	0
58421	250.0	1
