zoneID	money	freq
89001	0	0
89003	0	0
89004	500.0	2
89005	77325.0	143
89007	500.0	1
89008	0	0
89010	1000.0	1
89011	15150.0	26
89012	33810.0	59
89013	0	0
89014	235103.0	400
89015	29025.0	46
89017	0	0
89018	0	0
89019	6000.0	10
89020	500.0	1
89021	1000.0	2
89022	0	0
89024	7075.0	16
89025	0	0
89027	3000.0	5
89028	1500.0	4
89029	16250.0	23
89030	17250.0	26
89031	9250.0	14
89032	250.0	1
89039	0	0
89040	250.0	1
89042	0	0
89043	0	0
89046	850.0	4
89047	0	0
89048	1300.0	4
89049	0	0
89052	11400.0	26
890HH	0	0
890XX	0	0
89101	32050.0	51
89102	230074.0	398
89103	56700.0	82
89104	35610.0	62
89106	14700.0	23
89107	63225.0	97
89108	20500.0	36
89109	230792.0	302
89110	12700.0	26
89113	270250.0	402
89115	3935.0	9
89117	283223.0	431
89118	56909.0	78
89119	69507.0	116
89120	53020.0	92
89121	58675.0	101
89122	3950.0	8
89123	33100.0	59
89124	6950.0	14
89128	78437.0	118
89129	86672.0	163
89130	13750.0	23
89131	6250.0	10
89134	250237.0	420
89135	6625.0	13
89139	13350.0	20
89141	0	0
89142	1450.0	4
89143	0	0
89144	6400.0	15
89145	5750.0	9
89146	36239.0	63
89147	13375.0	24
89148	1000.0	4
89149	7850.0	14
89156	250.0	1
89191	0	0
891XX	0	0
89301	500.0	2
89310	0	0
89311	0	0
89314	250.0	1
89316	250.0	1
89317	0	0
89318	0	0
893HH	0	0
893XX	0	0
89403	50.0	2
89404	0	0
89405	0	0
89406	1000.0	4
89408	750.0	2
89409	0	0
89410	7800.0	17
89411	6000.0	10
89413	18500.0	29
89414	500.0	1
89415	250.0	1
89418	0	0
89419	1650.0	5
89420	0	0
89421	0	0
89422	0	0
89423	9170.0	26
89424	0	0
89425	0	0
89426	0	0
89427	0	0
89428	865.0	1
89429	600.0	2
89430	4000.0	11
89431	10400.0	16
89433	4000.0	5
89434	9400.0	18
89436	4000.0	9
89439	4750.0	9
89440	1000.0	1
89442	0	0
89444	250.0	1
89445	7750.0	13
89447	14770.0	21
89448	30065.0	51
89449	12750.0	16
89451	39000.0	52
894HH	0	0
894XX	0	0
89501	35500.0	51
89502	50157.0	92
89503	9325.0	22
89506	8000.0	13
89509	204788.0	386
89510	20319.0	37
89511	122088.0	219
89512	1200.0	4
89523	5000.0	11
895XX	0	0
89701	10100.0	13
89703	16500.0	30
89704	7250.0	11
89705	5120.0	10
89706	6020.0	13
897HH	0	0
897XX	0	0
89801	5350.0	14
89803	2800.0	5
89815	2200.0	3
89820	835.0	2
89821	0	0
89822	0	0
89823	500.0	1
89824	0	0
89825	3000.0	4
89826	0	0
89828	1500.0	3
89830	0	0
89831	0	0
89832	0	0
89833	0	0
89834	1000.0	1
89835	3250.0	7
89883	250.0	1
898XX	0	0
