zoneID	money	freq
29001	250.0	1
29003	3600.0	6
29006	8550.0	10
29009	600.0	2
29010	1800.0	6
29014	2000.0	2
29015	0	0
29016	4500.0	8
29018	700.0	3
29020	8950.0	32
29030	1000.0	1
29031	0	0
29032	0	0
29033	4500.0	5
29036	23400.0	38
29037	0	0
29038	0	0
29039	0	0
29040	243.0	1
29042	2000.0	2
29044	500.0	1
29045	1000.0	4
29046	0	0
29047	0	0
29048	0	0
29051	0	0
29052	0	0
29053	1000.0	4
29054	4750.0	9
29055	500.0	1
29056	500.0	1
29058	700.0	2
29059	300.0	1
29061	1750.0	3
29062	0	0
29063	6800.0	22
29065	0	0
29067	750.0	2
29069	0	0
29070	3250.0	5
29072	45403.0	93
29073	3900.0	9
29074	750.0	2
29075	0	0
29078	1100.0	3
29079	0	0
29080	0	0
29081	0	0
29082	0	0
290HH	0	0
290XX	0	0
29101	0	0
29102	6500.0	17
29104	0	0
29105	0	0
29107	0	0
29108	2200.0	5
29111	0	0
29112	0	0
29113	0	0
29114	0	0
29115	9116.0	14
29118	8000.0	10
29122	0	0
29123	500.0	1
29124	0	0
29125	0	0
29126	0	0
29127	1750.0	3
29128	1200.0	2
29129	1500.0	3
29130	2200.0	3
29132	0	0
29133	0	0
29135	2950.0	7
29137	0	0
29138	2500.0	3
29142	500.0	1
29145	0	0
29146	0	0
29148	200.0	1
29150	10710.0	30
29152	0	0
29153	0	0
29154	2450.0	6
29160	1250.0	3
29161	250.0	1
29162	500.0	1
29163	0	0
29164	0	0
29166	0	0
29168	0	0
29169	10650.0	23
29170	4700.0	7
29172	0	0
29175	0	0
29177	0	0
29178	0	0
29180	450.0	2
291HH	0	0
291XX	0	0
29201	52125.0	89
29202	50375.0	89
29203	3000.0	6
29204	28600.0	51
29205	65542.0	135
29206	81080.0	149
29207	0	0
29209	17474.0	41
29210	6450.0	18
29212	20900.0	51
29223	29400.0	48
29229	3300.0	6
292HH	0	0
292XX	0	0
29301	7950.0	15
29302	77025.0	119
29303	1500.0	3
29306	14650.0	17
29307	10337.0	21
29316	3500.0	5
29320	2200.0	3
29321	0	0
29322	1500.0	5
29323	500.0	1
29325	2075.0	5
29330	1000.0	1
29332	1000.0	2
29334	1200.0	2
29335	200.0	1
29338	0	0
29340	13824.0	33
29341	7750.0	13
29349	250.0	1
29351	200.0	1
29353	0	0
29355	0	0
29356	4500.0	6
29360	9650.0	21
29364	0	0
29365	0	0
29369	400.0	2
29370	0	0
29372	0	0
29373	0	0
29374	2000.0	4
29375	0	0
29376	2200.0	4
29377	0	0
29379	250.0	1
