zoneID	money	freq
05001	2900.0	7
05031	0	0
05032	0	0
05033	1400.0	5
05034	1200.0	4
05035	0	0
05036	250.0	1
05037	0	0
05038	0	0
05039	0	0
05040	0	0
05041	0	0
05042	0	0
05043	0	0
05045	250.0	1
05046	0	0
05048	0	0
05051	0	0
05052	0	0
05053	0	0
05054	0	0
05055	6200.0	9
05056	0	0
05058	0	0
05059	3450.0	8
05060	1000.0	3
05061	0	0
05062	1200.0	2
05065	0	0
05067	0	0
05068	500.0	1
05069	0	0
05070	0	0
05071	600.0	1
05072	250.0	1
05073	200.0	1
05074	0	0
05075	250.0	1
05076	0	0
05077	1750.0	3
05079	0	0
05081	0	0
05083	0	0
05084	0	0
05085	0	0
05086	0	0
05088	0	0
05089	250.0	1
05091	2600.0	7
050HH	0	0
05101	1000.0	1
05142	200.0	1
05143	1500.0	6
05146	0	0
05148	700.0	3
05149	250.0	1
05150	250.0	1
05151	600.0	3
05152	0	0
05153	0	0
05154	1000.0	1
05155	1500.0	4
05156	1400.0	2
05158	200.0	1
05161	250.0	1
05201	3291.0	6
05250	3200.0	6
05251	7430.0	20
05252	0	0
05253	0	0
05254	2700.0	4
05255	5400.0	13
05257	250.0	1
05260	0	0
05261	451.0	2
05262	750.0	3
05301	9800.0	25
05340	0	0
05341	0	0
05342	0	0
05343	0	0
05344	0	0
05345	1750.0	4
05346	1000.0	3
05350	1500.0	3
05351	0	0
05352	0	0
05353	0	0
05354	0	0
05355	0	0
05356	0	0
05358	0	0
05359	0	0
05360	0	0
05361	0	0
05362	0	0
05363	0	0
053HH	0	0
053XX	0	0
05401	38800.0	73
05403	18100.0	47
05404	250.0	1
05440	0	0
05441	0	0
05442	0	0
05443	500.0	1
05444	1250.0	4
05445	12750.0	20
05446	5450.0	13
05448	0	0
05450	0	0
05452	3050.0	7
05454	1000.0	2
05455	0	0
05456	0	0
05457	0	0
05458	1000.0	1
05459	0	0
05461	1000.0	1
05462	0	0
05463	0	0
05464	0	0
05465	2150.0	7
05468	750.0	2
05471	0	0
05472	500.0	2
05473	0	0
05474	0	0
05476	0	0
05477	1500.0	2
05478	5600.0	11
05482	17150.0	42
05483	0	0
05486	1000.0	1
05487	0	0
05488	1700.0	4
05489	1000.0	3
05491	3050.0	9
05492	0	0
05494	2000.0	2
05495	5950.0	11
054HH	0	0
05602	6950.0	17
05640	200.0	1
05641	1000.0	3
05647	0	0
05648	200.0	1
05649	0	0
05650	0	0
05651	2000.0	2
05652	0	0
05653	0	0
05654	0	0
05655	3000.0	4
05656	950.0	4
05657	0	0
05658	0	0
05660	0	0
05661	1700.0	3
05663	800.0	2
05664	0	0
05666	0	0
05667	500.0	1
05669	1150.0	3
05672	9450.0	15
05673	0	0
05674	0	0
05675	0	0
05676	400.0	2
05677	1000.0	1
05678	0	0
05679	250.0	1
05680	0	0
05681	0	0
05682	750.0	3
056HH	0	0
05701	20593.0	48
05730	0	0
05732	0	0
05733	450.0	2
05734	0	0
05735	0	0
05736	0	0
05737	2500.0	3
05738	6000.0	13
05739	1000.0	1
05742	700.0	3
05743	250.0	1
05744	0	0
05746	0	0
05747	0	0
05748	0	0
05750	0	0
05751	6450.0	10
05753	6050.0	17
05757	0	0
05758	1000.0	3
05759	0	0
05760	250.0	1
05761	335.0	1
05762	0	0
05763	250.0	1
05764	0	0
05765	1750.0	6
05766	0	0
05767	500.0	2
05769	0	0
05770	0	0
05772	0	0
05773	0	0
05774	450.0	2
05775	0	0
05776	0	0
05777	0	0
05778	250.0	1
057HH	0	0
05819	750.0	2
05820	0	0
05821	0	0
05822	0	0
05824	0	0
05825	0	0
05826	0	0
05827	0	0
05828	400.0	2
05829	0	0
05830	1200.0	2
05832	0	0
05833	0	0
05836	250.0	1
05837	0	0
05839	0	0
05840	0	0
05841	0	0
05842	0	0
05843	600.0	2
05845	0	0
05846	0	0
05847	0	0
05851	0	0
05853	1000.0	3
05855	0	0
05857	0	0
05858	0	0
05859	0	0
05860	250.0	1
05866	0	0
05867	0	0
05868	0	0
05871	250.0	1
05872	0	0
05873	0	0
05874	0	0
05875	0	0
058HH	0	0
05902	0	0
05903	0	0
05904	0	0
05905	0	0
05906	0	0
05907	0	0
