zoneID	money	freq
05001	5900.0	14
05031	0	0
05032	0	0
05033	1400.0	5
05034	1200.0	4
05035	500.0	1
05036	750.0	3
05037	0	0
05038	0	0
05039	0	0
05040	0	0
05041	0	0
05042	0	0
05043	1200.0	5
05045	250.0	1
05046	0	0
05048	0	0
05051	0	0
05052	0	0
05053	0	0
05054	0	0
05055	25800.0	45
05056	0	0
05058	0	0
05059	4950.0	11
05060	1000.0	3
05061	0	0
05062	1200.0	2
05065	4250.0	7
05067	0	0
05068	500.0	1
05069	0	0
05070	1750.0	3
05071	100.0	2
05072	10250.0	27
05073	200.0	1
05074	0	0
05075	250.0	1
05076	0	0
05077	2200.0	5
05079	2000.0	2
05081	0	0
05083	0	0
05084	0	0
05085	0	0
05086	0	0
05088	0	0
05089	250.0	1
05091	4850.0	12
050HH	0	0
05101	1000.0	1
05142	200.0	1
05143	1500.0	6
05146	0	0
05148	1200.0	5
05149	250.0	1
05150	250.0	1
05151	600.0	3
05152	200.0	1
05153	0	0
05154	1250.0	2
05155	1500.0	4
05156	2150.0	4
05158	200.0	1
05161	250.0	1
05201	5641.0	13
05250	3200.0	6
05251	7430.0	20
05252	0	0
05253	0	0
05254	2700.0	4
05255	6650.0	15
05257	6500.0	13
05260	0	0
05261	451.0	2
05262	750.0	3
05301	20615.0	39
05340	0	0
05341	0	0
05342	0	0
05343	0	0
05344	300.0	1
05345	3750.0	6
05346	5750.0	9
05350	1500.0	3
05351	0	0
05352	0	0
05353	0	0
05354	0	0
05355	0	0
05356	0	0
05358	250.0	1
05359	0	0
05360	0	0
05361	0	0
05362	0	0
05363	0	0
053HH	0	0
053XX	0	0
05401	58300.0	107
05403	24041.0	61
05404	750.0	2
05440	0	0
05441	0	0
05442	0	0
05443	1500.0	2
05444	1250.0	4
05445	18050.0	32
05446	7150.0	17
05448	0	0
05450	0	0
05452	4050.0	9
05454	1000.0	2
05455	0	0
05456	200.0	1
05457	0	0
05458	2250.0	5
05459	0	0
05461	1700.0	4
05462	0	0
05463	0	0
05464	350.0	1
05465	2850.0	9
05468	750.0	2
05471	0	0
05472	500.0	2
05473	0	0
05474	0	0
05476	1500.0	2
05477	1500.0	2
05478	5600.0	11
05482	39150.0	66
05483	0	0
05486	1000.0	1
05487	0	0
05488	1700.0	4
05489	1000.0	3
05491	3050.0	9
05492	0	0
05494	2000.0	2
05495	12950.0	18
054HH	0	0
05602	9250.0	21
05640	200.0	1
05641	4700.0	12
05647	1000.0	1
05648	200.0	1
05649	0	0
05650	0	0
05651	2000.0	2
05652	0	0
05653	0	0
05654	0	0
05655	3000.0	4
05656	950.0	4
05657	0	0
05658	0	0
05660	550.0	2
05661	1700.0	3
05663	800.0	2
05664	0	0
05666	0	0
05667	1500.0	2
05669	1150.0	3
05672	15500.0	30
05673	1000.0	2
05674	6000.0	14
05675	0	0
05676	600.0	3
05677	1000.0	1
05678	0	0
05679	250.0	1
05680	0	0
05681	0	0
05682	750.0	3
056HH	0	0
05701	20843.0	49
05730	0	0
05732	0	0
05733	450.0	2
05734	0	0
05735	0	0
05736	0	0
05737	2500.0	3
05738	6000.0	13
05739	1000.0	1
05742	950.0	4
05743	250.0	1
05744	0	0
05746	0	0
05747	0	0
05748	0	0
05750	0	0
05751	6450.0	10
05753	8500.0	26
05757	0	0
05758	1000.0	3
05759	500.0	2
05760	250.0	1
05761	335.0	1
05762	500.0	1
05763	250.0	1
05764	0	0
05765	1750.0	6
05766	0	0
05767	500.0	2
05769	0	0
05770	0	0
05772	0	0
05773	0	0
05774	1450.0	3
05775	0	0
05776	0	0
05777	2000.0	2
05778	250.0	1
057HH	0	0
05819	3000.0	6
05820	0	0
05821	0	0
05822	0	0
05824	0	0
05825	0	0
05826	0	0
05827	0	0
05828	900.0	3
05829	0	0
05830	1200.0	2
05832	0	0
05833	0	0
05836	250.0	1
05837	0	0
05839	0	0
05840	0	0
05841	0	0
05842	0	0
05843	600.0	2
05845	0	0
05846	0	0
05847	0	0
05851	0	0
05853	1000.0	3
05855	0	0
05857	0	0
05858	0	0
05859	0	0
05860	250.0	1
05866	0	0
05867	500.0	1
05868	0	0
05871	250.0	1
05872	300.0	1
05873	0	0
05874	0	0
05875	0	0
058HH	0	0
05902	0	0
05903	0	0
05904	0	0
05905	0	0
05906	0	0
05907	0	0
