zoneID	money	freq
30002	52331.0	115
30004	664684.0	912
30005	253970.0	377
30008	26438.0	69
30011	26683.0	29
30012	102611.0	180
30013	134136.0	223
30014	168710.0	206
30016	29000.0	41
30017	107550.0	125
30019	137687.0	193
30021	18520.0	33
30022	1275266.0	1617
30024	462308.0	608
30025	33930.0	57
30030	626404.0	1093
30032	53386.0	110
30033	394874.0	871
30034	104565.0	173
30035	11300.0	31
30038	119609.0	200
30039	69208.0	122
30040	284512.0	439
30041	312151.0	478
30043	415265.0	502
30044	122867.0	214
30045	189535.0	252
30047	198632.0	326
30052	259682.0	341
30054	45116.0	68
30055	29675.0	49
30056	25000.0	33
30058	149700.0	207
30060	340551.0	554
30062	637664.0	1096
30064	1383544.0	2084
30066	917440.0	509
30067	1428342.0	2126
30068	1076373.0	1642
30070	0	0
30071	187325.0	238
30072	8260.0	11
30075	1312292.0	1559
30076	592973.0	821
30078	271121.0	345
30079	6481.0	15
30080	403186.0	664
30082	175993.0	243
30083	89210.0	144
30084	213945.0	376
30087	558227.0	845
30088	62092.0	103
30092	787165.0	937
30093	112560.0	152
30094	111970.0	194
30096	426425.0	571
30097	1578880.0	1697
300HH	0	0
30101	256135.0	396
30102	48308.0	85
30103	15475.0	23
30104	2250.0	3
30105	17050.0	35
30106	81610.0	102
30107	53335.0	84
30108	20200.0	26
30110	67900.0	99
30113	10200.0	15
30114	217533.0	269
30115	97427.0	157
30116	113153.0	218
30117	584761.0	918
30120	491228.0	731
30121	43675.0	74
30122	14350.0	33
30124	41769.0	51
30125	159111.0	272
30126	203297.0	286
30127	271405.0	392
30132	112807.0	164
30134	85100.0	155
30135	210950.0	355
30137	1950.0	4
30139	5478.0	10
30141	30415.0	54
30143	204190.0	307
30144	174556.0	296
30145	14750.0	23
30147	410.0	2
30148	2250.0	5
30152	732560.0	1031
30153	62115.0	111
30157	42048.0	70
30161	586665.0	722
30165	604465.0	853
30168	11400.0	23
30170	250.0	1
30171	20250.0	29
30173	24333.0	32
30175	4490.0	8
30176	16153.0	27
30177	3550.0	5
30178	7797.0	10
30179	15800.0	34
30180	85581.0	147
30182	3300.0	7
30183	7950.0	19
30184	51698.0	65
30185	43976.0	61
30187	10650.0	23
30188	140123.0	218
30189	144931.0	225
301HH	0	0
30204	71647.0	155
30205	59050.0	80
30206	2950.0	7
30213	128432.0	215
30214	281817.0	460
30215	438335.0	566
30216	8250.0	11
30217	11730.0	25
30218	3700.0	7
30220	46400.0	51
30222	19700.0	40
30223	88650.0	152
30224	123063.0	289
30228	79340.0	104
30230	11575.0	32
30233	214308.0	339
30234	500.0	2
30236	537224.0	695
30238	17733.0	24
30240	130998.0	245
30241	61837.0	113
30248	41150.0	81
30250	30750.0	33
30251	14500.0	15
30252	170670.0	219
30253	885888.0	717
30256	0	0
30257	4059.0	13
30258	4550.0	6
30259	20700.0	32
30260	44875.0	82
30263	402346.0	583
30265	139809.0	214
30268	24850.0	32
30269	590881.0	771
30273	7307.0	14
30274	24050.0	38
30275	0	0
30276	71250.0	62
30277	92144.0	113
30281	209700.0	317
30285	1000.0	3
30286	79304.0	179
30288	3900.0	6
30290	59272.0	76
30291	30790.0	42
30292	25200.0	29
30293	7323.0	10
30294	70490.0	88
30295	16925.0	26
30296	68225.0	116
30297	12076.0	29
302HH	0	0
30303	1023400.0	1466
30305	4210953.0	5410
30306	1398231.0	2422
30307	1073693.0	1723
30308	730198.0	1062
