zoneID	money	freq
50001	39199.0	51
50002	1000.0	2
50003	13500.0	41
50005	0	0
50006	0	0
50007	500.0	1
50008	0	0
50009	242200.0	242
50010	192177.0	458
50014	222040.0	570
50020	250.0	1
50021	70825.0	163
50022	8100.0	24
50025	2850.0	8
50026	250.0	1
50027	3200.0	10
50028	12350.0	13
50029	0	0
50032	0	0
50033	0	0
50034	300.0	1
50035	500.0	2
50036	17746.0	44
50038	0	0
50039	250.0	1
50040	0	0
50041	0	0
50042	250.0	1
50044	0	0
50046	3600.0	8
50047	750.0	3
50048	0	0
50049	1260.0	6
50050	0	0
50051	0	0
50052	0	0
50054	500.0	2
50055	0	0
50056	8700.0	17
50057	0	0
50058	106584.0	151
50059	0	0
50060	250.0	1
50061	44750.0	84
50062	0	0
50063	1700.0	7
50064	0	0
50065	1200.0	3
50066	250.0	1
50067	0	0
50068	0	0
50069	0	0
50070	0	0
50071	0	0
50072	8050.0	10
50073	250.0	1
50074	0	0
50075	0	0
50076	6775.0	9
50078	0	0
500HH	0	0
50101	0	0
50102	0	0
50103	0	0
50104	1400.0	3
50105	1000.0	4
50106	0	0
50107	0	0
50108	0	0
50109	250.0	1
50110	0	0
50111	15700.0	20
50112	32200.0	92
50115	0	0
50116	0	0
50117	0	0
50118	0	0
50119	0	0
50120	0	0
50122	0	0
50123	0	0
50124	102980.0	51
50125	86164.0	171
50126	34394.0	120
50128	0	0
50129	15499.0	28
50130	450.0	2
50131	206509.0	256
50132	0	0
50133	0	0
50134	500.0	1
50135	700.0	3
50136	0	0
50137	0	0
50138	6450.0	15
50139	1200.0	4
50140	18700.0	48
50141	0	0
50142	0	0
50143	0	0
50144	4750.0	9
50145	0	0
50146	0	0
50147	0	0
50148	0	0
50149	250.0	1
50150	0	0
50151	0	0
50152	0	0
50153	250.0	1
50154	0	0
50155	0	0
50156	4300.0	12
50157	0	0
50158	19860.0	54
50160	500.0	1
50161	500.0	2
50162	0	0
50164	0	0
50165	0	0
50166	0	0
50167	1950.0	7
50168	13300.0	38
50169	1400.0	5
50170	0	0
50171	1250.0	3
50173	250.0	1
50174	0	0
501HH	0	0
50201	5850.0	15
50206	0	0
50207	1750.0	4
50208	25150.0	48
50210	1450.0	3
50211	49050.0	54
50212	0	0
50213	21140.0	57
50214	0	0
50216	4850.0	18
50217	1000.0	1
50218	0	0
50219	7500.0	17
50220	25059.0	23
50222	350.0	1
50223	0	0
50225	0	0
50226	4600.0	16
50227	0	0
50228	450.0	2
50229	4400.0	15
50230	430.0	2
50231	0	0
50232	0	0
50233	32590.0	80
50234	0	0
50235	5450.0	15
50236	0	0
50237	1900.0	5
50238	0	0
50239	0	0
50240	6680.0	11
50241	0	0
50242	0	0
50243	0	0
50244	2200.0	5
50246	0	0
50247	500.0	2
50248	6850.0	26
50249	0	0
50250	0	0
50251	0	0
50252	1000.0	2
50254	500.0	1
50256	0	0
50257	21367.0	43
50258	0	0
50261	16050.0	22
50262	0	0
50263	53119.0	90
50264	0	0
50265	499641.0	707
50266	611232.0	697
50268	0	0
50269	0	0
50271	0	0
50272	0	0
50273	13075.0	44
50274	0	0
50275	0	0
50276	750.0	2
50277	0	0
50278	1000.0	1
502HH	0	0
50309	705448.0	942
50310	121962.0	216
50311	130980.0	290
50312	895247.0	1448
50313	30085.0	36
50314	38541.0	65
50315	124492.0	182
50316	2550.0	6
50317	53160.0	103
50320	4210.0	14
50321	327277.0	519
50322	147169.0	249
50323	42300.0	70
50325	172086.0	293
503HH	0	0
50401	39456.0	75
50420	0	0
50421	800.0	2
50423	0	0
50424	0	0
50426	0	0
50428	5958.0	19
50430	0	0
50431	0	0
50432	0	0
50433	0	0
50434	0	0
50435	0	0
50436	1758.0	7
50438	1000.0	1
50439	0	0
50440	0	0
50441	4400.0	13
50444	0	0
50446	0	0
50447	0	0
50448	0	0
50449	0	0
50450	0	0
50451	0	0
50452	0	0
50453	0	0
50454	0	0
50455	0	0
50456	0	0
50457	0	0
50458	4800.0	5
50459	1200.0	5
50460	0	0
50461	2250.0	6
50464	0	0
50465	0	0
50466	1400.0	2
50468	0	0
50469	750.0	3
50470	0	0
50471	0	0
50472	110600.0	21
50473	0	0
50475	0	0
50476	0	0
50477	0	0
50478	0	0
50479	0	0
50480	0	0
50482	0	0
50483	0	0
50484	0	0
504HH	0	0
50501	46367.0	81
50510	0	0
50511	7200.0	17
50514	0	0
50515	0	0
50516	0	0
50517	0	0
50518	0	0
50519	0	0
50520	0	0
50521	0	0
50522	250.0	1
50523	0	0
50524	0	0
50525	4850.0	3
50527	2001.0	7
50528	0	0
50529	0	0
50530	0	0
50531	0	0
50532	0	0
50533	600.0	2
50535	850.0	2
50536	7300.0	22
50538	0	0
50539	2475.0	5
50540	0	0
50541	0	0
50542	0	0
50543	0	0
50544	0	0
50545	300.0	1
50546	0	0
50548	1387.0	2
50551	0	0
50552	0	0
50554	1350.0	4
50556	0	0
50557	0	0
50558	0	0
50559	0	0
50560	0	0
50561	0.0	2
50562	0	0
50563	0	0
50565	0	0
50566	0	0
50567	0	0
50568	0	0
50569	0	0
50570	0	0
50571	0	0
50573	0	0
50574	2650.0	9
50575	0	0
50576	0	0
50577	0	0
50578	0	0
50579	1200.0	4
50581	0	0
50582	0	0
50583	6668.0	11
50585	0	0
50586	465.0	2
50588	39490.0	65
50590	0	0
50591	0	0
50592	0	0
50593	0	0
50594	0	0
50595	11650.0	13
50597	0	0
50598	0	0
50599	0	0
505HH	0	0
50601	0	0
50602	0	0
50603	0	0
50604	0	0
50605	0	0
50606	600.0	2
50607	0	0
50609	358.0	3
50611	0	0
50612	0	0
50613	111959.0	223
50616	4350.0	17
50619	1500.0	4
50621	500.0	1
50622	7450.0	7
50623	0	0
50624	0	0
50625	0	0
50626	500.0	2
50627	0	0
50628	0	0
50629	0	0
50630	1750.0	5
50631	0	0
50632	0	0
50633	250.0	1
50634	0	0
50635	3970.0	11
50636	0	0
50638	1350.0	4
50641	0	0
50642	0	0
50643	550.0	2
50644	2700.0	8
50645	250.0	1
50647	0	0
50648	2950.0	11
50649	0	0
50650	0	0
50651	0	0
50652	0	0
50653	0	0
50654	0	0
50655	0	0
50658	0	0
50659	2750.0	10
50660	800.0	3
50662	1800.0	7
50665	2000.0	4
50666	0	0
50667	0	0
50668	0	0
50669	1750.0	4
50670	0	0
50671	0	0
50672	1000.0	1
50673	0	0
50674	0	0
50675	2250.0	3
50676	600.0	3
50677	20600.0	56
50680	0	0
50681	0	0
50682	3850.0	15
506HH	0	0
50701	88875.0	195
50702	9745.0	20
50703	12638.0	33
50706	0	0
50707	950.0	3
507HH	0	0
50801	23738.0	32
50830	2750.0	11
50833	5800.0	9
50835	0	0
50836	339.0	1
50837	0	0
50840	400.0	1
50841	15175.0	27
50843	0	0
50845	0	0
50846	0	0
50847	0	0
50848	0	0
50849	8550.0	23
50851	950.0	3
50853	0	0
50854	7500.0	15
50857	0	0
50858	0	0
50859	0	0
50860	0	0
50861	0	0
50862	0	0
50863	0	0
50864	0	0
51001	0	0
51002	300.0	1
51003	0	0
51004	0	0
51005	0	0
51006	200.0	1
51007	0	0
51008	0	0
51010	0	0
51011	0	0
51012	4250.0	14
51014	0	0
51016	300.0	1
51018	0	0
51019	0	0
51020	0	0
51022	0	0
51023	0	0
51024	3400.0	8
51025	13450.0	51
51026	1000.0	2
51027	0	0
51028	0	0
51029	0	0
51030	0	0
51031	2500.0	6
51033	0	0
51034	0	0
51035	0	0
51036	1500.0	4
51037	0	0
51038	0	0
51039	250.0	1
51040	1250.0	3
51041	250.0	1
51044	0	0
51045	0	0
51046	250.0	1
51047	500.0	1
51048	0	0
