zoneID	money	freq
66002	137408.0	219
66006	8600.0	13
66007	0	0
66008	500.0	1
66010	6500.0	7
66012	12350.0	24
66013	118125.0	135
66014	2750.0	5
66015	250.0	1
66016	0	0
66017	200.0	1
66018	15300.0	26
66019	0	0
66020	800.0	2
66021	10900.0	8
66023	0	0
66024	500.0	1
66025	3992.0	10
66026	1150.0	5
66027	6104.0	8
66030	44591.0	61
66032	13950.0	32
66033	2450.0	6
66035	1050.0	3
66039	0	0
66040	4950.0	15
66041	0	0
66042	1000.0	1
66043	43079.0	43
66044	76816.0	164
66046	18680.0	56
66047	168982.0	322
66048	109135.0	217
66049	120564.0	237
66050	8036.0	18
66052	250.0	1
66053	99150.0	127
66054	11350.0	20
66056	250.0	1
66058	10800.0	26
66060	0	0
66061	487682.0	690
66062	260785.0	441
66064	28525.0	84
66066	2000.0	7
66067	8400.0	21
66070	3800.0	15
66071	12577.0	31
66072	44500.0	37
66073	10750.0	11
66075	1200.0	2
66076	0	0
66077	0	0
66078	200.0	1
66079	2250.0	2
66080	0	0
66083	30801.0	50
66085	121870.0	167
66086	15250.0	27
66087	700.0	3
66088	7050.0	8
66090	0	0
66091	0	0
66092	7800.0	7
66093	0	0
66094	1400.0	6
66095	0	0
66097	300.0	1
660HH	0	0
66101	1675.0	6
66102	11301.0	30
66103	19528.0	26
66104	1200.0	4
66105	8250.0	14
66106	23735.0	34
66109	15825.0	37
66111	6733.0	15
66112	1201.0	4
66115	0	0
66118	500.0	2
661HH	0	0
66202	116848.0	159
66203	27212.0	66
66204	24546.0	66
66205	288437.0	443
66206	301351.0	519
66207	383068.0	632
66208	2149273.0	2797
66209	659682.0	1044
66210	295190.0	396
66211	1036410.0	1318
66212	244538.0	406
66213	272036.0	464
66214	52712.0	123
66215	174532.0	299
66216	169165.0	311
66217	188843.0	328
66218	140905.0	197
66219	96281.0	120
66220	143830.0	179
66221	260719.0	404
66223	166922.0	269
66224	239331.0	347
66226	128775.0	181
66227	71183.0	91
662HH	0	0
66401	8432.0	8
66402	11850.0	28
66403	1000.0	1
66404	700.0	3
66406	1300.0	5
66407	16100.0	20
66408	750.0	2
66409	8193.0	24
66411	0	0
66412	0	0
66413	250.0	1
66414	0	0
66415	2950.0	5
66416	0	0
66417	1000.0	2
66418	2000.0	4
66419	0	0
66422	4500.0	4
66423	0	0
66424	250.0	1
66425	0	0
66427	12200.0	30
66428	0	0
66429	250.0	1
66431	1500.0	4
66432	0	0
66434	25300.0	28
66436	14660.0	40
66438	500.0	1
66439	2550.0	3
66440	0	0
66441	96043.0	199
66442	250.0	1
66449	1750.0	3
66450	0	0
66451	4700.0	8
664HH	0	0
664XX	0	0
66501	0	0
66502	253526.0	453
66503	115000.0	236
66506	0	0
66507	21170.0	32
66508	12625.0	36
66509	31000.0	31
66510	0	0
66512	2600.0	7
66514	4950.0	12
66515	2000.0	1
66516	2100.0	2
66517	0	0
66518	0	0
66520	250.0	1
66521	1200.0	2
66522	0	0
66523	23200.0	56
66524	1838.0	5
66526	400.0	2
66527	1900.0	5
66528	0	0
66531	250.0	1
66532	4900.0	11
66533	4350.0	9
66534	32575.0	37
66535	1200.0	4
66536	14623.0	30
66537	0	0
66538	5110.0	15
66539	1750.0	4
66540	500.0	1
66541	0	0
66542	5200.0	12
66543	500.0	1
66544	0	0
66546	3050.0	4
66547	16250.0	20
66548	0	0
66549	1300.0	5
66550	16500.0	20
66552	0	0
66554	250.0	1
665HH	0	0
665XX	0	0
66603	88104.0	157
66604	185578.0	320
66605	24950.0	55
66606	202795.0	260
66607	2950.0	10
66608	3300.0	4
66609	13817.0	31
66610	305212.0	474
66611	144874.0	336
66612	46198.0	86
66614	303599.0	500
66615	39950.0	74
66616	0	0
66617	15150.0	30
66618	40756.0	82
66619	10050.0	12
666HH	0	0
66701	39250.0	60
66710	0	0
66711	4809.0	7
66712	1468.0	5
66713	12601.0	24
66714	0	0
66716	0	0
66717	0	0
66720	27165.0	45
66724	0	0
66725	86791.0	60
66732	0	0
66733	1950.0	6
66734	0	0
66735	0	0
66736	5150.0	11
66738	0	0
66739	23850.0	19
66740	0	0
66741	250.0	1
66743	4472.0	17
66746	0	0
66748	6500.0	21
66749	15300.0	31
66751	0	0
66753	0	0
66754	0	0
66755	4750.0	3
66756	0	0
66757	17350.0	24
66758	0	0
66759	0	0
66760	1700.0	1
66761	27500.0	31
66762	414504.0	429
66763	5935.0	8
66767	0	0
66769	0	0
66770	1500.0	3
66771	3000.0	4
66772	250.0	1
66773	11050.0	7
66775	0	0
66776	0	0
66777	3400.0	7
66778	0	0
66779	300.0	1
66780	0	0
66781	1250.0	3
66782	0	0
66783	3725.0	3
667HH	0	0
66801	215508.0	346
66830	3100.0	4
66833	2400.0	3
66834	3150.0	8
66835	0	0
66838	2950.0	8
66839	5600.0	15
66840	800.0	2
66842	400.0	2
66843	11900.0	12
66845	9745.0	11
66846	10950.0	34
66849	1000.0	3
66850	7450.0	10
66851	500.0	2
66852	250.0	1
66853	2000.0	2
66854	0	0
66856	6350.0	15
66857	0	0
66858	0	0
66859	0	0
66860	0	0
66861	1750.0	7
66862	0	0
66863	0	0
66864	250.0	1
66865	5050.0	3
66866	900.0	3
66868	9950.0	20
66869	3850.0	7
66870	0	0
66871	4700.0	8
66872	0	0
668HH	0	0
66901	7510.0	24
66930	0	0
66932	0	0
66933	0	0
66935	12350.0	13
66936	0	0
66937	1500.0	2
66938	500.0	2
66939	2750.0	8
66940	0	0
66941	0	0
66942	400.0	2
66943	7400.0	13
66944	500.0	2
66945	250.0	1
66946	0	0
66948	500.0	1
66949	4450.0	18
66951	4200.0	11
66952	550.0	1
66953	0	0
66955	0	0
66956	4901.0	14
66958	600.0	3
66959	250.0	1
66960	0	0
66962	2500.0	2
66963	0	0
66964	0	0
66966	17775.0	37
66967	3250.0	12
66968	1900.0	9
66970	0	0
669HH	0	0
669XX	0	0
67001	250.0	1
67002	146838.0	171
67003	8000.0	16
67004	0	0
67005	35934.0	49
67008	0	0
67009	11050.0	12
67010	104281.0	130
67012	0	0
67013	4100.0	10
67016	0	0
67017	22325.0	34
67018	0	0
67019	0	0
67020	500.0	2
67021	0	0
67022	1500.0	4
67023	400.0	2
67024	2500.0	4
67025	26850.0	41
67026	19200.0	14
67028	1050.0	3
67029	4500.0	9
67030	34821.0	72
67031	0	0
67035	0	0
67036	0	0
67037	35664.0	62
67038	0	0
67039	1000.0	1
67041	0	0
67042	61334.0	117
67045	26650.0	39
67047	0	0
67049	0	0
67050	500.0	1
67051	0	0
67052	163921.0	271
67053	0	0
67054	1500.0	2
67056	12850.0	16
67057	0	0
67058	0	0
67059	9519.0	16
67060	2900.0	7
67061	1250.0	3
67062	10725.0	15
67063	3950.0	13
67065	1250.0	3
67066	1700.0	8
67067	4250.0	7
67068	35300.0	54
67070	250.0	1
67071	0	0
67072	10.0	1
67073	0	0
67074	1950.0	6
