zoneID	money	freq
55001	29750.0	67
55003	6851.0	15
55005	2250.0	2
55006	822.0	2
55007	2161.0	3
55008	9184.0	40
55009	6375.0	23
55010	0	0
55011	1470.0	6
55012	6100.0	8
55013	8326.0	20
55014	47605.0	113
55016	19406.0	27
55017	0	0
55018	900.0	3
55019	0	0
55020	1950.0	5
55021	29430.0	65
55024	42246.0	69
55025	82001.0	134
55026	2250.0	3
55027	1550.0	4
55030	8075.0	24
55031	333.0	1
55032	5250.0	4
55033	86311.0	167
55036	0	0
55037	11884.0	17
55038	86400.0	132
55040	4416.0	17
55041	3000.0	7
55042	116445.0	170
55043	240830.0	255
55044	197030.0	324
55045	8775.0	12
55046	0	0
55047	71600.0	61
55049	250.0	1
55051	8200.0	24
55052	1000.0	2
55053	37115.0	46
55055	28815.0	40
55056	6230.0	16
55057	56651.0	111
55060	67158.0	129
55063	2700.0	4
55065	4628.0	12
55066	110242.0	168
55068	84017.0	154
55069	20350.0	22
55070	750.0	2
55071	900.0	3
55072	200.0	1
55073	29650.0	52
55074	710.0	3
55075	15450.0	38
55076	29938.0	79
55077	74385.0	149
55079	4650.0	12
55080	850.0	4
55082	495359.0	792
55084	3150.0	7
55085	0	0
55087	500.0	1
55088	2700.0	5
55089	87550.0	80
55090	0	0
55092	8666.0	15
550HH	0	0
55101	193951.0	264
55102	279123.0	451
55103	20104.0	36
55104	116376.0	206
55105	551006.0	882
55106	33225.0	73
55107	18640.0	52
55108	32603.0	82
55109	67433.0	122
55110	687677.0	1038
55112	199876.0	405
55113	242286.0	344
55114	238334.0	328
55115	216909.0	332
55116	244110.0	489
55117	102965.0	209
55118	757817.0	1405
55119	46400.0	102
55120	66282.0	141
55121	61407.0	100
55122	108050.0	196
55123	113948.0	233
55124	201337.0	290
55125	352905.0	609
55126	128230.0	314
55127	507846.0	926
55128	43850.0	83
55129	97328.0	171
55150	2350.0	7
551HH	0	0
55301	4750.0	5
55302	15870.0	36
55303	117556.0	214
55304	214456.0	426
55305	674373.0	1027
55306	222093.0	328
55307	200.0	1
55308	26250.0	40
55309	12550.0	39
55310	5400.0	18
55311	201391.0	326
55312	1725.0	4
55313	43723.0	88
55314	0	0
55315	3250.0	6
55316	267860.0	247
55317	221245.0	346
55318	218446.0	276
55319	8600.0	14
55320	23440.0	51
55321	4266.0	16
55322	2200.0	5
55324	0	0
55325	1950.0	8
55327	12483.0	12
55328	106265.0	132
55329	0	0
55330	62186.0	110
55331	1572228.0	2002
55332	5400.0	12
55333	450.0	2
55334	0	0
55335	4250.0	3
55336	4100.0	10
55337	189380.0	319
55338	4253.0	10
55339	0	0
55340	346190.0	521
55341	8650.0	20
55342	14400.0	41
55343	174707.0	320
55344	382626.0	445
55345	286520.0	461
55346	139418.0	248
55347	1181438.0	1618
55349	8550.0	13
55350	54712.0	116
55352	32265.0	55
55353	11150.0	21
55354	2650.0	8
55355	37680.0	53
55356	1309300.0	1715
55357	14750.0	28
55358	47389.0	50
55359	109894.0	224
55360	2525.0	3
55362	11551.0	30
55363	4450.0	9
55364	293415.0	371
55367	1150.0	4
55368	12100.0	9
55369	86171.0	128
55370	0	0
55371	6878.0	16
55372	414319.0	522
55373	7100.0	9
55374	38500.0	68
55375	18550.0	12
55376	24900.0	39
55378	32215.0	69
55379	81960.0	116
55381	500.0	1
55382	13150.0	18
55384	5700.0	12
55385	850.0	3
55386	42180.0	49
55387	186034.0	158
55388	41418.0	46
55389	0	0
55390	600.0	3
55391	3890766.0	5088
55395	1450.0	7
55396	2950.0	9
55397	-2000.0	2
55398	10000.0	20
553HH	0	0
55401	185443.0	263
55402	662672.0	934
55403	377878.0	574
55404	14376.0	33
55405	402365.0	508
55406	43854.0	97
55407	11147.0	33
55408	84369.0	160
55409	72685.0	148
55410	203651.0	321
55411	15500.0	32
55412	9900.0	20
55413	35650.0	67
55414	110248.0	178
55415	23050.0	36
55416	506985.0	765
55417	46147.0	77
55418	27250.0	63
55419	116176.0	221
55420	81310.0	155
55421	42950.0	69
55422	168310.0	305
55423	30647.0	64
55424	727222.0	1027
55425	28805.0	35
55426	140700.0	275
55427	99760.0	172
55428	38435.0	70
55429	27630.0	57
55430	12965.0	26
55431	97365.0	183
55432	52581.0	115
