zoneID	money	freq
38601	1550.0	3
38603	18750.0	22
38606	151501.0	167
38609	0	0
38610	7640.0	12
38611	8950.0	17
38614	139501.0	172
38617	2400.0	1
38618	5750.0	8
38619	9500.0	12
38620	1700.0	3
38621	900.0	3
38622	0	0
38623	0	0
38625	1050.0	3
38626	8650.0	14
38627	2900.0	4
38629	27250.0	26
38630	0	0
38631	18150.0	20
38632	223126.0	262
38633	8700.0	7
38635	31150.0	51
38637	10800.0	13
38639	1750.0	3
38641	31600.0	34
38642	2500.0	3
38643	2199.0	6
38644	1500.0	2
38645	12550.0	16
38646	26400.0	19
38647	0	0
38649	0	0
38650	9600.0	4
38651	30700.0	37
38652	106414.0	149
38654	305885.0	361
38655	856060.0	1019
38658	8900.0	6
38659	16050.0	21
38661	3750.0	4
38663	76555.0	105
38664	30801.0	40
38665	300.0	1
38666	6000.0	13
38668	20429.0	42
38669	0	0
38670	1000.0	3
38671	204512.0	236
38672	162701.0	128
38673	500.0	1
38674	0	0
38676	73900.0	111
38677	15180.0	24
38680	13800.0	14
38683	2200.0	4
38685	0	0
386HH	0	0
386XX	0	0
38701	197265.0	280
38703	4731.0	14
38720	0	0
38721	10800.0	23
38722	5200.0	11
38723	5700.0	15
38725	22249.0	38
38726	0	0
38730	3000.0	5
38732	122773.0	180
38736	4000.0	5
38737	2500.0	3
38738	0	0
38739	5700.0	10
38740	1000.0	3
38744	1500.0	3
38745	0	0
38746	12150.0	22
38748	35050.0	59
38751	176534.0	313
38753	16800.0	32
38754	4000.0	5
38756	62950.0	105
38758	1000.0	1
38759	1325.0	5
38760	1250.0	3
38761	1000.0	1
38762	0	0
38763	0	0
38764	0	0
38765	0	0
38767	0	0
38768	0	0
38769	48750.0	51
38771	20750.0	30
38772	8900.0	21
38773	9350.0	11
38774	6600.0	5
38778	10150.0	15
387HH	0	0
387XX	0	0
38801	314830.0	532
38804	417633.0	612
38821	155700.0	146
38824	44100.0	54
38826	79700.0	132
38827	7000.0	9
38828	1625.0	4
38829	262163.0	281
38833	2250.0	3
38834	163050.0	237
38838	1000.0	1
38841	2750.0	11
38843	159685.0	160
38844	550.0	2
38846	3450.0	3
38847	3900.0	5
38848	250.0	1
38849	1300.0	4
38850	16200.0	13
38851	36800.0	54
38852	75803.0	99
38855	2100.0	6
38856	4050.0	6
38857	4400.0	9
38858	1350.0	4
38859	2500.0	4
38860	8750.0	15
38862	2700.0	6
38863	38760.0	67
38864	1500.0	2
38865	15350.0	22
38866	82350.0	108
38868	250.0	1
38869	13700.0	9
38870	4350.0	6
38871	1050.0	3
38873	200.0	1
38874	0	0
38876	1650.0	3
38878	5150.0	11
38879	3595.0	4
38880	1750.0	7
388HH	0	0
38901	39400.0	63
38913	0	0
38914	1000.0	1
38915	5850.0	13
38916	22950.0	37
38917	250.0	1
38920	0	0
38921	5050.0	8
38922	2500.0	4
38923	1000.0	3
38924	2000.0	3
38925	1250.0	2
38927	0	0
38928	32600.0	44
38929	0	0
38930	173975.0	288
38940	1200.0	1
38941	25700.0	30
38943	0	0
38944	1000.0	1
38946	7500.0	13
38947	500.0	2
38948	0	0
38949	0	0
38950	0	0
38951	0	0
38952	29200.0	37
38953	2400.0	1
38954	2500.0	3
38957	8800.0	16
38959	1000.0	1
38961	0	0
38962	0	0
38963	0	0
38964	3500.0	4
38965	27655.0	40
38966	0	0
38967	41050.0	44
389HH	0	0
389XX	0	0
39038	20250.0	33
39039	8750.0	14
39040	7600.0	15
39041	50450.0	62
39042	210453.0	317
39044	7300.0	7
39045	0	0
39046	187158.0	260
39047	377166.0	512
39051	40270.0	59
39054	15250.0	20
39056	95820.0	153
39057	900.0	4
39059	32700.0	44
39060	17550.0	27
39061	550.0	2
39062	0	0
39063	1000.0	1
39066	3450.0	7
39067	525.0	1
39069	4950.0	7
39071	82326.0	87
39073	37113.0	52
39074	22775.0	35
39078	2000.0	2
39079	0	0
39082	1500.0	2
39083	82700.0	96
39086	500.0	2
39088	5300.0	12
39090	22950.0	51
39092	15350.0	17
39094	1300.0	3
39095	37750.0	45
39096	1700.0	3
39097	1200.0	3
39098	0	0
390HH	0	0
390XX	0	0
39107	0	0
39108	0	0
39109	0	0
39110	1038350.0	1055
39111	59753.0	88
39112	0	0
39113	1000.0	1
39114	18592.0	34
39115	1700.0	5
39116	8900.0	9
39117	17020.0	32
39119	8200.0	13
39120	79417.0	136
39140	750.0	2
39144	0	0
39145	14125.0	23
39146	69453.0	24
39148	0	0
39149	300.0	1
39150	28073.0	45
39151	3000.0	2
39152	500.0	1
39153	7550.0	10
39154	43442.0	62
39156	1000.0	1
39157	1015027.0	1083
39159	30100.0	49
39160	2111.0	5
39161	500.0	1
39162	200.0	1
39166	0	0
39168	18740.0	34
39169	1530.0	6
39170	25775.0	39
39174	3250.0	5
39175	14800.0	20
39176	7825.0	12
39177	400.0	2
39179	450.0	1
39180	164650.0	212
39183	34200.0	53
39189	500.0	1
39191	11460.0	17
39192	0	0
39194	197904.0	260
391HH	0	0
391XX	0	0
39201	547344.0	559
39202	287816.0	436
39203	6533.0	10
39204	26855.0	48
39206	198830.0	307
39208	201695.0	272
39209	52650.0	72
39210	600.0	4
39211	1398715.0	1692
39212	27100.0	49
39213	26750.0	36
39216	386342.0	501
39218	24100.0	32
39269	0	0
392HH	0	0
39301	92149.0	148
39305	228757.0	399
39307	1389.0	2
39320	950.0	3
39322	3200.0	5
39323	1200.0	2
39325	3900.0	11
39326	5300.0	8
39327	2050.0	5
39328	5800.0	9
39330	4500.0	6
39332	950.0	4
39335	21964.0	26
39336	1000.0	3
39337	0	0
39338	0	0
39339	53274.0	95
39341	38350.0	45
39345	36420.0	75
39346	1800.0	4
39347	1250.0	2
39348	0	0
39350	558310.0	536
39352	4000.0	8
39354	3950.0	12
39355	7550.0	16
39356	200.0	1
39358	750.0	2
39359	3000.0	7
39360	300.0	1
39361	16500.0	28
39362	0	0
39363	2300.0	1
39364	2400.0	6
39365	3350.0	9
39366	0	0
39367	12945.0	21
393HH	0	0
393XX	0	0
39401	185990.0	285
39402	460241.0	710
39421	52567.0	63
39422	50850.0	63
