zoneID	money	freq
68001	0	0
68002	2950.0	5
68003	25400.0	43
68004	250.0	1
68005	110250.0	213
68007	50650.0	84
68008	230058.0	339
68010	4650.0	14
68014	0	0
68015	5500.0	13
68016	2500.0	1
68017	9150.0	21
68018	300.0	1
68019	0	0
68020	16890.0	30
68022	343831.0	493
68023	12060.0	26
68025	143742.0	219
68028	52077.0	103
68029	27500.0	18
68030	500.0	2
68031	2960.0	5
68033	0	0
68034	6150.0	14
68035	0	0
68036	0	0
68037	7600.0	12
68038	6500.0	14
68039	0	0
68040	0	0
68041	950.0	3
68042	250.0	1
68044	2400.0	4
68045	9150.0	14
68046	116039.0	217
68047	3500.0	9
68048	32375.0	60
68050	0	0
68054	0	0
68055	2250.0	2
68057	8950.0	12
68058	4000.0	8
68059	68400.0	97
68061	4500.0	18
68062	0	0
68063	0	0
68064	19175.0	43
68065	620.0	4
68066	27555.0	53
68067	2500.0	7
68068	250.0	1
68069	61933.0	119
68070	400.0	2
68071	16000.0	24
68073	7500.0	13
680HH	0	0
68102	428399.0	636
68104	77953.0	175
68105	116700.0	182
68106	109085.0	243
68107	51972.0	51
68108	27725.0	49
68110	23986.0	32
68111	2513.0	9
68112	235235.0	216
68113	3700.0	7
68114	1911836.0	2723
68116	115192.0	269
68117	17250.0	31
68118	289262.0	543
68122	111890.0	97
68123	51810.0	98
68124	1417285.0	1997
68127	302412.0	451
68128	102535.0	146
68130	418770.0	681
68131	487145.0	436
68132	1042176.0	1473
68133	23500.0	48
68134	73398.0	120
68135	155109.0	248
68136	24200.0	57
68137	205996.0	342
68138	42600.0	60
68142	43767.0	65
68144	469527.0	807
68147	9209.0	18
68152	266645.0	367
68154	1767458.0	2397
68157	2610.0	10
68164	359922.0	536
681HH	0	0
68301	700.0	2
68303	0	0
68304	250.0	1
68305	34100.0	36
68307	2100.0	1
68309	0	0
68310	32929.0	79
68313	500.0	1
68314	0	0
68315	0	0
68316	250.0	1
68317	7550.0	11
68318	0	0
68319	700.0	2
68320	9800.0	6
68321	0	0
68322	16104.0	21
68323	0	0
68324	0	0
68325	0	0
68326	0	0
68327	300.0	1
68328	450.0	2
68329	-20.0	1
68330	0	0
68331	0	0
68332	200.0	1
68333	37831.0	60
68335	700.0	2
68336	1300.0	5
68337	0	0
68338	0	0
68339	18050.0	36
68340	2600.0	11
68341	12750.0	26
68342	2950.0	11
68343	250.0	1
68344	0	0
68345	0.0	2
68346	0	0
68347	9500.0	25
68348	200.0	1
68349	20200.0	31
68350	0	0
68351	1300.0	2
68352	5950.0	16
68354	1900.0	8
68355	26382.0	62
68357	1000.0	1
68358	200.0	1
68359	3420.0	7
68360	17678.0	41
68361	6100.0	19
68362	0	0
68364	0	0
68365	300.0	1
68366	1200.0	4
68367	0	0
68368	0	0
68370	1500.0	5
68371	9550.0	12
68372	1275.0	4
68374	750.0	4
68375	0	0
68376	0	0
68377	7100.0	11
68378	200.0	1
68380	0	0
68381	0	0
683HH	0	0
68401	0	0
68402	18400.0	28
68403	0	0
68404	750.0	2
68405	38000.0	46
