zoneID	money	freq
03031	461420.0	794
03032	31250.0	59
03033	28101.0	57
03034	52872.0	140
03036	26750.0	45
03037	65230.0	122
03038	85724.0	180
03042	13650.0	25
03043	10240.0	31
03044	7800.0	12
03045	128567.0	209
03047	13105.0	25
03048	13710.0	17
03049	379187.0	519
03051	111713.0	214
03052	28650.0	44
03053	207495.0	353
03054	105964.0	222
03055	65093.0	103
03057	17733.0	31
03060	194955.0	315
03062	460366.0	562
03063	220259.0	498
03064	88285.0	181
03070	57666.0	123
03071	11050.0	23
03076	102275.0	115
03077	19306.0	28
03079	251456.0	424
03082	30931.0	47
03084	14500.0	21
03086	35670.0	44
03087	214542.0	388
030HH	0	0
03101	207808.0	349
03102	147251.0	213
03103	187336.0	288
03104	929150.0	1596
03106	83276.0	146
03109	63380.0	122
03110	1567126.0	2397
031HH	0	0
03215	24300.0	43
03216	4525.0	12
03217	17278.0	39
03218	1701.0	4
03220	14050.0	29
03221	11800.0	30
03222	16150.0	25
03223	9738.0	27
03224	140927.0	253
03225	7365.0	17
03226	90000.0	120
03227	62926.0	153
03229	385901.0	663
03230	0	0
03233	15100.0	29
03234	20121.0	43
03235	13500.0	35
03237	57865.0	129
03240	6200.0	15
03241	3200.0	6
03242	48360.0	91
03243	11150.0	12
03244	42753.0	75
03246	74765.0	144
03251	4350.0	13
03253	95249.0	202
03254	42028.0	57
03255	27350.0	53
03256	13787.0	80
03257	309510.0	557
03259	19550.0	41
03260	6340.0	21
03261	15525.0	25
03262	0	0
03263	7500.0	16
03264	21200.0	52
03266	10060.0	22
03268	3950.0	14
03269	9600.0	22
03273	18100.0	17
03275	17460.0	31
03276	11055.0	26
03278	40690.0	80
03279	2063.0	11
03280	1110.0	5
03281	17396.0	47
03282	8053.0	10
03284	600.0	3
03287	21657.0	43
03290	27400.0	42
03291	0	0
032HH	0	0
032XX	0	0
03301	932598.0	1708
03303	193615.0	240
03304	204452.0	372
03307	83557.0	71
033HH	0	0
03431	348714.0	538
03440	6850.0	21
03441	500.0	1
03442	14950.0	44
03443	4100.0	16
03444	414260.0	533
03445	35250.0	47
03446	16475.0	40
03447	5100.0	16
03448	5750.0	20
03449	98263.0	181
03450	44250.0	84
03451	8420.0	16
03452	75300.0	116
03455	63600.0	90
03456	250.0	1
03457	20250.0	50
03458	382372.0	569
03461	18500.0	37
03462	10828.0	24
03464	10390.0	19
03465	3800.0	3
03466	31000.0	103
03467	10850.0	21
03470	5200.0	19
034HH	0	0
03561	90575.0	178
03570	74700.0	81
03574	18361.0	29
03576	7950.0	18
03579	1000.0	1
03580	26250.0	58
03581	6250.0	12
03582	3200.0	7
03583	2250.0	3
03584	7840.0	19
03585	18238.0	32
03588	0	0
03590	0	0
03592	1250.0	2
03595	1750.0	6
03598	3500.0	5
035HH	0	0
035XX	0	0
03601	3750.0	13
03602	39330.0	45
03603	5515.0	18
03605	3450.0	8
03607	0	0
03608	72073.0	136
03609	200.0	1
036HH	0	0
03741	11250.0	27
03743	21208.0	37
03745	26650.0	41
03748	6000.0	16
03750	181900.0	214
03751	16100.0	20
03752	1650.0	5
03753	50676.0	120
03755	856566.0	1369
03765	3800.0	6
03766	140152.0	321
03768	353320.0	661
03770	26829.0	46
03771	2900.0	2
03773	87550.0	97
03774	4750.0	6
03777	39354.0	90
03779	700.0	3
03780	4475.0	10
03781	12000.0	23
03782	97045.0	132
03784	35447.0	87
03785	1950.0	5
037HH	0	0
03801	1243167.0	1860
03809	106900.0	103
03810	14109.0	31
03811	42400.0	91
03812	2700.0	8
03813	12500.0	28
03814	23250.0	36
03815	300.0	3
03816	33244.0	46
03817	3000.0	5
03818	18856.0	32
03819	7914.0	14
03820	205565.0	401
03824	402690.0	738
03825	42883.0	87
03826	4150.0	8
03827	32240.0	55
03830	9050.0	18
03832	5700.0	16
03833	499440.0	880
03835	10828.0	15
03836	10630.0	22
03837	5750.0	17
03838	25140.0	35
03839	5600.0	11
03840	54690.0	91
03841	40915.0	72
03842	366952.0	550
03844	272245.0	174
03845	9775.0	28
03846	114600.0	172
03848	46100.0	83
03849	8200.0	7
03852	2800.0	5
03853	19150.0	46
03854	493428.0	806
03855	5422.0	16
03856	32712.0	57
03857	66825.0	112
03858	8950.0	13
03860	39050.0	71
03862	501670.0	656
03864	19551.0	37
03865	12750.0	22
03867	53191.0	104
03868	13975.0	22
03869	30075.0	72
03870	636653.0	623
03872	25650.0	44
03873	6450.0	19
03874	69462.0	145
03875	7410.0	19
03878	59813.0	91
03882	4550.0	9
03883	50750.0	95
03884	21312.0	56
03885	255888.0	451
03886	54148.0	80
03887	2750.0	5
03894	296807.0	522
03897	950.0	3
038HH	0	0
