zoneID	money	freq
15001	81965.0	113
15003	9240.0	22
15004	0	0
15005	25650.0	40
15006	0	0
15007	0	0
15009	37922.0	83
15010	33800.0	50
15012	25770.0	45
15014	2100.0	4
15015	21750.0	36
15017	81058.0	115
15018	0	0
15019	500.0	2
15020	0	0
15021	38266.0	60
15022	82900.0	115
15024	35595.0	57
15025	45340.0	59
15026	3900.0	7
15027	1900.0	8
15028	0	0
15030	0	0
15031	0	0
15033	2400.0	6
15034	25685.0	7
15035	2000.0	2
15037	10860.0	20
15038	0	0
15042	8200.0	10
15043	0	0
15044	265095.0	376
15045	1250.0	2
15046	1700.0	2
15049	0	0
15050	500.0	2
15051	3825.0	10
15052	1200.0	2
15053	0	0
15054	250.0	1
15055	1500.0	4
15056	1000.0	4
15057	4300.0	10
15059	5680.0	9
15060	0	0
15061	36750.0	50
15062	29800.0	70
15063	39540.0	107
15064	0	0
15065	80470.0	97
15066	8000.0	11
15067	2500.0	3
15068	162393.0	288
15071	7580.0	27
15072	0	0
15074	7150.0	17
15075	0	0
15076	1000.0	1
15078	300.0	1
15081	0	0
15082	0	0
15083	0	0
15084	42845.0	57
15085	15625.0	22
15086	3500.0	6
15087	0	0
15088	0	0
15089	7650.0	18
15090	221846.0	387
150HH	0	0
15101	235402.0	367
15102	115925.0	180
15104	500.0	2
15106	41818.0	60
15108	94626.0	151
15110	6000.0	8
15112	5593.0	8
15116	34058.0	57
15120	16990.0	31
15122	23757.0	33
15126	11600.0	22
15129	11851.0	20
15131	26400.0	48
15132	18700.0	43
15133	1250.0	4
15135	4900.0	7
15136	42825.0	63
15137	14550.0	24
15139	129725.0	174
15140	750.0	3
15142	114767.0	134
15143	419198.0	644
15144	3550.0	4
15145	13050.0	19
15146	127648.0	236
15147	60250.0	34
15148	0	0
151HH	0	0
15201	103885.0	103
15202	91600.0	132
15203	79345.0	151
15204	3600.0	5
15205	171097.0	225
15206	483982.0	874
15207	5400.0	16
15208	221606.0	469
15209	12550.0	23
15210	5250.0	16
15211	92308.0	157
15212	77130.0	157
15213	337847.0	618
15214	22000.0	38
15215	312047.0	468
15216	116032.0	205
15217	940738.0	1792
15218	175400.0	328
15219	631256.0	1009
15220	70703.0	123
15221	226054.0	392
15222	603371.0	834
15223	11600.0	16
15224	5550.0	13
15225	2000.0	2
15226	11250.0	28
15227	17950.0	28
15228	313309.0	535
15229	29283.0	52
15232	442979.0	774
15233	30109.0	34
15234	32000.0	57
15235	178785.0	265
15236	74249.0	118
15237	270896.0	512
15238	1023266.0	1222
15239	59175.0	86
15241	510800.0	740
15243	197139.0	338
152HH	0	0
15301	169890.0	245
15310	400.0	1
15311	0	0
15312	2300.0	6
15313	0	0
15314	6750.0	10
15315	0	0
15316	0	0
15317	312475.0	426
15320	8500.0	11
15321	6550.0	10
15322	0	0
15323	3700.0	7
15324	300.0	1
15325	0	0
15327	250.0	1
15329	750.0	2
15330	56350.0	62
15331	300.0	1
