zoneID	money	freq
15001	25400.0	60
15003	5400.0	13
15004	2000.0	8
15005	33400.0	48
15006	0	0
15007	2500.0	6
15009	54850.0	127
15010	68485.0	176
15012	69125.0	97
15014	1700.0	5
15015	50298.0	112
15017	130131.0	223
15018	0	0
15019	5500.0	6
15020	0	0
15021	59381.0	115
15022	46277.0	80
15024	61425.0	78
15025	63234.0	119
15026	3500.0	9
15027	0	0
15028	0	0
15030	600.0	1
15031	0	0
15033	22675.0	32
15034	0	0
15035	0	0
15037	26150.0	37
15038	0	0
15042	11050.0	10
15043	2250.0	6
15044	534519.0	726
15045	1500.0	2
15046	500.0	2
15049	250.0	1
15050	1130.0	3
15051	750.0	1
15052	2900.0	5
15053	0	0
15054	0	0
15055	3750.0	11
15056	10100.0	12
15057	28800.0	69
15059	2200.0	4
15060	0	0
15061	20850.0	35
15062	3250.0	5
15063	197429.0	236
15064	0	0
15065	25518.0	42
15066	23015.0	19
15067	19750.0	27
15068	144350.0	270
15071	27570.0	50
15072	0	0
15074	5450.0	18
15075	1000.0	2
15076	0	0
15078	0	0
15081	0	0
15082	0	0
15083	1400.0	5
15084	18100.0	27
15085	21250.0	49
15086	2200.0	2
15087	0	0
15088	2750.0	5
15089	6550.0	10
15090	602200.0	899
150HH	0	0
15101	323877.0	557
15102	189985.0	366
15104	0	0
15106	56100.0	108
15108	145944.0	255
15110	1000.0	3
15112	1800.0	3
15116	43800.0	95
15120	9097.0	20
15122	22550.0	36
15126	17250.0	41
15129	20520.0	37
15131	8950.0	17
15132	5700.0	13
15133	0	0
15135	8950.0	11
15136	34050.0	56
15137	7000.0	13
15139	237400.0	374
15140	1000.0	2
15142	134916.0	186
15143	1391594.0	2347
15144	3890.0	13
15145	1500.0	3
15146	68412.0	130
15147	35175.0	69
15148	28750.0	35
151HH	0	0
15201	8456.0	22
15202	84523.0	135
15203	53600.0	56
15204	250.0	1
15205	141096.0	180
15206	136967.0	181
15207	2250.0	8
15208	68600.0	108
15209	11050.0	22
15210	3376.0	9
15211	114835.0	174
15212	70910.0	116
15213	340854.0	536
15214	42959.0	72
15215	527305.0	727
15216	69841.0	142
15217	602648.0	884
15218	43800.0	69
15219	495695.0	629
15220	47450.0	90
15221	86725.0	138
15222	1168696.0	1542
15223	8000.0	13
15224	7167.0	22
15225	5100.0	15
15226	7450.0	13
15227	48437.0	77
15228	408641.0	708
15229	20580.0	23
15232	379201.0	537
15233	16575.0	24
15234	51605.0	96
15235	87275.0	149
15236	107365.0	206
15237	269953.0	545
15238	1323975.0	1788
15239	34556.0	59
15241	1092639.0	1685
15243	403673.0	664
152HH	0	0
15301	202657.0	399
15310	0	0
15311	2100.0	3
15312	21200.0	30
15313	300.0	1
15314	12550.0	22
15315	0	0
15316	0	0
15317	643598.0	961
15320	3200.0	8
15321	3000.0	3
15322	250.0	1
15323	4500.0	4
15324	500.0	1
15325	250.0	1
15327	500.0	2
15329	750.0	3
15330	135217.0	215
15331	1000.0	2
15332	28750.0	41
15333	11900.0	22
15334	1000.0	1
15337	0	0
15338	0	0
15340	1835.0	5
15341	1000.0	1
15342	8475.0	21
15344	701.0	2
15345	0	0
15346	0	0
15347	6000.0	5
15348	0	0
15349	4000.0	10
15350	0	0
15351	0	0
15352	0	0
15353	0	0
15357	2000.0	3
15358	950.0	4
15359	0	0
15360	40650.0	90
15361	0	0
15362	800.0	3
15363	200.0	1
15364	300.0	1
15367	264907.0	345
15368	0	0
15370	23600.0	41
15376	0	0
15377	0	0
15378	0	0
15379	0	0
15380	2200.0	2
153HH	0	0
15401	75560.0	148
15410	500.0	2
15411	500.0	2
15412	1000.0	1
15413	6500.0	8
15417	1250.0	4
15419	4000.0	8
15420	0	0
15422	0	0
15423	9550.0	16
15424	1500.0	2
15425	15850.0	33
15427	1000.0	2
15428	0	0
15429	0	0
15430	0	0
15431	0	0
15432	0	0
15433	0	0
15434	0	0
15436	650.0	2
15437	24550.0	42
15438	73025.0	91
15440	0	0
15442	10400.0	24
15443	0	0
15444	0	0
15445	4250.0	10
15446	0	0
15447	0	0
15448	0	0
15450	0	0
15451	250.0	1
15454	0	0
15455	0	0
15456	2400.0	8
15458	1000.0	1
15459	2750.0	5
15460	0	0
15461	3500.0	5
15462	0	0
15464	250.0	1
15466	0	0
