zoneID	money	freq
57001	26450.0	49
57002	0	0
57003	1700.0	5
57004	2350.0	9
57005	35600.0	58
57006	355203.0	568
57010	4950.0	15
57012	500.0	2
57013	8900.0	21
57014	0	0
57015	4750.0	12
57016	8750.0	22
57017	4950.0	13
57018	800.0	3
57020	4850.0	10
57021	0	0
57022	80500.0	101
57024	0	0
57025	16900.0	39
57026	700.0	3
57027	0	0
57028	16600.0	30
57029	6400.0	17
57030	10575.0	22
57031	0	0
57032	14200.0	29
57033	7450.0	24
57034	750.0	3
57035	14050.0	14
57036	0	0
57037	250.0	1
57038	8050.0	12
57039	1250.0	5
57040	0	0
57041	0	0
57042	23250.0	75
57043	250.0	1
57044	750.0	2
57045	200.0	1
57046	0	0
57047	0	0
57048	750.0	3
57049	207075.0	178
57050	0	0
57051	500.0	2
57052	0	0
57053	450.0	2
57054	0	0
57055	4400.0	7
57057	0	0
57058	600.0	2
57059	800.0	3
57061	0	0
57062	0	0
57063	0	0
57064	250.0	1
57065	0	0
57066	0	0
57067	250.0	1
57068	0	0
57069	88422.0	207
57070	450.0	2
57071	3500.0	4
57072	0	0
57073	1950.0	8
57074	0	0
57075	17200.0	38
57076	2200.0	5
57077	500.0	1
57078	54899.0	141
570HH	0	0
57103	272734.0	599
57104	98791.0	208
57105	489836.0	983
57106	82816.0	182
57107	1500.0	4
57108	267517.0	459
57110	37626.0	89
57201	51989.0	148
57212	950.0	3
57213	0	0
57214	0	0
57216	1000.0	2
57217	0	0
57218	0	0
57219	0	0
57220	2500.0	9
57221	0	0
57223	0	0
57224	0	0
57225	400.0	2
57226	16300.0	28
57227	0	0
57231	7080.0	19
57232	200.0	1
57233	0	0
57234	4500.0	14
57235	0	0
57236	0	0
57237	2300.0	1
57238	0	0
57239	500.0	2
57241	500.0	2
57242	0	0
57243	750.0	3
57244	0	0
57245	0	0
57246	0	0
57247	500.0	2
57248	500.0	2
57249	750.0	3
57251	0	0
57252	4512.0	13
57255	250.0	1
57256	0	0
57257	450.0	2
57258	0	0
57259	3500.0	11
57260	0	0
57261	0	0
57262	45442.0	79
57263	0	0
57264	0	0
57265	0	0
57266	0	0
57268	0	0
57269	0	0
57270	0	0
57271	0	0
57272	0	0
57273	1000.0	2
57274	12600.0	28
57276	248.0	1
57278	0	0
57279	1650.0	7
572HH	0	0
57301	40080.0	110
57311	650.0	3
57312	0	0
57313	500.0	2
57314	0	0
57315	750.0	3
57317	550.0	2
57319	1000.0	4
57321	0	0
57322	0	0
57323	0	0
57324	200.0	1
57325	9827.0	18
57328	2600.0	6
57329	0	0
57330	0	0
57331	0	0
57332	0	0
57334	0	0
57335	0	0
57337	0	0
57339	0	0
57340	1500.0	3
57341	0	0
57342	250.0	1
57344	0	0
57345	450.0	2
57346	0	0
57348	500.0	1
57349	1950.0	7
57350	68499.0	148
57353	200.0	1
57355	26200.0	24
57356	0	0
57358	0	0
57359	0	0
57361	0	0
57362	1150.0	4
57363	0	0
57364	500.0	1
57365	500.0	2
57366	500.0	1
57367	0	0
57368	3800.0	9
57369	900.0	4
57370	20800.0	15
57371	1750.0	4
57373	2750.0	4
57374	0	0
57375	0	0
57376	250.0	1
57379	0	0
57380	750.0	2
57381	0	0
57382	7450.0	28
57383	0	0
57384	7075.0	28
57385	700.0	2
57386	0	0
573HH	0	0
57401	223919.0	471
57420	0	0
57421	500.0	2
57422	6250.0	16
57424	0	0
57426	1650.0	6
57427	16900.0	50
57428	0	0
57430	2700.0	11
57432	4350.0	12
57433	4487.0	13
57434	4250.0	13
57435	300.0	1
57436	3549.0	10
57437	0	0
57438	2950.0	9
57440	950.0	3
57441	11642.0	23
57442	20900.0	62
57445	21400.0	58
57446	2260.0	7
57448	0	0
57449	50835.0	121
57450	1000.0	1
57451	200.0	1
57452	0	0
57454	1450.0	5
57455	0	0
57456	0	0
57457	0	0
57460	14350.0	48
57461	800.0	3
57462	0	0
57465	1900.0	7
57466	650.0	2
57467	250.0	1
57468	450.0	2
57469	500.0	2
57470	0	0
57471	10200.0	25
57472	0	0
57473	250.0	1
57474	0	0
57475	0	0
57476	0	0
57477	850.0	4
57479	10130.0	27
57481	5100.0	19
574HH	0	0
57501	88675.0	228
57520	5500.0	23
57521	1800.0	8
57522	1000.0	3
57523	2250.0	6
57526	0	0
57528	8200.0	31
57529	2550.0	4
57531	0	0
