zoneID	money	freq
98001	122337.0	225
98002	58637.0	118
98003	132603.0	255
98004	4110144.0	5791
98005	1213823.0	1564
98006	1470379.0	2458
98007	266353.0	434
98008	483010.0	819
98010	36890.0	65
98011	108706.0	218
98012	264439.0	457
98014	141038.0	212
98019	66007.0	146
98020	797517.0	1394
98021	165884.0	339
98022	75485.0	136
98023	157788.0	340
98024	85557.0	165
98025	2246.0	3
98026	243218.0	503
98027	726455.0	1104
98028	245965.0	491
98029	272475.0	513
98031	107869.0	206
98032	92180.0	152
98033	1861513.0	2648
98034	465202.0	752
98036	95805.0	243
98037	105378.0	211
98038	108382.0	209
98039	2287665.0	2460
98040	3861433.0	6003
98042	399477.0	604
98043	66228.0	189
98045	87867.0	165
98047	7236.0	17
98051	17950.0	28
98052	1403999.0	2108
98053	665276.0	880
98055	140669.0	257
98056	207251.0	391
98058	98075.0	208
98059	173790.0	325
98065	63913.0	133
98068	250.0	1
98070	573647.0	683
98072	525879.0	924
98092	264737.0	371
980HH	0	0
980XX	0	0
98101	2018555.0	3012
98102	1636682.0	2512
98103	775905.0	1522
98104	1502863.0	2055
98105	2323871.0	3631
98106	54911.0	109
98107	452821.0	796
98108	229545.0	375
98109	975745.0	1704
98110	1632403.0	2641
98112	3850411.0	5575
98115	1349394.0	2655
98116	840434.0	1366
98117	447140.0	907
98118	349754.0	724
98119	1424648.0	2410
98121	1311456.0	1847
98122	862020.0	1536
98125	265101.0	630
98126	178090.0	327
98133	241286.0	520
98134	124174.0	161
98136	365462.0	768
98144	1005501.0	1587
98146	148760.0	268
98148	10670.0	31
98154	34400.0	58
98155	445180.0	921
98164	24000.0	39
98166	225611.0	484
98168	138329.0	179
98174	1000.0	1
98177	2157708.0	2552
98178	68760.0	169
98188	272945.0	261
98198	165848.0	286
98199	996830.0	1769
981HH	0	0
98201	195956.0	414
98203	219005.0	489
98204	23565.0	56
98205	16650.0	35
98208	86527.0	222
98220	250.0	1
98221	278963.0	517
98222	500.0	1
98223	256971.0	479
98224	3500.0	10
98225	374336.0	638
98226	278930.0	484
98230	116284.0	182
98232	22490.0	59
98233	51550.0	105
98235	0	0
98236	97084.0	218
98237	750.0	3
98238	800.0	2
98239	62560.0	137
98240	15797.0	37
98241	6250.0	12
98243	165778.0	252
98244	31500.0	36
98245	80804.0	153
98247	51581.0	67
98248	93992.0	164
98249	156867.0	249
98250	288979.0	427
98251	3190.0	10
98252	9270.0	21
98253	36810.0	45
98256	4950.0	5
98257	72644.0	119
98258	89195.0	182
98260	378784.0	541
98261	23099.0	51
98262	58150.0	79
98264	244564.0	323
98267	2750.0	4
98270	78418.0	191
98271	186691.0	234
98272	89960.0	217
98273	101500.0	234
98274	55561.0	152
98275	262192.0	446
98277	99062.0	278
98279	17025.0	25
98280	35650.0	87
98281	13835.0	21
98283	3450.0	4
98284	87934.0	129
98286	47050.0	62
98288	0	0
98290	259336.0	501
98292	121317.0	236
98294	31230.0	51
98295	2250.0	5
98296	125894.0	233
98297	750.0	2
982HH	0	0
982XX	0	0
98303	9150.0	19
98304	1900.0	6
98305	735.0	3
98310	62235.0	96
98311	44541.0	71
98312	81533.0	181
98315	250.0	1
98320	6150.0	11
98321	11902.0	30
98323	0	0
98325	13885.0	26
98326	0	0
98327	17218.0	40
98328	55170.0	98
98329	29175.0	64
98330	0	0
98331	17575.0	36
98332	161024.0	280
98333	32560.0	67
98335	368343.0	595
98336	990.0	4
98337	35944.0	56
98338	24285.0	65
98339	20165.0	42
98340	6000.0	19
98342	12500.0	29
98345	2870.0	6
98346	70837.0	161
98349	12300.0	19
98350	21300.0	23
98351	2250.0	4
98353	3525.0	17
98354	36883.0	70
98355	600.0	3
98356	645.0	6
98357	30350.0	38
98358	4400.0	13
98359	17830.0	35
98360	7150.0	20
98361	4600.0	11
98362	82468.0	200
98363	46860.0	68
98364	0	0
98365	79296.0	190
98366	47905.0	110
98367	69427.0	124
98368	178963.0	390
98370	219327.0	363
98371	50010.0	117
98372	60445.0	127
98373	33500.0	67
98374	154429.0	283
98375	14300.0	28
98376	5484.0	21
98377	950.0	2
98380	7450.0	25
98381	250.0	1
98382	259910.0	420
98383	95730.0	187
98385	250.0	1
98387	15563.0	37
98388	36925.0	98
98390	91840.0	149
98392	46300.0	57
98394	10625.0	13
98396	3725.0	10
983HH	0	0
983XX	0	0
98402	194926.0	321
98403	193561.0	355
98404	135025.0	121
98405	56435.0	112
98406	149656.0	310
98407	503703.0	802
98408	7940.0	27
98409	32398.0	67
98421	92460.0	119
98422	220655.0	415
98424	56099.0	80
98433	2050.0	6
98439	1000.0	1
98443	21925.0	52
98444	24775.0	61
98445	40114.0	66
98446	14300.0	31
98465	21105.0	57
98466	184195.0	367
98467	67377.0	147
98498	260988.0	508
98499	362727.0	499
984HH	0	0
98501	402532.0	832
98502	409380.0	821
98503	104806.0	274
98506	133082.0	286
98512	160940.0	308
98513	151390.0	241
98516	138255.0	265
98520	45018.0	84
98524	5725.0	16
98526	-50.0	1
98527	3436.0	13
98528	35130.0	74
98530	0	0
98531	161203.0	277
98532	120760.0	295
98533	250.0	1
98535	2000.0	2
98536	0	0
98537	3375.0	11
98538	3930.0	9
98539	0	0
98541	8375.0	23
98542	4550.0	9
98546	7925.0	22
98547	6950.0	11
98548	2000.0	7
98550	91156.0	123
98552	2352.0	5
98555	2250.0	12
98557	3930.0	20
98559	1850.0	3
98560	3000.0	3
98562	250.0	1
98563	22009.0	51
98564	180.0	2
98565	1180.0	9
98568	45425.0	49
98569	10225.0	37
98570	8355.0	22
98571	1000.0	1
98572	1350.0	4
98575	1500.0	3
98576	6620.0	9
98577	8260.0	35
98579	9635.0	27
98580	14158.0	24
98581	0	0
98582	2000.0	3
98584	100194.0	209
98585	-75.0	2
98586	1600.0	6
98587	19900.0	26
98588	1000.0	6
98589	22310.0	45
98590	0	0
98591	46961.0	62
98592	6000.0	12
98593	2550.0	10
98595	13020.0	17
98596	4956.0	18
98597	33670.0	60
985HH	0	0
985XX	0	0
98601	9380.0	22
98602	1250.0	2
98603	6200.0	9
98604	85787.0	173
98605	6800.0	8
98606	95146.0	185
98607	494028.0	706
98610	22938.0	38
98611	14280.0	41
98612	12000.0	22
98613	1700.0	6
98614	1450.0	6
98616	14300.0	26
98617	1000.0	1
98619	0	0
98620	39729.0	69
98621	0	0
98624	12677.0	25
98625	42605.0	62
98626	43283.0	105
98628	0	0
98629	38889.0	71
98631	52850.0	70
98632	165066.0	376
98635	575.0	6
98638	7400.0	7
98639	-10.0	1
98640	10187.0	33
98641	0	0
98642	142266.0	271
98643	0	0
98644	1622.0	4
98645	0	0
98647	6500.0	7
98648	4190.0	14
98649	500.0	1
98650	2680.0	5
98651	18700.0	28
98660	155378.0	238
98661	383714.0	596
98662	79640.0	151
98663	106533.0	207
98664	399189.0	582
98665	211664.0	377
98670	0	0
98671	93442.0	182
98672	119283.0	198
98673	-20.0	1
98674	91678.0	176
98675	1319.0	13
98682	89988.0	170
98683	276385.0	475
98684	179795.0	225
98685	249465.0	402
98686	97630.0	280
986HH	0	0
986XX	0	0
98801	114585.0	272
98802	46506.0	119
98811	0	0
98812	71910.0	153
98813	1350.0	5
98814	1535.0	5
98815	12075.0	27
98816	15779.0	47
98817	0	0
98819	1250.0	3
98821	1090.0	5
98822	1050.0	4
98823	22885.0	60
98826	140425.0	212
98827	-10.0	1
98828	3525.0	9
98829	0	0
98830	1700.0	6
98831	3175.0	10
98832	4400.0	11
98833	3150.0	6
98834	200.0	1
98836	400.0	1
98837	190221.0	318
98840	50596.0	86
98841	8585.0	28
98843	380.0	6
98844	186290.0	306
98845	0	0
98846	500.0	1
98847	900.0	6
98848	21340.0	64
98849	1150.0	4
98850	250.0	1
98851	3330.0	11
98852	6800.0	3
98853	0	0
98855	10267.0	38
98856	14472.0	36
98857	19880.0	31
98858	20340.0	61
98859	2390.0	6
98860	200.0	1
98862	30050.0	55
988HH	0	0
988XX	0	0
98901	58393.0	132
98902	130314.0	280
98903	20148.0	52
98908	319594.0	601
98922	14105.0	38
98923	26850.0	33
98925	500.0	1
98926	82339.0	192
98930	25750.0	40
98932	6850.0	15
98933	1500.0	5
98934	850.0	4
98935	3350.0	7
98936	13355.0	24
98937	17250.0	22
98938	14715.0	36
98940	0	0
98941	4275.0	8
98942	66022.0	130
98943	725.0	3
98944	33415.0	80
98946	4950.0	11
98947	3630.0	10
98948	16400.0	30
98950	0	0
98951	28100.0	82
98952	6765.0	7
98953	12744.0	32
989HH	0	0
989XX	0	0
99001	4100.0	5
99003	28006.0	57
99004	57226.0	150
99005	156549.0	229
99006	21339.0	37
99008	4770.0	15
99009	5121.0	17
99011	2750.0	3
99012	2650.0	7
99013	1000.0	3
99016	113856.0	120
99017	700.0	2
99018	0	0
99019	289049.0	540
99020	0	0
99021	42083.0	94
99022	68621.0	119
99023	5250.0	12
99025	21046.0	32
99026	18224.0	41
99027	24078.0	52
99029	5290.0	15
99030	2100.0	7
99031	800.0	3
99032	3650.0	9
99033	1925.0	6
99034	0	0
99036	17360.0	37
99037	43423.0	122
99040	39850.0	50
990HH	0	0
990XX	0	0
99101	10336.0	17
99102	400.0	2
99103	15050.0	30
99105	200.0	1
99109	22802.0	45
99110	3515.0	15
99111	16945.0	54
99113	20872.0	22
99114	72965.0	177
99115	15570.0	43
99116	530.0	3
99117	1430.0	6
99118	22900.0	33
99119	3300.0	5
99121	500.0	1
99122	28532.0	75
99123	420.0	2
99124	0	0
99125	0	0
99126	0	0
99128	23576.0	34
99129	0	0
99130	4925.0	13
99131	0	0
99133	185.0	2
99134	1500.0	5
99135	4550.0	16
99136	0	0
99137	300.0	1
99138	0	0
99139	1400.0	5
99140	7225.0	11
99141	70827.0	122
99143	650.0	3
99146	940.0	4
99148	6875.0	10
99149	0	0
99150	0	0
99151	0	0
99152	0	0
99153	1300.0	6
99154	0	0
99155	76250.0	70
99156	28956.0	70
99157	1000.0	1
99158	3260.0	8
99159	11200.0	27
99160	0	0
99161	4455.0	14
99163	252611.0	461
99166	15499.0	38
99167	1735.0	7
99169	21880.0	55
99170	21427.0	29
99171	9350.0	33
99173	2148.0	10
99176	2500.0	3
99179	1000.0	2
99180	35950.0	35
99181	3317.0	5
99185	25790.0	49
991HH	0	0
991XX	0	0
99201	677885.0	550
99202	169970.0	306
99203	892321.0	1658
99204	213808.0	395
99205	93409.0	188
99206	114489.0	277
99207	35218.0	88
99208	267033.0	569
99212	117015.0	228
99216	50748.0	99
99217	72730.0	120
99218	144397.0	319
99223	735291.0	1421
99224	139755.0	293
992HH	0	0
99301	482146.0	823
99320	21345.0	46
99321	0	0
99322	2550.0	8
99323	31475.0	49
99324	20420.0	37
99326	24600.0	57
99328	21544.0	46
99329	300.0	1
99330	22745.0	41
99332	0	0
99335	220.0	1
99336	380240.0	637
99337	273048.0	461
99338	231952.0	293
99341	3100.0	12
99343	32496.0	64
99344	71085.0	133
99345	5679.0	13
99346	5100.0	13
99347	1950.0	10
99348	1300.0	4
99349	16720.0	19
99350	103500.0	142
99352	583638.0	1204
99353	71564.0	136
99356	250.0	1
99357	6665.0	17
99359	0	0
99360	4625.0	14
99361	16785.0	33
99362	268617.0	530
99363	2700.0	5
99371	0	0
993HH	0	0
993XX	0	0
99401	250.0	1
99402	7460.0	19
99403	63037.0	144
994HH	0	0
