zoneID	money	freq
24701	38300.0	67
24712	0	0
24714	0	0
24715	5500.0	8
24716	0	0
24719	0	0
24724	0	0
24726	250.0	1
24731	0	0
24733	0	0
24736	0	0
24737	0	0
24739	0	0
24740	75950.0	99
24747	0	0
24801	3500.0	11
24808	0	0
24811	0	0
24813	0	0
24815	0	0
24816	0	0
24817	0	0
24818	0	0
24821	0	0
24822	0	0
24823	0	0
24824	0	0
24825	0	0
24827	0	0
24828	0	0
24829	0	0
24830	0	0
24831	0	0
24836	0	0
24839	0	0
24842	0	0
24843	0	0
24844	250.0	1
24845	0	0
24846	0	0
24848	0	0
24849	0	0
24850	0	0
24851	550.0	2
24852	0	0
24853	0	0
24854	0	0
24855	0	0
24856	0	0
24857	0	0
24860	0	0
24861	0	0
24862	0	0
24866	2000.0	2
24867	0	0
24868	0	0
24869	0	0
24870	0	0
24871	0	0
24872	0	0
24873	0	0
24874	3501.0	3
24879	0	0
24880	0	0
24881	0	0
24882	0	0
24884	0	0
24887	0	0
24888	0	0
24892	0	0
24894	0	0
24895	0	0
24897	0	0
24898	0	0
248HH	0	0
24901	77495.0	190
24910	1250.0	2
24915	0	0
24916	0	0
24918	0	0
24919	0	0
24920	200.0	1
24924	0	0
24925	0	0
24927	1200.0	3
24931	0	0
24934	3400.0	9
24935	1900.0	5
24936	0	0
24938	6250.0	7
24941	500.0	1
24943	0	0
24944	1500.0	4
24945	500.0	1
24946	750.0	2
24950	0	0
24951	0	0
24954	1450.0	5
24957	0	0
24962	0	0
24963	1525.0	4
24966	500.0	1
24970	2650.0	11
24974	0	0
24976	0	0
24977	1000.0	1
24981	250.0	1
24983	6750.0	15
24984	0	0
24985	0	0
24986	9581.0	26
24991	0	0
249HH	0	0
249XX	0	0
25002	0	0
25003	3500.0	6
25005	7825.0	29
25007	0	0
25008	0	0
25009	0	0
25010	0	0
25011	0	0
25015	1000.0	2
25019	0	0
25021	0	0
25022	0	0
25024	0	0
25025	0	0
25028	0	0
25030	0	0
25031	0	0
25033	0	0
25035	3000.0	3
25036	0	0
25039	0	0
25040	7000.0	10
25043	13900.0	30
25044	0	0
25045	2000.0	1
25047	0	0
25048	0	0
25049	0	0
25051	0	0
25053	3750.0	11
25054	0	0
25057	0	0
25059	0	0
25060	0	0
25063	550.0	2
25064	7850.0	12
25067	0	0
25070	250.0	1
25071	13200.0	27
25075	0	0
25076	0	0
25081	0	0
25082	0	0
25083	200.0	1
25085	1000.0	2
25086	0	0
25088	0	0
25090	0	0
250HH	0	0
250XX	0	0
25102	0	0
25103	500.0	1
25106	0	0
25107	0	0
25108	0	0
25109	0	0
25110	0	0
25111	0	0
25113	5882.0	11
25114	0	0
25115	0	0
25118	0	0
25119	0	0
25121	0	0
25123	500.0	1
25124	0	0
25125	0	0
25126	0	0
25130	13450.0	19
25132	0	0
25133	0	0
25134	2250.0	3
25136	5250.0	8
25139	250.0	1
25140	0	0
25141	0	0
25143	28430.0	32
25148	0	0
25149	0	0
25150	0	0
25152	0	0
25154	0	0
25159	15900.0	22
25160	0	0
25161	0	0
25162	0	0
25164	4000.0	4
25165	200.0	1
25168	0	0
25169	0	0
25173	0	0
25174	0	0
25177	32505.0	59
25181	0	0
25183	0	0
25186	0	0
25187	0	0
25193	0	0
251HH	0	0
25202	750.0	2
25204	0	0
25205	1200.0	4
25206	0	0
25208	0	0
25209	0	0
25211	0	0
25213	23050.0	30
25214	0	0
25231	0	0
25234	2600.0	4
25235	750.0	2
25239	10000.0	11
25241	0	0
25243	0	0
25244	500.0	1
25245	4000.0	7
25247	0	0
25248	3750.0	13
25251	0	0
25252	0	0
25253	0	0
25259	3000.0	2
25260	1000.0	3
25261	0	0
25262	0	0
25264	3850.0	8
25265	0	0
25266	0	0
25267	4250.0	7
25268	875.0	2
25270	0	0
25271	41039.0	46
25275	0	0
25276	16950.0	31
25279	0	0
25281	0	0
25283	0	0
25285	0	0
25286	600.0	2
25287	0	0
252HH	0	0
25301	465185.0	525
25302	297554.0	223
25303	57575.0	88
25304	385295.0	464
25306	17160.0	29
25309	73431.0	110
25311	634924.0	508
25312	12500.0	18
25313	47658.0	62
25314	833241.0	1164
25315	4300.0	2
25320	7250.0	8
253HH	0	0
25401	129906.0	214
25411	50928.0	95
25413	500.0	2
25414	92696.0	203
25419	5600.0	9
25420	1150.0	4
25421	0	0
25422	2700.0	5
25425	24125.0	51
25427	33350.0	50
25428	6900.0	18
25430	6840.0	17
25431	0	0
25434	0	0
25437	0	0
25438	3500.0	5
25441	750.0	2
25442	2750.0	7
25443	154260.0	253
25444	0	0
25446	0	0
254HH	0	0
25501	0	0
25502	0	0
25503	0	0
25504	136640.0	130
25505	0	0
25506	0	0
25507	750.0	3
25508	5500.0	16
25510	3250.0	8
25511	0	0
25512	0	0
25514	0	0
25515	0	0
25517	7400.0	6
25520	1200.0	2
25521	0	0
25523	104050.0	117
25524	0	0
25526	126765.0	156
25529	0	0
25530	3500.0	7
25534	0	0
25535	2750.0	6
25537	5200.0	3
25540	500.0	2
25541	30400.0	35
25544	0	0
25545	6500.0	11
25547	1000.0	1
25550	14800.0	30
25555	550.0	2
25557	0	0
25559	3500.0	4
25560	24850.0	29
25564	0	0
25565	0	0
25567	650.0	2
25570	0	0
25571	7350.0	8
25573	0	0
255HH	0	0
255XX	0	0
25601	56200.0	52
25606	0	0
25607	0	0
25608	0	0
25611	0	0
25612	0	0
25617	700.0	2
25621	26750.0	26
25624	0	0
25625	4800.0	2
25628	0	0
25630	0	0
25632	0	0
25634	0	0
25635	1750.0	5
25636	0	0
25637	1000.0	1
25638	0	0
25639	0	0
25644	0	0
25646	0	0
25647	0	0
25649	0	0
25650	0	0
25651	0	0
25652	0	0
25653	0	0
25654	0	0
25661	26150.0	32
25665	0	0
25666	1500.0	4
25667	0	0
25669	0	0
25670	1000.0	1
25671	0	0
25672	0	0
25674	2400.0	1
25676	0	0
25678	2250.0	4
25682	0	0
25685	0	0
25688	0	0
25691	0	0
25692	0	0
25696	0	0
25699	0	0
256HH	0	0
25701	167108.0	224
25702	20300.0	26
25703	5850.0	6
25704	36700.0	40
25705	88800.0	150
257HH	0	0
25801	294850.0	366
25812	0	0
25813	9700.0	14
25817	0	0
25818	0	0
25820	0	0
25823	0	0
25825	0	0
25826	0	0
25827	0	0
25831	0	0
25832	48700.0	60
25836	0	0
25837	0	0
25839	0	0
25840	18250.0	20
25841	0	0
25843	8550.0	8
25844	0	0
25845	0	0
25846	800.0	2
25847	0	0
25848	0	0
25849	1000.0	1
25853	0	0
25854	1500.0	2
25855	0	0
25856	0	0
25857	0	0
25862	1416.0	4
25864	0	0
25865	0	0
25866	0	0
25868	0	0
25870	0	0
25871	500.0	1
25875	0	0
25878	0	0
25879	1750.0	3
25880	4500.0	5
25882	750.0	3
258HH	0	0
25901	7150.0	12
25902	0	0
25904	0	0
25907	0	0
25908	0	0
25909	8750.0	14
25913	0	0
25915	0	0
25916	0	0
25917	1750.0	4
25918	2050.0	4
25920	0	0
25921	500.0	1
25922	0	0
25928	0	0
25932	0	0
25936	0	0
25938	4334.0	9
25942	0	0
25951	7400.0	11
25958	0	0
25962	4300.0	9
25966	0	0
25969	0	0
25971	500.0	1
25972	0	0
25976	250.0	1
25977	0	0
25978	0	0
25979	0	0
25981	250.0	1
25984	750.0	3
25985	0	0
25986	0	0
25989	0	0
259HH	0	0
259XX	0	0
26003	438713.0	551
26030	0	0
26031	0	0
26032	700.0	3
26033	0	0
26034	19750.0	27
26035	500.0	1
26036	500.0	1
26037	5950.0	9
26038	18100.0	40
26039	0	0
26040	0	0
26041	19708.0	38
26047	3750.0	8
26050	1700.0	7
26055	0	0
26056	0	0
26059	2800.0	5
26060	1800.0	6
26062	161819.0	231
26070	34500.0	45
26074	0	0
26075	0	0
260HH	0	0
26101	71050.0	106
26104	43216.0	53
26105	49000.0	64
26133	0	0
26134	250.0	1
26136	500.0	1
26137	0	0
26138	0	0
26141	0	0
26142	2200.0	4
26143	0	0
26146	0	0
26147	17530.0	17
26148	0	0
26149	0	0
26150	8050.0	8
26151	0	0
26152	2400.0	1
26155	5750.0	14
26159	250.0	1
26160	0	0
26161	0	0
26162	0	0
26164	700.0	2
26167	0	0
26169	0	0
26170	1450.0	4
26175	1000.0	1
26178	14300.0	13
26180	0	0
26181	250.0	1
26184	500.0	2
26186	0	0
26187	8500.0	10
261HH	0	0
26201	53800.0	62
26202	350.0	1
26203	0	0
26205	400.0	1
26206	5000.0	4
26208	0	0
26209	750.0	2
26210	0	0
26215	0	0
26217	0	0
26218	3461.0	6
26222	0	0
26224	0	0
26228	0	0
26230	0	0
26234	0	0
26236	0	0
26237	0	0
26238	0	0
26241	23164.0	41
26250	750.0	2
26253	500.0	1
26254	250.0	1
26257	32350.0	28
26259	3250.0	9
26260	1250.0	2
26261	3200.0	4
26263	0	0
26264	250.0	1
26266	0	0
26267	1300.0	2
26268	0	0
26269	0	0
26270	250.0	1
26271	0	0
26273	250.0	1
26275	0	0
26276	0	0
26278	0	0
26280	0	0
26282	0	0
26283	0	0
26285	0	0
26287	9750.0	8
26288	3500.0	6
26289	0	0
26291	500.0	1
26292	1000.0	1
26293	2950.0	10
26294	650.0	3
26296	0	0
26298	0	0
262HH	0	0
262XX	0	0
26301	178625.0	235
26302	40550.0	61
26320	0	0
26321	298.0	1
26323	0	0
26325	1000.0	1
26327	0	0
26330	411508.0	446
26332	3750.0	8
26334	0	0
26335	0	0
26337	0	0
26338	0	0
26339	0	0
26342	700.0	2
26343	0	0
26346	2400.0	1
26347	5600.0	6
26348	0	0
26349	0	0
26351	107650.0	114
26354	31000.0	23
26361	0	0
26362	2000.0	2
26366	0	0
26369	250.0	1
26372	2250.0	3
26374	2250.0	7
26376	0	0
26377	0	0
26378	12900.0	23
26384	0	0
26385	3750.0	6
26386	0	0
263HH	0	0
26404	0	0
26405	3000.0	6
26408	9000.0	7
26410	0	0
26411	5800.0	5
26412	0	0
26415	4800.0	2
26416	2800.0	5
26419	0	0
26421	0	0
26422	0	0
26424	0	0
26425	0	0
26426	4850.0	5
26430	20600.0	31
26431	3300.0	4
26435	0	0
26436	0	0
26437	400.0	2
26438	0	0
26440	1500.0	2
26443	0	0
26444	0	0
26447	1400.0	2
26448	200.0	1
26451	0	0
26452	65900.0	64
26456	550.0	2
26463	0	0
264HH	0	0
26501	170100.0	218
26505	636151.0	688
26508	756254.0	751
26519	1000.0	1
26520	11700.0	9
26521	0	0
26525	28900.0	25
26529	7600.0	5
26531	17700.0	14
26534	12550.0	12
26537	23750.0	23
26541	2250.0	4
26542	13400.0	15
26543	250.0	1
26544	500.0	1
26547	5750.0	5
26554	492121.0	616
26559	1500.0	3
26562	1000.0	1
26563	0	0
26568	500.0	1
26570	6700.0	5
26571	11550.0	16
26572	0	0
26574	0	0
26575	550.0	2
26576	800.0	3
26581	0	0
26582	9250.0	12
26585	0	0
26586	0	0
26587	0	0
26588	6800.0	7
26589	0	0
26590	0	0
26591	3650.0	3
265HH	0	0
26601	13910.0	20
26610	0	0
