zoneID,money,freq
99501,33600.0,46
99502,1300.0,2
99503,4500.0,5
99504,500.0,1
99505,0,0
99506,0,0
99507,3000.0,4
99508,5450.0,17
99513,0,0
99515,12250.0,15
99516,1250.0,2
99517,3850.0,7
99518,1000.0,1
99540,0,0
99546,0,0
99547,0,0
99548,0,0
99549,0,0
99550,0,0
99551,0,0
99552,0,0
99553,0,0
99554,0,0
99555,0,0
99556,0,0
99557,0,0
99558,0,0
99559,0,0
99561,0,0
99563,0,0
99564,0,0
99565,0,0
99566,0,0
99567,0,0
99568,0,0
99569,0,0
99571,0,0
99572,0,0
99573,0,0
99574,250.0,1
99575,0,0
99576,23800.0,30
99577,0,0
99578,0,0
99579,0,0
99580,0,0
99581,0,0
99583,0,0
99585,0,0
99586,0,0
99587,0,0
99588,0,0
99589,0,0
99590,0,0
99591,0,0
995HH,0,0
995XX,0,0
99602,0,0
99603,0,0
99604,0,0
99605,0,0
99606,0,0
99607,0,0
99608,0,0
99609,0,0
99610,0,0
99611,0,0
99612,0,0
99613,0,0
99614,0,0
99615,0,0
99620,0,0
99621,0,0
99622,0,0
99624,0,0
99625,0,0
99626,0,0
99627,0,0
99628,0,0
99630,0,0
99631,0,0
99632,0,0
99633,0,0
99634,0,0
99635,0,0
99636,0,0
99637,0,0
99638,0,0
99639,0,0
99640,0,0
99641,0,0
99643,0,0
99644,0,0
99645,0,0
99647,0,0
99648,0,0
99649,0,0
99650,0,0
99651,0,0
99652,0,0
99653,0,0
99654,0,0
99655,0,0
99656,0,0
99657,0,0
99658,0,0
99659,0,0
99660,0,0
99661,0,0
99662,0,0
99663,0,0
99664,200.0,1
99665,0,0
99666,0,0
99667,0,0
99668,0,0
99669,0,0
99670,0,0
99671,0,0
99672,0,0
99674,0,0
99675,0,0
99676,0,0
99677,0,0
99678,0,0
99679,0,0
99680,0,0
99681,0,0
99682,0,0
99683,0,0
99684,0,0
99685,0,0
99686,0,0
99687,0,0
99688,5500.0,22
99689,0,0
99690,0,0
99691,0,0
99692,250.0,1
99693,0,0
99694,0,0
99695,0,0
99697,0,0
996HH,0,0
996XX,0,0
99701,0,0
99702,0,0
99703,0,0
99704,0,0
99705,0,0
99709,0,0
99712,0,0
99714,0,0
99720,0,0
99721,0,0
99722,0,0
99723,0,0
99724,0,0
99725,0,0
99726,0,0
99727,0,0
99729,0,0
99730,0,0
99732,0,0
99733,0,0
99736,0,0
99737,0,0
99738,0,0
99739,0,0
99740,0,0
99741,0,0
99742,0,0
99743,0,0
99744,0,0
99745,0,0
99746,0,0
99747,0,0
99748,0,0
99749,0,0
99750,0,0
99751,0,0
99752,0,0
99753,0,0
99754,0,0
99755,0,0
99756,0,0
99757,0,0
99758,0,0
99759,0,0
99760,0,0
99761,0,0
99762,250.0,1
99763,0,0
99764,0,0
99765,0,0
99766,0,0
99767,0,0
99768,0,0
99769,0,0
99770,0,0
99771,0,0
99772,0,0
99773,0,0
99774,0,0
99775,0,0
99776,0,0
99777,0,0
99778,0,0
99779,0,0
99780,0,0
99781,0,0
99782,0,0
99783,0,0
99784,0,0
99785,0,0
99786,0,0
99788,0,0
99789,0,0
99791,0,0
997HH,0,0
997XX,0,0
99801,1932.0,6
99820,0,0
99824,0,0
99825,0,0
99826,200.0,1
99827,0,0
99829,0,0
99830,0,0
99832,0,0
99833,500.0,2
99835,0,0
99840,0,0
99841,0,0
99850,0,0
998HH,0,0
998XX,0,0
99901,0,0
99903,0,0
99918,0,0
99919,0,0
99921,0,0
99922,0,0
99923,0,0
99925,0,0
99926,0,0
99927,0,0
99929,0,0
99950,0,0
999HH,0,0
999XX,0,0
35004,0,0
35005,0,0
35006,0,0
35007,1600.0,4
35010,13500.0,15
35014,300.0,1
35016,250.0,1
35019,500.0,1
35020,1900.0,3
35022,4230.0,5
35023,1450.0,4
35031,500.0,2
35033,0,0
35034,0,0
35035,0,0
35036,0,0
35040,3000.0,3
35042,0,0
