zoneID	money	freq
85003	24050.0	43
85004	52035.0	99
85006	5084.0	11
85007	40300.0	69
85008	4350.0	11
85009	19250.0	27
85012	72735.0	119
85013	67100.0	110
85014	85225.0	142
85015	7100.0	14
85016	212673.0	313
85017	2250.0	8
85018	219993.0	413
85019	1500.0	2
85020	71247.0	147
85021	47492.0	115
85022	27943.0	62
85023	29800.0	55
85024	5500.0	11
85027	1550.0	4
85028	49520.0	119
85029	10450.0	19
85031	3750.0	8
85032	14243.0	39
85033	1750.0	3
85034	5100.0	11
85035	0.0	2
85037	2000.0	2
85040	13600.0	22
85041	1250.0	4
85043	250.0	3
85044	71318.0	117
85045	3250.0	8
85048	21589.0	48
85050	1000.0	2
85051	750.0	2
85053	3200.0	6
85054	3020.0	9
85085	0	0
85086	0	0
85087	0	0
850HH	0	0
85201	20388.0	48
85202	4700.0	8
85203	41868.0	72
85204	11750.0	19
85205	38500.0	55
85206	33301.0	50
85207	6450.0	10
85208	1500.0	2
85210	13500.0	18
85212	3550.0	13
85213	28290.0	47
85215	2650.0	7
85219	1200.0	2
85220	0	0
85221	0	0
85222	13657.0	27
85223	0	0
85224	11400.0	32
85225	9200.0	19
85226	18112.0	42
85228	400.0	2
85230	4950.0	9
85231	0	0
85232	2300.0	3
85233	19500.0	27
85234	27375.0	39
85235	250.0	1
85236	950.0	4
85237	0	0
85239	11000.0	11
85241	0	0
85242	4000.0	6
85245	0	0
85247	23314.0	23
85248	46181.0	80
85249	1700.0	4
85250	18000.0	40
85251	55000.0	104
85253	544714.0	868
85254	62098.0	122
85255	182885.0	305
85256	49000.0	53
85257	12700.0	16
85258	84948.0	167
85259	60760.0	135
85260	58362.0	99
85262	38403.0	77
85263	7700.0	17
85264	500.0	2
85268	5940.0	14
85272	0	0
85273	0	0
85281	17493.0	35
85282	25106.0	64
85283	27425.0	42
85284	53651.0	95
85292	0	0
85296	10950.0	24
852HH	0	0
852XX	0	0
85301	7250.0	12
85302	8000.0	14
85303	1250.0	3
85304	17279.0	18
85305	3020.0	6
85306	10010.0	19
85307	0	0
85308	21970.0	42
85309	0	0
85310	6150.0	15
85320	600.0	1
85321	5500.0	7
85322	0	0
85323	4850.0	15
85324	0	0
85325	0	0
85326	10700.0	22
85328	0	0
85329	2500.0	4
85331	22350.0	31
85332	1900.0	2
85333	0	0
85334	0	0
85335	250.0	1
85336	0	0
85337	0	0
85338	8300.0	15
85339	2800.0	10
85340	20879.0	34
85342	1500.0	3
85344	6500.0	9
85345	5900.0	9
85346	0	0
85347	0	0
85348	0	0
85349	1000.0	1
85350	7500.0	10
85351	5250.0	9
85353	4798.0	9
85354	0	0
85355	1100.0	4
85356	800.0	3
85357	0	0
85360	0	0
85361	0	0
85362	0	0
85363	1749.0	3
85364	39796.0	162
85365	67956.0	52
85367	3720.0	9
85373	3700.0	6
85374	1945.0	5
85375	7470.0	22
85379	500.0	1
85381	16150.0	24
85382	17179.0	29
85390	2500.0	5
853HH	0	0
853XX	0	0
85501	750.0	2
85530	0	0
85531	2000.0	5
85533	0	0
85534	0	0
85535	0	0
85536	0	0
85539	325.0	1
85540	250.0	1
85541	29352.0	81
85542	0	0
85543	1000.0	1
85544	1500.0	4
85545	0	0
85546	8212.0	11
85550	0	0
85552	1000.0	3
85553	0	0
85554	0	0
855HH	0	0
855XX	0	0
85601	249.0	1
85602	0	0
85603	431.0	4
85605	0	0
85606	0	0
85607	250.0	1
85608	0	0
85609	0	0
85610	250.0	1
85611	14300.0	35
85613	0	0
85614	19750.0	44
85615	3955.0	7
85616	0	0
85617	0	0
85618	0	0
85619	250.0	1
85621	5750.0	14
85623	200.0	1
85624	2450.0	4
85625	10000.0	18
85627	0	0
85629	3790.0	9
85630	0	0
85631	250.0	1
85632	0	0
85633	1000.0	1
85634	9350.0	13
85635	7600.0	19
85637	2800.0	10
85638	3200.0	6
85639	0	0
85640	950.0	3
85641	2700.0	6
85643	3000.0	3
85645	500.0	1
85646	5750.0	14
85648	600.0	1
85650	3450.0	9
85653	2400.0	3
85654	0	0
856HH	0	0
85701	33801.0	69
85704	29470.0	60
85705	27621.0	48
85706	8893.0	16
85708	0	0
85710	19700.0	32
85711	38485.0	85
85712	30771.0	64
85713	29150.0	41
85714	6172.0	11
85715	74300.0	136
85716	114925.0	187
85718	217180.0	409
85719	68538.0	108
85730	3101.0	8
85735	500.0	2
85736	0	0
85737	34232.0	53
85739	1700.0	9
85741	5631.0	8
85742	9160.0	20
85743	7250.0	14
85745	46051.0	90
85746	11540.0	22
85747	1950.0	6
85748	15950.0	35
85749	43390.0	94
85750	90717.0	202
85901	27930.0	55
85911	0	0
85920	0	0
85922	0	0
85923	1000.0	4
85924	1000.0	1
85925	4833.0	7
85926	0	0
85927	0	0
85928	21955.0	34
85929	1500.0	4
85930	0	0
85931	500.0	1
85932	0	0
85933	9290.0	18
85934	500.0	2
85935	1000.0	3
85936	28200.0	28
85937	17750.0	33
85938	2500.0	5
85939	13163.0	27
85940	1480.0	4
85941	0	0
85942	0	0
86001	74682.0	145
86004	32200.0	57
86015	0	0
86016	3500.0	4
86017	25800.0	54
86018	0	0
86020	0	0
86021	0	0
86022	0	0
86023	2250.0	5
86024	250.0	1
86025	5500.0	11
86030	0	0
86031	1000.0	1
86032	1750.0	8
