zoneID	money	freq
80002	4500.0	11
80003	2920.0	6
80004	25970.0	46
80005	20052.0	40
80007	26050.0	44
80010	200.0	3
80011	14602.0	22
80012	8405.0	21
80013	6133.0	10
80014	28875.0	55
80015	15200.0	34
80016	32930.0	60
80017	254.0	3
80018	0	0
80019	0	0
80020	29130.0	54
80021	11700.0	17
80022	250.0	1
80024	0	0
80025	0	0
80026	39393.0	69
80027	34394.0	66
80030	2000.0	7
80031	2800.0	5
80033	11800.0	21
800HH	0	0
800XX	0	0
80101	0	0
80102	550.0	2
80103	700.0	3
80104	51361.0	109
80105	0	0
80106	450.0	2
80107	4225.0	8
80110	229964.0	331
80111	128079.0	240
80112	66415.0	121
80116	19000.0	35
80117	950.0	3
80118	7700.0	10
80120	22675.0	48
80121	89250.0	136
80122	13650.0	41
80123	38043.0	78
80124	24100.0	45
80125	15100.0	20
80126	79349.0	145
80127	38500.0	71
80128	12475.0	31
80132	4100.0	11
80133	0	0
80134	29571.0	66
80135	10950.0	17
80136	650.0	3
80137	236.0	1
80138	12750.0	20
801XX	0	0
80202	191068.0	296
80203	29554.0	50
80204	10912.0	24
80205	10050.0	26
80206	126850.0	206
80207	12450.0	24
80209	140720.0	212
80210	36680.0	63
80211	7100.0	11
80212	4200.0	9
80214	1750.0	3
80215	28749.0	61
80216	23700.0	34
80218	36060.0	64
80219	2350.0	6
80220	63153.0	127
80221	4183.0	7
80222	47837.0	71
80223	3400.0	6
80224	9190.0	18
80226	10000.0	19
80227	32430.0	67
80228	18075.0	48
80229	1500.0	4
80230	2300.0	9
80231	15650.0	29
80232	2700.0	7
80233	7555.0	11
80234	15900.0	26
80235	14700.0	23
80236	3885.0	7
80237	63250.0	96
80239	3200.0	6
80241	7350.0	15
80246	12750.0	25
80249	0	0
80260	1000.0	1
80264	1300.0	2
80290	5250.0	7
80293	450.0	2
80294	0	0
80301	41720.0	66
80302	40950.0	67
80303	60384.0	95
80304	23550.0	42
80401	120101.0	219
80403	19350.0	35
80420	0	0
80421	0	0
80422	0	0
80423	0	0
80424	6500.0	7
80425	0	0
80426	0	0
80427	0	0
80428	0	0
80430	250.0	1
80432	0	0
80433	8417.0	13
80434	0	0
80435	1000.0	2
80436	0	0
80438	0	0
80439	26755.0	58
80440	0	0
80442	250.0	1
80443	1250.0	2
80444	0	0
80446	0	0
80447	0	0
80448	0	0
80449	2000.0	2
80451	0	0
80452	450.0	2
80454	500.0	1
80455	1000.0	1
80456	0	0
80457	0	0
80459	0	0
80461	1750.0	4
80463	0	0
80465	18553.0	45
80466	4250.0	6
80467	0	0
80468	250.0	1
80469	0	0
80470	1750.0	5
80473	0	0
80474	2000.0	2
80476	0	0
80478	2500.0	3
80479	0	0
80480	300.0	1
80481	0	0
80482	500.0	1
80483	0	0
80487	4200.0	7
80498	14300.0	17
804HH	0	0
804XX	0	0
80501	17900.0	30
80503	46485.0	79
80504	6908.0	17
80510	0	0
80512	2775.0	7
80513	2495.0	9
80514	0	0
80515	0	0
80516	1425.0	6
80517	4230.0	15
80520	0	0
80521	5750.0	15
80524	22119.0	58
80525	28864.0	60
80526	36545.0	29
80528	17150.0	27
80530	0	0
80532	0	0
80534	3250.0	5
80535	1000.0	3
80536	3050.0	11
80537	15475.0	49
80538	13474.0	37
80540	0	0
80542	1750.0	3
80543	1850.0	5
80545	0	0
80547	2758.0	5
80549	1250.0	4
80550	36600.0	54
80601	26050.0	48
80610	700.0	3
80611	2250.0	3
80612	0	0
80615	18302.0	39
80620	500.0	1
80621	1600.0	5
80623	0	0
80624	0	0
80631	110006.0	106
80634	165090.0	313
80640	1000.0	1
80642	0	0
80643	550.0	1
80644	1950.0	5
80645	500.0	2
80648	0	0
80649	500.0	2
80650	0	0
80651	1575.0	3
80652	200.0	1
80653	529.0	2
80654	2275.0	6
806HH	0	0
80701	56638.0	114
80705	0	0
80720	15463.0	23
80721	0	0
80722	5270.0	8
80723	3149.0	8
80726	0	0
80727	1500.0	3
80728	0	0
80729	1000.0	1
80731	486.0	2
80733	711.0	3
80734	6003.0	14
80735	500.0	1
80736	0	0
80737	0	0
80740	0	0
80741	1350.0	3
80742	0	0
80743	4100.0	8
80744	0	0
80745	0	0
80747	600.0	1
80749	630.0	2
80750	800.0	2
80751	17918.0	43
80754	0	0
80755	0	0
80757	600.0	3
80758	19095.0	28
80759	53255.0	78
807HH	0	0
80801	520.0	2
80802	0	0
80804	0	0
80805	0	0
80807	8427.0	15
80808	1000.0	1
80809	0	0
80810	0	0
80812	0	0
80813	0	0
80814	0	0
80815	2800.0	5
80816	1000.0	1
80817	0	0
80818	1484.0	4
80819	0	0
80820	200.0	1
80821	252.0	1
80822	0	0
80823	0	0
80824	750.0	3
80825	1250.0	3
80827	0	0
80828	1500.0	3
80829	8363.0	10
80830	0	0
80831	0	0
80832	200.0	1
80833	0	0
80834	0	0
80835	0	0
80836	1000.0	3
80840	0	0
80860	0	0
80861	0	0
80862	0	0
80863	500.0	2
80864	0	0
80866	0	0
80903	4036.0	9
80904	11475.0	25
80905	0	0
80906	95208.0	180
80907	3260.0	12
80908	5100.0	9
80909	6315.0	13
80910	2200.0	3
80911	250.0	1
80913	0	0
80915	14500.0	15
80916	500.0	1
80917	4500.0	8
80918	8400.0	13
80919	23325.0	47
80920	4450.0	8
