zoneID	money	freq
80002	5550.0	15
80003	5170.0	12
80004	33480.0	63
80005	33962.0	69
80007	33300.0	64
80010	800.0	6
80011	23402.0	40
80012	11555.0	29
80013	8205.0	15
80014	43725.0	84
80015	33000.0	63
80016	47091.0	83
80017	254.0	3
80018	0	0
80019	0	0
80020	36630.0	72
80021	14150.0	23
80022	250.0	1
80024	0	0
80025	3000.0	3
80026	59338.0	111
80027	52444.0	105
80030	8000.0	18
80031	10300.0	22
80033	15300.0	31
800HH	0	0
800XX	0	0
80101	0	0
80102	550.0	2
80103	700.0	3
80104	97236.0	179
80105	0	0
80106	450.0	2
80107	4225.0	8
80110	531895.0	796
80111	304229.0	588
80112	105543.0	187
80116	24950.0	46
80117	950.0	3
80118	8700.0	11
80120	49525.0	98
80121	232772.0	376
80122	31125.0	67
80123	71376.0	139
80124	41900.0	73
80125	19100.0	29
80126	102149.0	193
80127	65786.0	119
80128	16225.0	40
80132	5350.0	15
80133	0	0
80134	46471.0	100
80135	12650.0	21
80136	650.0	3
80137	236.0	1
80138	18800.0	28
801XX	0	0
80202	407593.0	688
80203	90756.0	167
80204	47037.0	102
80205	29339.0	59
80206	422053.0	739
80207	69150.0	139
80209	329599.0	559
80210	113480.0	223
80211	31155.0	63
80212	12800.0	28
80214	3450.0	8
80215	51299.0	109
80216	31150.0	49
80218	213570.0	386
80219	26684.0	56
80220	318071.0	583
80221	13019.0	23
80222	76897.0	133
80223	3900.0	8
80224	34190.0	61
80226	30197.0	57
80227	47420.0	95
80228	32448.0	87
80229	2300.0	7
80230	18190.0	39
80231	37500.0	82
80232	5600.0	16
80233	10055.0	15
80234	22350.0	41
80235	26550.0	49
80236	10835.0	21
80237	119550.0	219
80239	6250.0	14
80241	9850.0	21
80246	76665.0	155
80249	0	0
80260	5400.0	9
80264	5800.0	10
80290	5750.0	9
80293	950.0	3
80294	0	0
80301	70372.0	135
80302	205250.0	399
80303	137053.0	278
80304	125100.0	226
80401	213111.0	396
80403	43700.0	82
80420	0	0
80421	750.0	2
80422	0	0
80423	0	0
80424	15750.0	24
80425	0	0
80426	0	0
80427	0	0
80428	0	0
80430	250.0	1
80432	0	0
80433	10917.0	16
80434	0	0
80435	5150.0	12
80436	0	0
80438	0	0
80439	71455.0	172
80440	0	0
80442	250.0	1
80443	8900.0	16
80444	0	0
80446	0	0
80447	0	0
80448	0	0
80449	2000.0	2
80451	0	0
80452	450.0	2
80454	2750.0	4
80455	1000.0	1
80456	0	0
80457	250.0	1
80459	0	0
80461	2750.0	7
80463	0	0
80465	26503.0	63
80466	11500.0	19
80467	200.0	1
80468	250.0	1
80469	1000.0	1
80470	2250.0	6
80473	0	0
80474	3500.0	4
80476	0	0
80478	7000.0	14
80479	0	0
80480	300.0	1
80481	1450.0	4
80482	1250.0	4
80483	0	0
80487	4700.0	8
80498	20600.0	26
804HH	0	0
804XX	0	0
80501	34550.0	59
80503	66185.0	114
80504	7908.0	20
80510	4000.0	4
80512	3975.0	11
80513	4145.0	14
80514	0	0
80515	0	0
80516	5925.0	12
80517	11230.0	32
80520	0	0
80521	20350.0	42
80524	49077.0	114
80525	51314.0	112
80526	59479.0	82
80528	25000.0	38
80530	0	0
80532	0	0
80534	5450.0	10
80535	2000.0	7
80536	4050.0	15
80537	23990.0	73
80538	27924.0	62
80540	0	0
80542	1750.0	3
80543	1850.0	5
80545	0	0
80547	2758.0	5
80549	2750.0	6
80550	36850.0	55
80601	47660.0	83
80610	700.0	3
80611	2250.0	3
80612	500.0	1
80615	18802.0	40
80620	500.0	1
80621	13940.0	13
80623	0	0
80624	0	0
80631	135656.0	141
80634	171440.0	326
80640	3500.0	5
80642	0	0
80643	550.0	1
80644	1950.0	5
80645	500.0	2
80648	0	0
80649	500.0	2
80650	0	0
80651	1575.0	3
80652	200.0	1
80653	529.0	2
80654	2275.0	6
806HH	0	0
80701	58463.0	120
80705	0	0
80720	15713.0	24
80721	0	0
80722	5270.0	8
80723	5149.0	10
80726	0	0
80727	1500.0	3
80728	0	0
80729	1000.0	1
80731	486.0	2
80733	711.0	3
80734	8303.0	19
80735	500.0	1
80736	0	0
80737	0	0
80740	0	0
80741	1350.0	3
80742	0	0
80743	4100.0	8
80744	0	0
80745	0	0
80747	600.0	1
80749	630.0	2
80750	800.0	2
80751	18718.0	45
80754	0	0
80755	0	0
80757	600.0	3
80758	19595.0	30
80759	53505.0	79
807HH	0	0
80801	520.0	2
80802	0	0
80804	0	0
80805	0	0
80807	8427.0	15
80808	1000.0	1
80809	0	0
80810	750.0	2
80812	0	0
80813	0	0
80814	0	0
80815	2800.0	5
80816	1000.0	1
80817	0	0
80818	1484.0	4
80819	0	0
80820	200.0	1
80821	252.0	1
80822	0	0
80823	0	0
80824	750.0	3
80825	1250.0	3
80827	-500.0	1
80828	1750.0	4
80829	12663.0	21
80830	0	0
80831	200.0	1
80832	200.0	1
80833	0	0
80834	0	0
80835	0	0
80836	1000.0	3
80840	0	0
80860	0	0
80861	0	0
80862	0	0
80863	2950.0	10
80864	0	0
80866	0	0
80903	9586.0	23
80904	18761.0	36
80905	0	0
80906	107908.0	209
80907	5960.0	18
80908	5100.0	9
80909	7565.0	15
80910	2200.0	3
80911	1050.0	2
80913	0	0
80915	14500.0	15
80916	500.0	1
80917	7150.0	14
80918	10360.0	18
80919	26725.0	52
80920	5200.0	10
80921	5741.0	9
80922	1571.0	5
80925	750.0	2
80926	3200.0	4
80928	0	0
80929	1342.0	2
80930	0	0
81001	6850.0	19
81003	51650.0	76
81004	3450.0	8
81005	6650.0	13
81006	750.0	2
81007	7050.0	23
81008	2450.0	7
81020	0	0
81021	0	0
81022	0	0
81023	3050.0	6
81024	0	0
81025	0	0
81027	250.0	1
81029	0	0
81030	0	0
81033	0	0
81036	500.0	1
81039	500.0	1
81040	0	0
81041	0	0
81043	0	0
81044	0	0
81045	0	0
81047	2200.0	3
81049	0	0
81050	2150.0	6
81052	17300.0	23
81054	1500.0	3
81055	250.0	1
81057	0	0
81058	0	0
81059	0	0
81062	5750.0	11
81063	1000.0	1
81064	205.0	1
81066	0	0
81067	500.0	5
81069	0	0
81071	0	0
81073	0	0
81076	0	0
81077	0	0
81081	0	0
81082	250.0	1
81084	0	0
81087	0	0
81089	1500.0	2
81090	0	0
81091	0	0
81092	200.0	1
810HH	0	0
810XX	0	0
81101	2300.0	7
81120	0	0
81121	0	0
81122	7550.0	21
81123	0	0
81124	0	0
81125	0	0
81126	0	0
81127	0	0
81128	0	0
81130	1000.0	2
81131	200.0	1
81132	0	0
81133	300.0	1
81136	0	0
81137	4700.0	6
81140	500.0	1
81141	0	0
81143	250.0	1
81144	0	0
81146	0	0
81147	9500.0	13
81148	0	0
81149	0	0
81151	0	0
81152	0	0
81153	0	0
81154	1250.0	5
81155	0	0
811XX	0	0
81201	400.0	2
81210	0	0
81211	1000.0	4
81212	2800.0	6
81220	0	0
81221	0	0
81222	0	0
81223	0	0
81224	266.0	1
81225	1750.0	3
81226	2750.0	4
81230	4000.0	7
81233	0	0
81235	300.0	1
81236	0	0
81239	0	0
81240	0	0
81241	0	0
81243	0	0
81244	0	0
81248	0	0
81251	0	0
81252	700.0	2
81253	0	0
812HH	0	0
812XX	0	0
81301	17437.0	36
81320	0	0
81321	400.0	2
81323	200.0	1
81324	0	0
81325	0	0
81326	1500.0	2
81327	0	0
81328	1800.0	4
81330	0	0
81331	0	0
81332	0	0
81334	0	0
81335	0	0
813XX	0	0
81401	6550.0	11
81410	0	0
81411	0	0
81413	200.0	1
81415	0	0
81416	1100.0	4
81418	0	0
81419	0	0
81422	0	0
81423	0	0
81424	0	0
81425	2000.0	3
81426	0	0
81427	450.0	2
81428	400.0	2
81430	1000.0	1
81431	0	0
81432	7175.0	16
