zoneID	money	freq
06001	63725.0	116
06002	8650.0	17
06010	32350.0	53
06013	4250.0	10
06016	0	0
06018	1850.0	6
06019	4500.0	10
06020	1750.0	2
06021	0	0
06022	1750.0	5
06023	250.0	1
06024	3411.0	6
06026	2100.0	3
06027	0	0
06029	3350.0	8
06031	22500.0	27
06032	69950.0	113
06033	32282.0	68
06035	3050.0	5
06037	7100.0	18
06039	4450.0	11
06040	12000.0	26
06043	2150.0	8
06051	1150.0	5
06052	18500.0	35
06053	5900.0	15
06057	14700.0	19
06058	1400.0	4
06059	1000.0	1
06060	800.0	2
06062	12050.0	18
06063	0	0
06065	0	0
06066	6700.0	13
06067	3450.0	5
06068	6650.0	18
06069	2750.0	5
06070	45600.0	67
06071	1000.0	3
06073	29649.0	52
06074	10200.0	24
06076	850.0	2
06078	3100.0	12
06081	500.0	1
06082	3050.0	7
06084	6650.0	16
06085	5750.0	9
06088	0	0
06089	14450.0	25
06090	3000.0	8
06091	0	0
06092	24175.0	40
06093	750.0	2
06095	3250.0	7
06096	1000.0	2
06098	0	0
060HH	0	0
06103	5500.0	9
06105	11600.0	19
06106	3550.0	12
06107	43960.0	75
06108	2000.0	2
06109	17250.0	36
06110	500.0	2
06111	2500.0	6
06112	0	0
06114	1000.0	3
06117	36700.0	70
06118	0	0
06119	4300.0	10
06120	1000.0	3
061HH	0	0
06226	250.0	1
06231	250.0	1
06232	0	0
06234	250.0	1
06235	0	0
06237	0	0
06238	900.0	4
06239	1300.0	3
06241	250.0	1
06242	700.0	3
06247	0	0
06248	3000.0	5
06249	1450.0	6
06250	900.0	4
06254	250.0	1
06255	500.0	1
06256	2900.0	6
06259	1350.0	5
06260	1550.0	6
06262	2000.0	4
06264	0	0
06266	0	0
06268	1900.0	8
06269	0	0
06277	200.0	1
06278	0	0
06279	3200.0	6
06280	0	0
06281	6100.0	12
06282	0	0
062HH	0	0
06320	19650.0	50
06330	1000.0	1
06331	0.0	2
06333	6350.0	24
06334	950.0	3
06335	3400.0	12
06336	500.0	2
06339	32600.0	43
06340	26750.0	63
06351	2200.0	4
06354	250.0	1
06355	54350.0	159
06357	12700.0	33
06359	11850.0	32
06360	16850.0	46
06365	5050.0	9
06370	2500.0	3
06371	57200.0	108
06373	0	0
06374	450.0	2
06375	1250.0	3
06376	0	0
06377	0	0
06378	72200.0	165
06379	4850.0	13
06380	1250.0	2
06382	12900.0	14
06384	250.0	1
06385	25975.0	56
063HH	0	0
06401	2250.0	5
06403	1500.0	3
06405	4775.0	9
06409	0	0
06410	12700.0	26
06412	8700.0	18
06413	2500.0	7
06415	5200.0	10
06416	5600.0	13
06417	15300.0	27
06418	1000.0	3
06419	950.0	3
06420	5050.0	15
06422	2750.0	6
06423	3050.0	6
06424	2200.0	3
06426	16850.0	42
06430	94216.0	177
06432	5650.0	11
06437	8200.0	18
06438	1600.0	5
06441	900.0	3
06442	0	0
06443	26300.0	45
06447	3800.0	6
06450	9960.0	15
06451	525.0	2
06455	250.0	1
06457	11200.0	24
06460	3500.0	5
06468	5550.0	16
06469	850.0	2
06470	19630.0	30
06471	700.0	2
06472	0	0
06473	7450.0	12
06475	12500.0	35
06477	5000.0	9
06478	2600.0	3
06479	1250.0	3
06480	500.0	1
06481	0	0
06482	1800.0	5
06483	1000.0	3
06484	8500.0	23
06488	15900.0	35
06489	15950.0	31
06490	24200.0	52
06492	4150.0	9
06498	6952.0	10
064HH	0	0
06504	0	0
06510	2250.0	5
06511	9800.0	24
06512	2400.0	7
06513	3050.0	8
06514	2250.0	4
06515	6765.0	11
06516	4750.0	11
06517	700.0	3
06518	1700.0	5
06519	0	0
06524	1750.0	3
06525	10600.0	19
065HH	0	0
06604	11100.0	23
06605	7390.0	15
06606	900.0	4
06607	0	0
06608	0	0
06610	0	0
06611	12380.0	31
06612	18200.0	33
06614	2541.0	5
06615	1750.0	2
066HH	0	0
06702	1300.0	2
06704	0	0
06705	500.0	1
06706	1050.0	3
06708	5750.0	15
06710	750.0	3
06712	416.0	2
06716	8450.0	27
06750	4000.0	6
06751	2000.0	3
06752	11050.0	15
06754	14500.0	16
06755	250.0	1
06756	2950.0	6
06757	5250.0	8
06759	26500.0	52
06762	15056.0	28
06763	250.0	1
06770	950.0	3
06776	8800.0	21
06777	16750.0	20
06778	0	0
06779	500.0	1
06782	0	0
06783	4600.0	7
06784	4250.0	5
06785	2000.0	2
06786	0	0
06787	0	0
06790	6950.0	16
06791	3150.0	6
06793	5425.0	11
06794	4800.0	8
06795	3200.0	8
06796	500.0	1
06798	7750.0	14
067HH	0	0
06801	7200.0	10
06804	7500.0	12
06807	19750.0	27
06810	7950.0	15
06811	12250.0	26
06812	3600.0	8
06820	163999.0	258
06830	416520.0	581
06831	282200.0	403
06840	191959.0	325
06850	11772.0	23
06851	14950.0	42
06853	14050.0	32
06854	11850.0	14
06855	10800.0	14
06870	30050.0	45
06877	31700.0	50
06878	74250.0	118
06880	111960.0	179
06883	36300.0	59
06896	10675.0	21
06897	45750.0	79
068HH	0	0
06901	13450.0	17
06902	37650.0	72
06903	41950.0	79
06905	20875.0	38
06906	4900.0	11
06907	3170.0	6
069HH	0	0
