zoneID	money	freq
32008	0	0
32009	0	0
32011	2000.0	2
32013	0	0
32024	0	0
32025	2750.0	5
32033	250.0	1
32034	41950.0	73
32038	0	0
32040	0	0
32043	2500.0	7
32044	0	0
32046	0	0
32052	450.0	2
32053	0	0
32054	2000.0	2
32055	2250.0	4
32058	0	0
32059	0	0
32060	250.0	1
32061	0	0
32062	200.0	1
32063	2000.0	6
32065	1700.0	6
32066	1750.0	4
32068	500.0	2
32071	0	0
32072	0	0
32073	37239.0	75
32079	0	0
32082	230921.0	353
32083	250.0	1
32084	14350.0	27
32086	3549.0	9
32087	0	0
32091	15250.0	19
32092	6300.0	8
32094	1500.0	2
32095	4500.0	7
32096	0	0
32097	0	0
320HH	0	0
320XX	0	0
32102	0	0
32110	2300.0	3
32112	250.0	1
32113	3200.0	8
32114	13915.0	21
32117	3850.0	10
32118	46537.0	93
32119	33750.0	47
32124	5050.0	11
32127	5615.0	14
32130	3950.0	8
32131	0	0
32132	0	0
32134	1000.0	2
32136	1500.0	5
32137	8400.0	12
32138	0	0
32139	0	0
32140	0	0
32141	500.0	2
32145	200.0	1
32147	0	0
32148	0	0
32157	0	0
32159	15850.0	20
32164	400.0	2
32168	5025.0	18
32169	5300.0	13
32174	56100.0	127
32176	44798.0	73
32177	2500.0	7
32179	500.0	1
32180	0	0
32181	0	0
32182	0	0
32183	0	0
32185	0	0
32187	0	0
32189	750.0	2
32190	0	0
32193	8051.0	26
32195	3000.0	5
321HH	0	0
321XX	0	0
32202	73950.0	92
32204	31089.0	50
32205	64100.0	84
32206	-250.0	1
32207	161700.0	222
32208	800.0	4
32209	8950.0	13
32210	110150.0	159
32211	14850.0	25
32212	0	0
32215	0	0
32216	26100.0	43
32217	51700.0	97
32218	5000.0	9
32219	1250.0	2
32220	0	0
32221	2000.0	2
32222	750.0	2
32223	34950.0	62
32224	25250.0	40
32225	51900.0	91
32226	6100.0	14
32227	0	0
32233	19900.0	28
32234	500.0	1
32244	3500.0	5
32246	5250.0	9
32250	10450.0	19
32254	500.0	1
32256	76950.0	115
32257	75050.0	109
32258	4000.0	8
32259	12650.0	22
32266	3650.0	10
32277	15800.0	24
322HH	0	0
32301	56000.0	107
32303	32506.0	61
32304	5700.0	10
32308	82340.0	179
32310	500.0	1
32311	8550.0	17
32312	118163.0	230
32320	2500.0	4
32321	0	0
32322	500.0	1
32323	0	0
32324	0	0
32327	2150.0	6
32328	1000.0	3
32330	0	0
32331	250.0	1
32332	0	0
32333	5500.0	8
32334	0	0
32335	0	0
32336	256.0	1
32337	500.0	1
32340	1250.0	3
32343	0	0
32344	13334.0	25
32346	0	0
32347	1950.0	5
32350	0	0
32351	1950.0	5
32355	0	0
32356	0	0
32357	0	0
32358	250.0	1
32359	0	0
32360	0	0
32361	0	0
32399	250.0	1
323HH	0	0
323XX	0	0
32401	33112.0	57
32403	0	0
32404	26500.0	32
32405	16950.0	32
32407	31550.0	33
32408	24750.0	40
32409	4256.0	8
32410	0	0
32413	3500.0	4
32420	0	0
32421	0	0
32422	0	0
32423	600.0	2
32424	500.0	1
32425	500.0	1
32426	2500.0	3
32427	0	0
32428	1550.0	5
32430	0	0
32431	500.0	1
32432	0	0
32433	1750.0	6
32437	0	0
32438	0	0
32439	1400.0	2
32440	4500.0	15
32442	0	0
32443	0	0
32444	22050.0	30
32445	0	0
32446	2500.0	7
32447	500.0	1
32448	0	0
32449	0	0
32455	3400.0	9
32456	2459.0	6
32459	12750.0	21
32460	0	0
32462	0	0
32463	0	0
32464	529.0	3
32465	5256.0	7
32466	0	0
324HH	0	0
324XX	0	0
32501	49350.0	82
32503	158423.0	159
32504	34100.0	59
32505	18600.0	30
32506	8630.0	19
32507	32560.0	59
32508	500.0	2
32514	38800.0	71
32526	11350.0	20
32531	750.0	2
32533	27300.0	42
32534	7495.0	13
32535	600.0	2
32536	6461.0	11
32539	1000.0	3
32541	49040.0	79
32542	0	0
32544	370.0	1
32547	8600.0	19
32548	14555.0	30
32561	89561.0	165
32564	550.0	2
32565	6700.0	10
32566	15416.0	30
32567	0	0
32568	0	0
32569	2105.0	7
32570	15450.0	24
32571	33100.0	58
32577	2300.0	5
32578	36300.0	59
32579	13350.0	28
32580	2124.0	4
32583	7235.0	13
325HH	0	0
325XX	0	0
32601	4696.0	15
32603	1100.0	4
32605	35642.0	60
32606	15540.0	45
32607	23406.0	65
32608	44400.0	77
32609	4900.0	9
32615	20750.0	23
32616	491.0	1
32617	200.0	1
32618	1000.0	2
32619	1500.0	2
32621	2614.0	6
32622	0	0
32625	3959.0	10
32626	1700.0	5
32628	1256.0	3
32639	0	0
32640	250.0	1
32641	500.0	1
32643	0	0
32648	0	0
32653	6669.0	17
32654	0	0
32656	250.0	1
32658	0	0
32662	0	0
32664	200.0	1
32666	250.0	1
32667	1650.0	4
32668	0	0
32669	900.0	3
32680	2500.0	3
32681	0	0
32683	0	0
32686	500.0	1
32692	0	0
32693	2750.0	7
32694	400.0	1
32696	1750.0	5
32697	0	0
326HH	0	0
326XX	0	0
32701	16350.0	34
32702	1300.0	4
32703	24800.0	37
32706	0	0
32707	6871.0	16
32708	36600.0	74
32709	500.0	1
32712	16550.0	32
32713	13800.0	24
32714	72655.0	108
32720	7700.0	24
32724	16325.0	51
32725	4279.0	11
32726	2000.0	3
32730	750.0	2
32732	3000.0	7
32735	0	0
32736	250.0	1
32738	250.0	1
32744	0	0
32746	116353.0	175
32750	22234.0	38
32751	98177.0	195
32754	1000.0	2
32757	16950.0	23
32759	0	0
32763	1665.0	5
32764	750.0	3
32765	40850.0	78
32766	4500.0	7
32767	0	0
32771	50000.0	83
32773	86750.0	27
32775	0	0
32776	250.0	1
32778	2000.0	4
32779	157840.0	280
32780	3450.0	10
32784	3198.0	6
32789	347337.0	642
32792	37742.0	80
32796	2750.0	6
32798	300.0	1
327HH	0	0
327XX	0	0
32801	107963.0	188
32803	61700.0	117
32804	91750.0	187
32805	3050.0	6
32806	74030.0	161
32807	10650.0	25
32808	10150.0	23
32809	40065.0	70
32810	2448.0	5
32811	7300.0	15
32812	35250.0	67
32817	16900.0	28
32818	3750.0	11
32819	78550.0	146
32820	2000.0	3
32821	250.0	1
32822	4700.0	11
32824	2250.0	6
32825	11450.0	26
32826	2250.0	5
32827	1750.0	3
32828	12100.0	25
32829	2000.0	2
32831	0	0
32832	1000.0	2
32833	250.0	1
32835	43523.0	71
32836	53825.0	116
32837	5930.0	14
32839	2450.0	7
328HH	0	0
32901	14050.0	29
32903	28550.0	68
32904	8300.0	14
32905	15950.0	23
32907	7250.0	10
32908	0	0
32909	9115.0	13
32920	2500.0	5
32922	12575.0	25
32925	250.0	1
32926	7280.0	15
32927	1000.0	2
32931	15961.0	33
32934	13400.0	21
32935	15350.0	25
32937	36250.0	65
32940	15800.0	28
32948	1250.0	2
32949	0	0
32950	1150.0	4
32951	15000.0	23
32952	24800.0	45
32953	6000.0	13
32955	22300.0	51
32958	2500.0	8
32960	12550.0	31
32962	11100.0	17
