zoneID	money	freq
30002	1500.0	2
30004	58400.0	98
30005	24509.0	39
30008	5200.0	14
30011	1000.0	2
30012	12996.0	26
30013	7750.0	15
30014	6850.0	16
30016	250.0	1
30017	13250.0	20
30019	13170.0	20
30021	4500.0	4
30022	88693.0	138
30024	57558.0	84
30025	2550.0	4
30030	21674.0	41
30032	0	0
30033	5050.0	11
30034	250.0	1
30035	0	0
30038	0	0
30039	7750.0	14
30040	43050.0	78
30041	33775.0	62
30043	46236.0	67
30044	20330.0	38
30045	31875.0	48
30047	25384.0	41
30052	67869.0	98
30054	0	0
30055	2700.0	4
30056	1100.0	3
30058	1650.0	4
30060	49575.0	88
30062	69940.0	126
30064	176477.0	313
30066	41705.0	65
30067	186543.0	308
30068	113421.0	181
30070	0	0
30071	23600.0	33
30072	0	0
30075	70904.0	111
30076	46925.0	75
30078	27811.0	53
30079	500.0	1
30080	42650.0	73
30082	23550.0	33
30083	1250.0	3
30084	16550.0	30
30087	51000.0	79
30088	0	0
30092	75750.0	114
30093	5670.0	9
30094	13050.0	24
30096	59875.0	106
30097	148003.0	218
300HH	0	0
30101	39850.0	67
30102	6900.0	16
30103	1100.0	4
30104	2000.0	2
30105	3700.0	9
30106	10200.0	12
30107	4375.0	13
30108	750.0	2
30110	5950.0	13
30113	1700.0	4
30114	27600.0	53
30115	10950.0	23
30116	11800.0	23
30117	75560.0	148
30120	58109.0	98
30121	2050.0	5
30122	2300.0	4
30124	11000.0	13
30125	22700.0	42
30126	7300.0	12
30127	30498.0	53
30132	31750.0	46
30134	28800.0	46
30135	32200.0	59
30137	700.0	2
30139	0	0
30141	6000.0	10
30143	14900.0	21
30144	35050.0	62
30145	0	0
30147	0	0
30148	500.0	1
30152	81650.0	136
30153	13675.0	27
30157	8000.0	10
30161	117681.0	116
30165	81600.0	123
30168	500.0	1
30170	250.0	1
30171	0	0
30173	3750.0	7
30175	2000.0	3
30176	2000.0	5
30177	250.0	1
30178	0	0
30179	750.0	2
30180	16142.0	27
30182	0	0
30183	3500.0	8
30184	1750.0	3
30185	5000.0	11
30187	2000.0	4
30188	11050.0	20
30189	15550.0	23
301HH	0	0
30204	11350.0	37
30205	3250.0	4
30206	0	0
30213	8450.0	17
30214	13300.0	24
30215	23875.0	35
30216	0	0
30217	0	0
