zoneID	money	freq
46001	3250.0	7
46011	45895.0	109
46012	8600.0	21
46013	3298.0	9
46016	4250.0	13
46017	975.0	3
46030	0	0
46031	5000.0	8
46032	339610.0	486
46033	96550.0	189
46034	1500.0	3
46035	0	0
46036	2000.0	5
46038	61650.0	119
46039	0	0
46040	4200.0	8
46041	975.0	3
46044	2500.0	4
46045	0	0
46047	0	0
46048	0	0
46049	0	0
46050	0	0
46051	225.0	1
46052	15500.0	23
46055	9750.0	14
46056	1300.0	4
46057	0	0
46058	0	0
46060	55146.0	82
46063	250.0	1
46064	18100.0	30
46065	0	0
46068	700.0	2
46069	2500.0	7
46070	250.0	1
46071	200.0	1
46072	7000.0	12
46074	5900.0	13
46075	18500.0	19
46076	0	0
46077	109292.0	175
460HH	0	0
46102	0	0
46103	0	0
46104	0	0
46105	500.0	1
46106	2150.0	6
46107	4500.0	5
46110	0	0
46111	0	0
46112	18120.0	37
46113	500.0	2
46115	0	0
46117	0	0
46118	0	0
46120	3000.0	3
46121	750.0	2
46122	6250.0	15
46123	12870.0	14
46124	2000.0	4
46125	0	0
46126	5650.0	15
46127	0	0
46128	200.0	1
46130	3000.0	5
46131	28650.0	45
46133	0	0
46135	6300.0	13
46140	7750.0	17
46142	7112.0	16
46143	26846.0	49
46144	0	0
46147	1000.0	1
46148	500.0	1
46149	250.0	1
46150	0	0
46151	13350.0	22
46155	1500.0	2
46156	5380.0	14
46157	0	0
46158	2250.0	3
46160	4700.0	6
46161	0	0
46162	1000.0	1
46163	1250.0	2
46164	750.0	3
46165	0	0
46166	250.0	1
46167	3800.0	8
46168	10550.0	27
46171	0	0
46172	0	0
46173	3250.0	9
46175	0	0
46176	15160.0	31
46180	1000.0	1
46181	1400.0	6
46182	750.0	3
46184	1000.0	3
46186	0	0
461HH	0	0
46201	6250.0	11
46202	72173.0	130
46203	7950.0	12
46204	124979.0	271
46205	48900.0	98
46208	72330.0	133
46214	1700.0	6
46216	6312.0	12
46217	21200.0	27
46218	5550.0	9
46219	22200.0	46
46220	126100.0	248
46221	250.0	1
46222	4250.0	5
46224	5826.0	17
46225	6240.0	15
46226	29710.0	57
46227	13434.0	25
46228	48550.0	87
46229	1700.0	4
46231	1500.0	2
46234	42900.0	71
46235	1200.0	4
46236	71732.0	147
46237	17050.0	28
46239	8850.0	28
46240	233140.0	398
46241	14200.0	20
46250	67750.0	133
46254	32350.0	64
46256	83400.0	148
46259	2300.0	3
46260	249600.0	421
46268	47700.0	88
46278	169231.0	237
46280	16600.0	37
46290	24550.0	40
462HH	0	0
46301	3500.0	4
46303	750.0	3
46304	19500.0	31
46307	44360.0	62
46310	20750.0	25
46311	12850.0	21
46312	19750.0	25
46319	2250.0	4
46320	7700.0	12
46321	66000.0	96
46322	11500.0	20
46323	500.0	2
46324	2420.0	6
46327	750.0	3
46340	0	0
46341	1000.0	2
46342	1250.0	4
46345	4000.0	4
46346	0	0
46347	0	0
46348	500.0	2
46349	0	0
46350	57012.0	102
46356	0	0
46360	24300.0	61
46365	0	0
46366	1250.0	3
46368	11700.0	24
46371	500.0	1
46373	200.0	1
46374	0	0
46375	27900.0	43
46376	0	0
46377	0	0
46379	0	0
46381	0	0
46382	1500.0	4
46383	61951.0	120
46385	27875.0	52
46390	750.0	1
46391	2500.0	4
46392	2000.0	2
46393	500.0	1
46394	750.0	3
463HH	0	0
46402	1520.0	4
46403	7491.0	14
46404	1000.0	1
46405	0	0
46406	3000.0	4
46407	0	0
46408	0	0
46409	750.0	2
46410	29200.0	50
464HH	0	0
46501	22179.0	33
46502	0	0
46504	0	0
46506	5750.0	8
46507	67660.0	93
46508	0	0
46510	0	0
46511	6900.0	10
46513	0	0
46514	115620.0	189
46516	43450.0	67
46517	22200.0	32
46524	400.0	1
46526	35574.0	61
46528	3500.0	6
46530	115078.0	194
46531	0	0
46532	2550.0	9
46534	6750.0	10
46536	250.0	1
46537	0	0
46538	5780.0	7
46539	400.0	1
46540	17250.0	27
46542	3650.0	9
46543	0	0
46544	40861.0	71
46545	34475.0	60
46550	1750.0	4
46552	1750.0	3
46553	300.0	1
46554	1170.0	4
46555	5547.0	11
46556	1500.0	3
46561	7000.0	15
46562	0	0
46563	17250.0	30
46565	3750.0	7
46566	0	0
46567	30400.0	44
46570	0	0
46571	0	0
46573	3450.0	6
46574	8250.0	15
46580	19600.0	39
46582	3000.0	6
46590	9050.0	11
46595	0	0
465HH	0	0
46601	18101.0	41
46613	500.0	2
46614	81498.0	143
46615	18400.0	39
46616	15830.0	23
46617	76271.0	146
46619	2125.0	7
46628	14050.0	26
46629	0	0
46635	9900.0	20
46637	10850.0	25
466HH	0	0
46701	450.0	2
46702	0	0
46703	8550.0	20
46705	0	0
46706	21450.0	40
46710	0	0
46711	1320.0	4
46714	9650.0	29
46721	600.0	3
46723	4300.0	7
46725	8700.0	23
46730	0	0
46731	0	0
46732	0	0
46733	500.0	2
46737	1750.0	4
46738	0	0
46740	3195.0	7
46741	3100.0	6
46742	500.0	2
46743	250.0	1
46745	1750.0	4
46746	200.0	1
46747	200.0	1
46748	4075.0	9
46750	3550.0	10
46755	9850.0	16
46759	0	0
46760	0	0
46761	2000.0	2
46763	500.0	2
46764	6350.0	16
46765	1250.0	2
46766	0	0
46767	0	0
46770	1750.0	3
46772	0	0
46773	2000.0	2
46774	2050.0	8
46776	0	0
46777	1500.0	3
46779	0	0
46781	0	0
46783	12050.0	20
46784	0	0
46785	0	0
46787	2900.0	7
46788	3250.0	9
46791	250.0	1
46792	0	0
46793	700.0	2
46794	2000.0	3
46795	450.0	2
46797	950.0	3
46798	0	0
46799	1000.0	1
467HH	0	0
46802	20530.0	54
46803	1500.0	2
46804	167511.0	309
46805	19871.0	115
46806	250.0	1
46807	29900.0	55
46808	2750.0	6
46809	1800.0	6
46814	51800.0	95
46815	21330.0	44
46816	3390.0	5
46818	1250.0	2
46819	850.0	4
46825	28116.0	63
46835	21710.0	50
46845	40227.0	81
46901	13700.0	33
46902	4450.0	12
46910	500.0	1
46911	250.0	1
46913	1000.0	1
46914	250.0	1
46917	0	0
46919	250.0	1
46920	0	0
46921	0	0
46923	750.0	2
46926	0	0
46928	0	0
46929	0	0
46930	0	0
46931	0	0
46932	1250.0	2
46933	0	0
46936	500.0	1
46938	250.0	1
46939	0	0
46940	500.0	1
46941	0	0
46943	0	0
46946	0	0
46947	13450.0	31
46950	0	0
46951	0	0
46952	6250.0	15
46953	2700.0	3
46957	0	0
46958	0	0
46959	0	0
46960	250.0	1
46961	0	0
46962	1950.0	6
46968	0	0
46970	6500.0	14
46974	250.0	1
46975	6105.0	17
46978	1200.0	2
46979	0	0
46982	250.0	1
46985	0	0
46986	0	0
46987	0	0
46988	0	0
46989	4000.0	4
46990	0	0
46991	0	0
46992	11200.0	20
46994	1000.0	1
46996	2450.0	6
46998	0	0
469HH	0	0
47001	1000.0	1
47003	0	0
47006	30900.0	54
47010	0	0
47011	0	0
47012	1200.0	2
47016	0	0
47017	0	0
47018	350.0	1
47019	0	0
47020	209.0	1
47021	0	0
47022	0	0
47023	0	0
47024	0	0
47025	4000.0	8
47030	0	0
47031	300.0	1
47032	0	0
47034	0	0
47035	0	0
47036	0	0
47037	0	0
47038	0	0
47040	0	0
47041	250.0	1
47042	450.0	2
47043	0	0
47060	1600.0	4
470HH	0	0
47102	4500.0	5
47106	6000.0	7
47108	0	0
47111	2300.0	6
47112	6850.0	9
47114	0	0
47115	0	0
47116	0	0
47117	0	0
47118	0	0
47119	48300.0	61
47120	0	0
47122	4750.0	7
47123	0	0
47124	7500.0	8
47125	0	0
47126	4725.0	6
47129	4551.0	11
47130	58799.0	99
47135	600.0	2
47136	3750.0	7
47137	0	0
47138	0	0
47139	0	0
47140	0	0
47141	0	0
47142	250.0	1
47143	700.0	3
47145	0	0
47147	0	0
47150	37009.0	71
47160	0	0
47161	250.0	1
47162	0	0
47163	0	0
47164	2000.0	2
47165	0	0
47166	0	0
47167	3406.0	11
47170	3250.0	7
47172	15100.0	29
47174	0	0
47175	0	0
47177	0	0
471HH	0	0
47201	78050.0	149
47203	55450.0	106
47220	1750.0	4
47223	0	0
47224	0	0
47226	0	0
47227	0	0
47229	300.0	1
47230	0	0
47231	1000.0	1
47232	1000.0	1
47234	-1000.0	3
47235	0	0
47240	32370.0	47
47243	1550.0	3
47244	0	0
47246	200.0	1
47247	0	0
47250	8000.0	19
47260	1000.0	2
47263	0	0
47264	0	0
47265	2000.0	4
47270	0	0
47272	1250.0	2
47273	0	0
47274	37100.0	65
47280	0	0
47281	0	0
47282	0	0
47283	1000.0	1
472HH	0	0
47302	3100.0	9
47303	5300.0	8
47304	89029.0	151
47305	7800.0	15
47320	0	0
47325	0	0
47326	0	0
47327	1250.0	5
