zoneID	money	freq
40003	500.0	1
40004	12850.0	21
40006	750.0	4
40007	0	0
40008	0	0
40009	0	0
40010	6000.0	6
40011	200.0	1
40012	0	0
40013	1450.0	6
40014	39395.0	61
40019	1050.0	2
40020	0	0
40022	1500.0	2
40023	10550.0	20
40026	42390.0	61
40031	32500.0	47
40033	250.0	1
40036	0	0
40037	200.0	1
40040	1000.0	1
40045	0	0
40046	0	0
40047	200.0	1
40050	400.0	1
40051	0	0
40052	0	0
40055	0	0
40056	6200.0	11
40057	2000.0	3
40058	0	0
40059	181267.0	263
40060	0	0
40062	0	0
40065	16187.0	29
40067	21550.0	33
40068	0	0
40069	17250.0	29
40070	0	0
40071	0	0
40076	2750.0	4
40077	0	0
40078	250.0	1
400HH	0	0
40104	0	0
40107	0	0
40108	2250.0	3
40109	500.0	1
40111	0	0
40115	0	0
40117	500.0	1
40118	0	0
40119	1000.0	1
40121	0	0
40140	0	0
40142	0	0
40143	3050.0	6
40144	0	0
40145	0	0
40146	1500.0	3
40150	6000.0	6
40152	250.0	1
40155	0	0
40157	0	0
40160	2050.0	6
40162	0	0
40164	0	0
40165	12450.0	21
40170	0	0
40171	0	0
40175	2250.0	7
40176	0	0
40177	0	0
40178	0	0
401HH	0	0
401XX	0	0
40202	70715.0	113
40203	4000.0	5
40204	41167.0	61
40205	106760.0	160
40206	140865.0	217
40207	491151.0	741
40208	9750.0	13
40209	750.0	2
40210	700.0	2
40211	2000.0	2
40212	1000.0	1
40213	15375.0	20
40214	9450.0	17
40215	0	0
40216	23250.0	27
40217	5750.0	8
40218	15800.0	19
40219	1000.0	1
40220	22500.0	27
40222	203500.0	282
40223	160910.0	260
40228	0	0
40229	1250.0	2
40241	92850.0	148
40242	6450.0	9
40243	10800.0	19
40245	64700.0	100
40258	0	0
40272	6975.0	10
40291	12700.0	24
40299	43910.0	62
402HH	0	0
40310	0	0
40311	8000.0	15
40312	0	0
40313	0	0
40316	0	0
40322	0	0
40324	19295.0	37
40328	0	0
40330	7250.0	10
40334	0	0
40336	1300.0	2
40337	0	0
40339	0	0
40342	15375.0	29
40346	0	0
40347	1450.0	3
40348	0	0
40350	0	0
40351	21100.0	41
40353	9300.0	20
40355	0	0
40356	50975.0	88
40358	0	0
40359	1525.0	5
40360	0	0
40361	32750.0	46
40363	0	0
40370	0	0
40371	0	0
40372	250.0	1
40374	0	0
40376	0	0
40379	0	0
40380	550.0	2
40383	14250.0	23
40385	0	0
40387	0	0
40390	2000.0	2
40391	16875.0	29
403HH	0	0
40402	2000.0	2
40403	8000.0	9
40409	1250.0	2
40419	0	0
40422	39800.0	66
40437	0	0
40440	0	0
40442	0	0
40444	8450.0	16
40445	0	0
40447	2250.0	7
40448	0	0
40456	7500.0	11
40460	0	0
40461	500.0	1
40464	0	0
40468	500.0	1
40472	0	0
40475	20850.0	33
40481	0	0
40484	15500.0	16
40486	0	0
40488	0	0
40489	0	0
404HH	0	0
40502	166048.0	293
40503	36425.0	67
40504	14400.0	19
40505	5500.0	8
40507	14250.0	27
40508	14450.0	20
40509	61325.0	84
40510	12750.0	16
40511	15925.0	27
40513	48067.0	85
40514	8000.0	15
40515	32800.0	67
40516	13500.0	18
40517	12000.0	20
405HH	0	0
40601	64500.0	93
40701	46750.0	74
40729	6500.0	7
40730	0	0
40734	0	0
40737	0	0
40740	250.0	1
40741	45775.0	74
40744	13750.0	21
40759	250.0	1
40763	0	0
40769	3250.0	8
40771	0	0
407HH	0	0
40801	3000.0	7
40803	0	0
40806	0	0
40807	0	0
40808	0	0
40810	0	0
40813	0	0
40815	0	0
40816	0	0
40818	0	0
40819	0	0
40820	0	0
40823	500.0	1
40824	0	0
40826	500.0	1
40827	0	0
40828	0	0
40830	0	0
40831	17350.0	32
40840	0	0
40843	0	0
40844	0	0
40845	0	0
40847	0	0
40849	0	0
40854	0	0
40855	0	0
40856	0	0
40858	0	0
40862	0	0
40863	0	0
40865	0	0
40867	0	0
40868	0	0
40870	0	0
40873	0	0
40874	0	0
408HH	0	0
408XX	0	0
40902	0	0
40903	0	0
40906	12050.0	20
40913	0	0
40914	0	0
40915	0	0
40921	0	0
40923	0	0
40927	0	0
40930	0	0
40935	0	0
40940	0	0
40941	0	0
40943	0	0
40946	0	0
40949	0	0
40953	0	0
40958	0	0
40962	8750.0	14
40965	6600.0	14
40972	0	0
40977	550.0	2
40979	0	0
40982	0	0
40983	0	0
40988	0	0
40995	0	0
40997	0	0
40999	0	0
409HH	0	0
41001	6750.0	15
41002	2500.0	4
41003	0	0
41004	0	0
41005	3550.0	10
41006	8000.0	8
41007	1050.0	3
41008	0	0
41010	4000.0	4
41011	26030.0	67
41014	250.0	1
41015	10850.0	18
41016	0	0
41017	152814.0	284
41018	24850.0	38
41030	2000.0	2
41031	3250.0	7
41033	500.0	1
41034	0	0
41035	500.0	1
41039	0	0
41040	750.0	2
41041	1500.0	2
41042	20950.0	44
41043	0	0
41044	0	0
41045	0	0
41046	0	0
41048	14250.0	25
41049	0	0
41051	8849.0	16
41052	0	0
41055	0	0
41056	8200.0	12
41059	0	0
41063	0	0
41064	0	0
41071	10450.0	22
41073	500.0	1
41074	0	0
41075	41133.0	95
41076	27607.0	49
41080	0	0
41083	0	0
41085	0	0
41086	0	0
41091	56200.0	100
41092	1250.0	2
41093	1500.0	2
41094	14859.0	26
41095	0.0	3
41097	2250.0	3
41098	1000.0	1
410HH	0	0
41101	28250.0	53
41102	37150.0	54
41121	0	0
41124	0	0
41129	30500.0	36
41132	0	0
41135	0	0
41137	0	0
41139	1250.0	2
41141	0	0
41142	0	0
41143	1400.0	2
41144	750.0	2
41146	0	0
41149	0	0
41159	0	0
41164	0	0
41166	0	0
41168	3700.0	8
41169	4250.0	9
41170	0	0
41171	0	0
41174	0	0
41175	0	0
41179	1000.0	1
41180	0	0
41183	200.0	1
41189	0	0
411HH	0	0
41201	0	0
41203	0	0
41204	250.0	1
41214	0	0
41216	0	0
41219	0	0
41222	2450.0	4
41224	23750.0	33
41226	0	0
41228	0	0
41230	0	0
41231	6000.0	8
41232	0	0
41234	0	0
41238	0	0
41240	17250.0	24
41250	0	0
41254	0	0
41255	1000.0	1
