zoneID	money	freq
40003	500.0	1
40004	14650.0	24
40006	1000.0	5
40007	0	0
40008	0	0
40009	0	0
40010	6500.0	7
40011	200.0	1
40012	0	0
40013	1450.0	6
40014	44645.0	75
40019	1300.0	3
40020	0	0
40022	1500.0	2
40023	12550.0	22
40026	50590.0	78
40031	39900.0	59
40033	13788.0	16
40036	0	0
40037	200.0	1
40040	1000.0	1
40045	200.0	1
40046	0	0
40047	1200.0	3
40050	2900.0	4
40051	0	0
40052	0	0
40055	0	0
40056	8200.0	14
40057	2600.0	6
40058	1000.0	1
40059	233767.0	350
40060	0	0
40062	0	0
40065	24887.0	49
40067	23800.0	36
40068	0	0
40069	23650.0	39
40070	0	0
40071	0	0
40076	2750.0	4
40077	0	0
40078	250.0	1
400HH	0	0
40104	0	0
40107	0	0
40108	2550.0	4
40109	500.0	1
40111	0	0
40115	0	0
40117	500.0	1
40118	6500.0	9
40119	1000.0	1
40121	0	0
40140	0	0
40142	0	0
40143	4050.0	7
40144	2000.0	2
40145	0	0
40146	1500.0	3
40150	6000.0	6
40152	250.0	1
40155	0	0
40157	0	0
40160	4550.0	11
40162	0	0
40164	0	0
40165	17950.0	31
40170	0	0
40171	0	0
40175	3250.0	8
40176	0	0
40177	0	0
40178	0	0
401HH	0	0
401XX	0	0
40202	170515.0	286
40203	9135.0	19
40204	95280.0	152
40205	211450.0	348
40206	243615.0	383
40207	578674.0	911
40208	26092.0	34
40209	1050.0	3
40210	8200.0	10
40211	3000.0	3
40212	1000.0	1
40213	17625.0	25
40214	23600.0	41
40215	4250.0	5
40216	23500.0	28
40217	7200.0	12
40218	18100.0	23
40219	4675.0	9
40220	27400.0	37
40222	260386.0	378
40223	212485.0	339
40228	0	0
40229	2250.0	3
40241	143350.0	221
40242	11200.0	16
40243	16050.0	32
40245	75500.0	118
40258	750.0	2
40272	13725.0	18
40291	15500.0	28
40299	69810.0	107
402HH	0	0
40310	0	0
40311	11000.0	21
40312	0	0
40313	0	0
40316	0	0
40322	0	0
40324	27995.0	53
40328	0	0
40330	13500.0	20
40334	0	0
40336	1300.0	2
40337	0	0
40339	0	0
40342	16875.0	32
40346	0	0
40347	15806.0	23
40348	0	0
40350	0	0
40351	27350.0	56
40353	12050.0	26
40355	0	0
40356	59812.0	104
40358	3400.0	6
40359	8025.0	15
40360	0	0
40361	36300.0	52
40363	1000.0	1
40370	700.0	2
40371	0	0
40372	250.0	1
40374	0	0
40376	0	0
40379	0	0
40380	4050.0	9
40383	24750.0	46
40385	0	0
40387	0	0
40390	2750.0	4
40391	19875.0	33
403HH	0	0
40402	2000.0	2
40403	14900.0	27
40409	1250.0	2
40419	0	0
40422	43300.0	71
40437	0	0
40440	0	0
40442	0	0
40444	8850.0	17
40445	0	0
40447	2500.0	8
40448	0	0
40456	8000.0	12
40460	0	0
40461	500.0	1
40464	0	0
40468	500.0	1
40472	0	0
40475	29885.0	57
40481	0	0
40484	20650.0	24
40486	0	0
40488	0	0
40489	0	0
404HH	0	0
40502	270552.0	494
40503	54350.0	94
40504	19200.0	32
40505	11500.0	15
40507	63400.0	115
40508	35500.0	60
40509	91318.0	125
40510	20600.0	30
40511	29125.0	46
40513	61717.0	118
40514	10500.0	19
40515	45650.0	91
40516	15750.0	21
40517	20150.0	34
405HH	0	0
40601	160070.0	270
40701	52592.0	86
40729	6500.0	7
40730	0	0
40734	900.0	2
40737	0	0
40740	250.0	1
40741	49525.0	79
40744	16250.0	25
40759	250.0	1
40763	0	0
40769	3250.0	8
40771	0	0
407HH	0	0
40801	3000.0	7
40803	0	0
40806	0	0
40807	0	0
40808	0	0
40810	0	0
40813	0	0
40815	0	0
40816	0	0
40818	0	0
40819	0	0
40820	0	0
40823	500.0	1
40824	0	0
40826	500.0	1
40827	0	0
40828	2000.0	2
40830	0	0
40831	21150.0	40
40840	0	0
40843	0	0
40844	0	0
40845	0	0
40847	0	0
40849	0	0
40854	200.0	1
40855	0	0
40856	0	0
40858	0	0
40862	0	0
40863	0	0
40865	0	0
40867	0	0
40868	0	0
40870	0	0
40873	0	0
40874	0	0
408HH	0	0
408XX	0	0
40902	0	0
40903	0	0
40906	15300.0	27
40913	0	0
40914	0	0
40915	0	0
40921	0	0
40923	0	0
40927	0	0
40930	0	0
40935	0	0
40940	0	0
40941	0	0
40943	0	0
40946	0	0
40949	0	0
40953	0	0
40958	0	0
40962	13750.0	21
40965	22850.0	36
40972	0	0
40977	4800.0	9
40979	0	0
40982	0	0
40983	0	0
40988	0	0
40995	0	0
40997	0	0
40999	0	0
409HH	0	0
41001	7350.0	17
41002	3750.0	7
41003	0	0
41004	0	0
41005	16450.0	27
41006	8000.0	8
41007	1050.0	3
41008	1650.0	6
41010	4000.0	4
41011	61880.0	132
41014	500.0	2
41015	15000.0	30
41016	2000.0	2
41017	273037.0	494
41018	33950.0	52
41030	2000.0	2
41031	14900.0	27
41033	500.0	1
41034	0	0
41035	4600.0	10
41039	0	0
41040	750.0	2
41041	1500.0	2
41042	70000.0	124
41043	0	0
41044	250.0	1
41045	0	0
41046	0	0
41048	22350.0	40
41049	400.0	2
41051	15349.0	23
41052	0	0
41055	2000.0	2
41056	11000.0	19
41059	1850.0	5
41063	0	0
41064	250.0	1
41071	12450.0	27
41073	1500.0	4
41074	500.0	1
41075	59633.0	128
41076	47107.0	75
41080	0	0
41083	0	0
41085	0	0
41086	0	0
41091	119341.0	219
41092	3250.0	4
41093	1500.0	2
41094	39209.0	63
41095	2500.0	8
41097	4800.0	13
41098	1000.0	1
410HH	0	0
41101	50890.0	99
41102	46071.0	70
41121	0	0
41124	0	0
41129	34000.0	41
41132	0	0
41135	0	0
41137	0	0
41139	2500.0	6
41141	0	0
41142	0	0
41143	3150.0	7
41144	1950.0	5
41146	0	0
41149	0	0
41159	0	0
41164	0	0
41166	0	0
41168	3700.0	8
41169	5450.0	13
41170	0	0
41171	0	0
41174	400.0	2
41175	0	0
41179	1200.0	2
41180	0	0
41183	200.0	1
41189	1000.0	1
411HH	0	0
41201	0	0
41203	0	0
41204	250.0	1
41214	0	0
41216	250.0	1
41219	0	0
41222	2700.0	5
41224	24000.0	34
41226	500.0	2
41228	0	0
41230	1150.0	4
41231	6000.0	8
41232	0	0
41234	0	0
41238	0	0
41240	20500.0	31
41250	0	0
41254	0	0
41255	1000.0	1
41256	3750.0	5
41257	500.0	1
41260	0	0
41262	0	0
41263	0	0
41264	0	0
