zoneID	money	freq
70001	31200.0	47
70002	61350.0	94
70003	22350.0	34
70005	61305.0	99
70006	14750.0	24
70030	3500.0	5
70031	0	0
70032	1750.0	3
70036	0	0
70037	15700.0	20
70038	0	0
70039	0	0
70040	0	0
70041	1000.0	2
70043	5750.0	14
70047	21450.0	33
70049	0	0
70050	1000.0	1
70051	0	0
70052	1250.0	3
70053	11600.0	14
70056	19000.0	28
70057	0	0
70058	8050.0	15
70062	6500.0	8
70065	46321.0	80
70066	1000.0	1
70067	0	0
70068	15250.0	32
70070	5000.0	7
70071	300.0	1
70072	4965.0	7
70075	2250.0	4
70076	0	0
70079	8250.0	17
70080	250.0	1
70082	0	0
70083	0	0
70084	3000.0	6
70085	0	0
70086	0	0
70087	0	0
70090	2900.0	8
70091	0	0
70092	1000.0	1
70094	1024.0	5
700HH	0	0
700XX	0	0
70112	58623.0	94
70113	31725.0	52
70114	1875.0	6
70115	120550.0	192
70116	40466.0	64
70117	1450.0	5
70118	135710.0	252
70119	39404.0	60
70121	2200.0	4
70122	59300.0	94
70123	42028.0	72
70124	96814.0	162
70125	39350.0	71
70126	11700.0	20
70127	9500.0	13
70128	13500.0	23
70129	500.0	1
70130	221294.0	336
70131	38700.0	59
70163	17500.0	26
701HH	0	0
701XX	0	0
70301	10250.0	16
70339	3500.0	6
70341	500.0	1
70342	2750.0	4
70343	0	0
70344	0	0
70345	1000.0	1
70346	2950.0	7
70353	0	0
70354	8250.0	12
70355	2000.0	2
70356	0	0
70357	2250.0	3
70358	0	0
70359	1500.0	2
70360	37000.0	55
70363	5000.0	6
70364	8750.0	22
70372	1500.0	2
70373	4700.0	11
70374	6000.0	8
70375	0	0
70377	0	0
70380	6450.0	11
70390	5775.0	11
70391	1500.0	2
70392	250.0	1
70393	0	0
70394	3750.0	5
70395	1000.0	2
70397	0	0
703HH	0	0
703XX	0	0
70401	6250.0	12
70403	1000.0	1
70420	0	0
70422	1000.0	1
70426	0	0
70427	1500.0	3
70431	2700.0	5
