zoneID	money	freq
48001	8350.0	14
48002	0	0
48003	900.0	3
48005	1450.0	3
48006	0	0
48009	214050.0	334
48014	0	0
48015	1750.0	4
48017	8300.0	6
48021	250.0	1
48022	0	0
48023	900.0	2
48025	162075.0	241
48026	1650.0	5
48027	0	0
48028	250.0	1
48030	1445.0	4
48032	1000.0	1
48034	47725.0	67
48035	6900.0	8
48036	18225.0	41
48038	66152.0	35
48039	1450.0	5
48040	1000.0	2
48041	0	0
48042	8251.0	17
48043	13294.0	25
48044	25850.0	32
48045	33456.0	76
48047	24850.0	50
48048	300.0	1
48049	0	0
48050	0	0
48051	9650.0	16
48054	1000.0	1
48059	29200.0	37
48060	2150.0	5
48062	9750.0	13
48063	0	0
48064	0	0
48065	5200.0	9
48066	7700.0	9
48067	8200.0	14
48069	1250.0	2
48070	11400.0	24
48071	12550.0	16
48072	4200.0	8
48073	11200.0	18
48074	0	0
48075	36350.0	78
48076	38500.0	61
48079	3387.0	11
48080	12450.0	23
48081	5760.0	12
48082	2250.0	3
48083	30855.0	21
48084	52926.0	95
48089	20500.0	24
48091	4600.0	9
48092	6400.0	5
48093	17674.0	20
48094	25100.0	38
48095	300.0	1
48096	250.0	1
48097	900.0	2
48098	47312.0	74
480HH	0	0
48101	7400.0	15
48103	32650.0	58
48104	75350.0	122
48105	83415.0	131
48108	28750.0	66
48109	700.0	2
48111	16250.0	19
48114	27300.0	67
48116	77152.0	206
48117	1000.0	3
48118	6700.0	10
48120	4355.0	6
48122	0	0
48124	6150.0	8
48125	2200.0	5
48126	33551.0	43
48127	9000.0	14
48128	700.0	4
48130	17300.0	27
48131	0	0
48133	0	0
48134	4000.0	4
48135	0	0
48137	900.0	3
48138	33250.0	44
48139	1000.0	1
48140	0	0
48141	0	0
48143	1250.0	6
48144	1000.0	1
48145	0	0
48146	0	0
48150	16300.0	27
48152	20125.0	36
48154	37650.0	48
48157	0	0
48158	550.0	2
48159	500.0	1
48160	2500.0	4
48161	1000.0	2
48162	2000.0	2
48164	1000.0	1
48165	0	0
48166	0	0
48167	65268.0	119
48169	8750.0	20
48170	98128.0	142
48173	500.0	1
48174	500.0	1
48176	22140.0	37
48178	16375.0	44
48179	0	0
48180	9400.0	14
48182	0	0
48183	13300.0	16
48184	5000.0	5
48185	1250.0	3
48186	0	0
48187	14000.0	22
48188	5550.0	10
48189	5850.0	9
48190	0	0
48191	0	0
48192	2300.0	3
48195	2200.0	3
48197	12500.0	13
48198	10000.0	10
481HH	0	0
48201	1000.0	2
48202	27275.0	32
48203	7750.0	10
48204	0	0
48205	225.0	1
48206	1000.0	2
48207	12750.0	17
48208	0	0
48209	3000.0	3
48210	0	0
48211	0	0
48212	750.0	3
48213	12250.0	15
48214	300.0	1
48215	0	0
48216	0	0
48217	0	0
48218	300.0	1
48219	1000.0	2
48220	34150.0	9
48221	2750.0	4
48223	4650.0	11
48224	14175.0	18
48225	3700.0	5
48226	54900.0	79
48227	1500.0	3
48228	250.0	1
48229	0	0
48230	48100.0	79
48234	1000.0	1
48235	6900.0	8
48236	183650.0	271
48237	18200.0	31
48238	1250.0	2
48239	6500.0	9
48240	3250.0	5
48242	0	0
482HH	0	0
48301	134475.0	227
48302	268575.0	424
48304	307713.0	435
48306	39550.0	65
48307	20100.0	43
48309	26000.0	39
48310	6700.0	11
48312	7150.0	12
48313	11100.0	20
48314	16650.0	21
48315	23150.0	46
48316	4600.0	9
48317	10000.0	16
48320	10050.0	13
48322	57150.0	107
48323	119270.0	177
48324	43350.0	66
48326	42831.0	57
48327	7950.0	12
48328	7700.0	7
48329	9227.0	13
48331	29600.0	55
48334	94250.0	83
48335	28800.0	39
48336	15650.0	31
48340	500.0	2
48341	6400.0	10
48342	300.0	1
48346	13170.0	21
48348	9200.0	16
48350	4750.0	6
48353	1700.0	7
48356	2600.0	8
48357	700.0	2
48359	0	0
48360	4000.0	10
48362	4650.0	9
48363	1900.0	4
48367	2000.0	22
48370	1250.0	2
48371	26150.0	163
48374	31850.0	49
48375	27400.0	41
48377	8150.0	13
48380	8650.0	16
48381	13550.0	24
48382	17450.0	29
48383	5050.0	8
48386	1500.0	2
48390	10400.0	20
48393	10050.0	16
483HH	0	0
48401	0	0
48412	1000.0	11
48413	0	0
48414	200.0	1
48415	0	0
48416	0	0
48417	0	0
48418	0	0
48419	0	0
48420	3500.0	5
48421	1370.0	3
48422	1050.0	4
48423	1200.0	2
48426	0	0
48427	0	0
48428	1120.0	2
48429	1250.0	3
48430	13610.0	30
48432	0	0
48433	8500.0	9
48434	0	0
48435	0	0
48436	500.0	1
48437	0	0
48438	0	0
48439	13110.0	26
48440	0	0
48441	0	0
48442	200.0	1
48444	0	0
48445	0	0
48446	2250.0	3
48449	0	0
48450	0	0
48451	1300.0	3
48453	0	0
48454	200.0	1
48455	3820.0	11
48456	1000.0	1
48457	0	0
48458	2000.0	2
48460	0	0
48461	11000.0	11
48462	4570.0	10
48463	0	0
48464	2000.0	2
48465	0	0
48466	0	0
48467	0	0
48468	1500.0	3
48469	0	0
48470	0	0
48471	0	0
48472	0	0
48473	0	0
48475	0	0
48476	0	0
484HH	0	0
48502	6500.0	9
48503	4600.0	5
48504	0	0
48505	0	0
48506	0	0
48507	3750.0	7
48509	0	0
48519	0	0
48529	200.0	1
48532	4000.0	12
485HH	0	0
48601	500.0	1
48602	750.0	3
48603	8060.0	15
48604	1500.0	2
48607	0	0
