zoneID	money	freq
48001	19850.0	27
48002	1000.0	3
48003	900.0	3
48005	4450.0	6
48006	0	0
48009	413994.0	673
48014	0	0
48015	5500.0	9
48017	9350.0	9
48021	9160.0	17
48022	0	0
48023	900.0	2
48025	398175.0	619
48026	11250.0	19
48027	250.0	1
48028	250.0	1
48030	2205.0	7
48032	2250.0	3
48034	135280.0	219
48035	18250.0	24
48036	57135.0	95
48038	107521.0	96
48039	3450.0	7
48040	1250.0	3
48041	0	0
48042	11001.0	22
48043	43579.0	78
48044	33860.0	48
48045	42956.0	92
48047	37405.0	70
48048	300.0	1
48049	200.0	1
48050	300.0	1
48051	14875.0	23
48054	8500.0	9
48059	35200.0	49
48060	8400.0	13
48062	10250.0	15
48063	750.0	2
48064	0	0
48065	5200.0	9
48066	20950.0	26
48067	19300.0	36
48069	7950.0	13
48070	64800.0	126
48071	14050.0	18
48072	8650.0	16
48073	20625.0	35
48074	0	0
48075	95150.0	174
48076	87606.0	137
48079	4637.0	13
48080	26900.0	46
48081	15560.0	27
48082	11950.0	17
48083	37555.0	35
48084	85276.0	155
48089	37700.0	51
48091	6800.0	16
48092	23300.0	26
48093	33274.0	48
48094	31350.0	48
48095	4900.0	6
48096	250.0	1
48097	900.0	2
48098	86932.0	139
480HH	0	0
48101	13400.0	22
48103	128590.0	308
48104	181726.0	422
48105	163089.0	344
48108	44850.0	103
48109	2200.0	5
48111	21100.0	30
48114	33400.0	76
48116	95029.0	242
48117	3500.0	6
48118	7450.0	12
48120	13605.0	20
48122	1000.0	1
48124	30500.0	42
48125	3300.0	8
48126	75501.0	100
48127	33600.0	57
48128	4300.0	8
48130	18800.0	30
48131	500.0	1
48133	0	0
48134	7090.0	10
48135	250.0	1
48137	900.0	3
48138	58590.0	83
48139	1000.0	1
48140	0	0
48141	0	0
48143	1250.0	6
48144	1000.0	1
48145	1000.0	1
48146	1000.0	1
48150	27050.0	50
48152	33425.0	67
48154	55000.0	80
48157	0	0
48158	1550.0	7
48159	500.0	1
48160	3000.0	5
48161	5250.0	7
48162	4700.0	9
48164	1250.0	2
48165	250.0	1
48166	0	0
48167	128068.0	218
48169	9678.0	24
48170	138411.0	210
48173	3250.0	5
48174	7250.0	9
48176	28890.0	46
48178	18625.0	49
48179	0	0
48180	15200.0	23
48182	700.0	2
48183	29050.0	36
48184	10900.0	18
48185	5750.0	11
48186	475.0	3
48187	26625.0	49
48188	19450.0	30
48189	8600.0	14
48190	0	0
48191	0	0
48192	7000.0	17
48195	10450.0	14
48197	20960.0	42
48198	15204.0	28
481HH	0	0
48201	8800.0	17
48202	46425.0	59
48203	30150.0	57
48204	1250.0	2
48205	2975.0	5
48206	2750.0	6
48207	32550.0	49
48208	1000.0	1
48209	8750.0	12
48210	3000.0	4
48211	1000.0	1
48212	3450.0	10
48213	14250.0	17
48214	24250.0	46
48215	3750.0	6
48216	500.0	2
48217	0	0
48218	1500.0	4
48219	11605.0	22
48220	41650.0	20
48221	36550.0	62
48223	11600.0	23
48224	22600.0	31
48225	4900.0	8
48226	155533.0	235
48227	5000.0	9
48228	250.0	1
48229	300.0	1
48230	102950.0	175
48234	1550.0	3
48235	10050.0	18
48236	312894.0	445
48237	61860.0	96
48238	2000.0	4
48239	20950.0	28
48240	13200.0	17
48242	1000.0	1
482HH	0	0
48301	325026.0	537
48302	537391.0	849
48304	555550.0	789
48306	81800.0	122
48307	37150.0	72
48309	38400.0	59
48310	16850.0	29
48312	9200.0	17
48313	20850.0	39
48314	39100.0	55
48315	54925.0	91
48316	10100.0	17
48317	19060.0	30
48320	15050.0	21
48322	217348.0	379
48323	322704.0	514
48324	119400.0	181
48326	106881.0	124
48327	9450.0	15
48328	12450.0	16
48329	11227.0	17
48331	86250.0	149
48334	196374.0	245
48335	45400.0	70
48336	27300.0	52
48340	2750.0	5
48341	6400.0	10
48342	3300.0	4
48346	18420.0	28
48348	19800.0	30
48350	5750.0	9
48353	1950.0	8
48356	2600.0	8
48357	2200.0	6
48359	0	0
48360	4000.0	10
48362	6650.0	13
48363	15700.0	31
48367	2000.0	22
48370	3250.0	4
48371	31000.0	172
48374	49800.0	81
48375	36800.0	60
48377	8600.0	15
48380	13400.0	22
48381	16300.0	28
48382	36350.0	56
48383	8300.0	12
48386	6500.0	8
48390	22150.0	41
48393	16050.0	26
483HH	0	0
48401	0	0
48412	2900.0	15
48413	0	0
48414	200.0	1
48415	0	0
48416	0	0
48417	0	0
48418	0	0
48419	0	0
48420	3500.0	5
48421	1370.0	3
48422	1050.0	4
48423	9000.0	16
48426	0	0
48427	0	0
48428	1120.0	2
48429	1250.0	3
48430	19910.0	41
48432	0	0
48433	13285.0	26
48434	0	0
48435	0	0
48436	500.0	1
48437	0	0
48438	3750.0	5
48439	22660.0	45
48440	1000.0	1
48441	0	0
48442	10700.0	12
48444	400.0	1
48445	0	0
48446	2750.0	4
48449	0	0
48450	0	0
48451	1300.0	3
48453	0	0
48454	200.0	1
48455	5320.0	13
48456	1000.0	1
48457	0	0
48458	2250.0	3
48460	0	0
48461	15000.0	15
48462	4570.0	10
48463	0	0
48464	2000.0	2
48465	0	0
48466	0	0
48467	0	0
48468	1500.0	3
48469	250.0	1
48470	0	0
48471	0	0
48472	0	0
48473	0	0
48475	0	0
48476	0	0
484HH	0	0
48502	17450.0	22
48503	9075.0	17
48504	755.0	2
48505	340.0	1
48506	200.0	1
48507	8450.0	19
48509	380.0	1
48519	0	0
48529	200.0	1
48532	13380.0	38
485HH	0	0
48601	800.0	2
48602	750.0	3
48603	12110.0	21
48604	5750.0	9
48607	0	0
48609	1850.0	5
48610	0	0
48611	0	0
48612	550.0	2
48613	0	0
48614	0	0
48615	0	0
48616	0	0
48617	500.0	2
48618	0	0
48619	0	0
48620	0	0
48621	0	0
48622	0	0
48623	2500.0	3
48624	998.0	2
48625	683.0	1
48626	250.0	1
48627	0	0
48628	1000.0	1
48629	250.0	1
48630	400.0	1
48631	0	0
48632	0	0
48633	0	0
48634	200.0	1
48635	0	0
48636	0	0
48637	0	0
48640	69410.0	150
48642	18200.0	31
48647	0	0
48649	0	0
48650	0	0
48651	250.0	1
48652	0	0
48653	800.0	3
48654	0	0
48655	250.0	1
48656	0	0
48657	750.0	3
48658	250.0	1
48659	0	0
48661	0	0
48662	0	0
486HH	0	0
