zoneID	money	freq
55001	18500.0	37
55003	0	0
55005	0	0
55006	0	0
55007	0	0
55008	400.0	2
55009	4450.0	8
55010	0	0
55011	500.0	1
55012	0	0
55013	2325.0	10
55014	22000.0	25
55016	6150.0	14
55017	0	0
55018	0	0
55019	0	0
55020	250.0	1
55021	1700.0	6
55024	500.0	1
55025	5900.0	9
55026	0	0
55027	450.0	2
55030	0	0
55031	0	0
55032	0	0
55033	15500.0	33
55036	0	0
55037	0	0
55038	1650.0	5
55040	0	0
55041	700.0	3
55042	9399.0	24
55043	17200.0	23
55044	8550.0	20
55045	0	0
55046	0	0
55047	12050.0	33
55049	0	0
55051	500.0	2
55052	0	0
55053	400.0	1
55055	7400.0	12
55056	1050.0	3
55057	21975.0	65
55060	1500.0	6
55063	0	0
55065	200.0	1
55066	2000.0	7
55068	700.0	2
55069	0	0
55070	0	0
55071	0	0
55072	0	0
55073	750.0	3
55074	1250.0	4
55075	1700.0	5
55076	4950.0	14
55077	4247.0	19
55079	0	0
55080	0	0
55082	166166.0	189
55084	300.0	1
55085	4000.0	4
55087	0	0
55088	250.0	1
55089	12000.0	18
55090	0	0
55092	0	0
550HH	0	0
55101	15572.0	31
55102	72425.0	179
55103	1550.0	5
55104	65639.0	189
55105	145533.0	330
55106	12000.0	32
55107	4200.0	12
55108	84389.0	179
55109	21598.0	51
55110	34050.0	88
55112	25050.0	58
55113	46660.0	128
55114	24950.0	45
55115	13815.0	33
55116	42100.0	113
55117	9138.0	29
55118	63215.0	134
55119	14700.0	40
55120	7150.0	24
55121	4175.0	7
55122	7670.0	21
55123	29200.0	63
55124	15950.0	40
55125	31656.0	75
55126	21125.0	49
55127	67955.0	167
55128	3000.0	2
55129	1700.0	3
55150	-300.0	1
551HH	0	0
55301	500.0	1
55302	1000.0	1
55303	14500.0	34
55304	8550.0	15
55305	41900.0	86
55306	1750.0	6
55307	0	0
55308	200.0	1
55309	1000.0	1
55310	0	0
55311	8800.0	26
55312	0	0
55313	550.0	2
55314	0	0
55315	0	0
55316	2600.0	10
55317	12200.0	25
55318	4750.0	11
55319	0	0
55320	0	0
55321	200.0	1
55322	250.0	1
55324	0	0
55325	250.0	1
55327	1550.0	4
55328	3950.0	6
55329	0	0
55330	2070.0	7
55331	41450.0	78
55332	500.0	2
55333	0	0
55334	0	0
55335	0	0
55336	500.0	1
55337	5850.0	19
55338	0	0
55339	0	0
55340	10050.0	14
55341	0	0
55342	0	0
55343	12600.0	35
55344	10150.0	20
55345	30600.0	58
55346	10650.0	34
55347	41650.0	75
55349	0	0
55350	1250.0	2
55352	400.0	1
55353	0	0
55354	0	0
55355	0	0
55356	26650.0	53
55357	2200.0	3
55358	300.0	1
55359	7050.0	16
55360	0	0
55362	950.0	1
55363	0	0
55364	8450.0	19
55367	0	0
55368	0	0
55369	9050.0	32
55370	0	0
55371	0	0
55372	48750.0	67
55373	0	0
55374	1200.0	4
55375	0	0
55376	970.0	1
55378	0	0
55379	3950.0	14
55381	0	0
55382	0	0
55384	300.0	1
55385	0	0
55386	1000.0	4
55387	8750.0	24
55388	475.0	2
55389	0	0
55390	0	0
55391	173190.0	293
55395	0	0
55396	0	0
55397	0	0
55398	0	0
553HH	0	0
55401	89275.0	168
55402	93475.0	151
55403	212935.0	419
55404	11100.0	36
55405	124153.0	238
55406	44940.0	116
55407	19200.0	50
55408	55426.0	132
55409	97782.0	201
55410	108324.0	259
55411	7000.0	19
55412	2650.0	6
55413	6500.0	14
55414	54900.0	142
55415	10050.0	17
55416	184302.0	368
55417	24365.0	70
55418	10700.0	27
55419	68485.0	165
55420	8400.0	26
55421	6250.0	15
55422	40900.0	95
55423	12050.0	22
55424	45531.0	105
55425	0	0
55426	16450.0	34
55427	11000.0	30
55428	4600.0	12
55429	5858.0	21
55430	2885.0	13
55431	9350.0	21
55432	14850.0	44
55433	3100.0	13
55434	3500.0	6
55435	22125.0	56
55436	77250.0	174
55437	17300.0	50
55438	27060.0	54
55439	67455.0	120
55441	12300.0	29
55442	17350.0	35
55443	7600.0	22
55444	650.0	3
55445	0	0
55446	4400.0	14
55447	17525.0	42
55448	5350.0	13
55449	2050.0	8
55450	0	0
55454	10700.0	22
55455	500.0	1
554HH	0	0
55601	0	0
55602	0	0
55603	0	0
55604	1250.0	4
55605	2800.0	4
55606	0	0
55607	0	0
55609	500.0	2
55612	5500.0	13
55613	500.0	1
55614	0	0
55615	1700.0	7
55616	7250.0	14
556HH	0	0
556XX	0	0
55702	0	0
55703	4750.0	5
55704	0	0
55705	300.0	1
55706	0	0
55707	550.0	2
55708	0	0
55709	0	0
55710	250.0	1
55711	250.0	1
55712	0	0
55713	0	0
55716	0	0
55717	0	0
55718	0	0
55719	200.0	1
55720	17000.0	21
55721	0	0
55722	0	0
55723	0	0
55724	0	0
55725	0	0
55726	0	0
55731	1300.0	4
55732	250.0	1
55733	250.0	1
55734	250.0	1
55735	0	0
55736	2450.0	7
55738	0	0
55741	0	0
55742	0	0
55744	400.0	2
55746	450.0	2
55748	0	0
55749	0	0
55750	0	0
55751	0	0
55752	0	0
55753	0	0
55756	3250.0	5
55757	0	0
55758	0	0
55760	700.0	4
55763	0	0
55764	0	0
55765	0	0
55767	200.0	1
55768	0	0
55769	0	0
55771	0	0
55775	300.0	1
55779	300.0	1
55780	0	0
55781	0	0
55782	600.0	1
55783	0	0
55784	0	0
55785	0	0
55786	0	0
55787	0	0
55790	0	0
55792	1900.0	5
55793	0	0
55795	0	0
55796	0	0
55797	0	0
55798	0	0
557HH	0	0
557XX	0	0
55802	11650.0	32
55803	12175.0	33
55804	9025.0	21
55805	650.0	3
55806	400.0	2
55807	0	0
55808	1200.0	3
55810	3150.0	4
55811	1000.0	3
55812	7900.0	21
558HH	0	0
55901	14150.0	31
55902	18550.0	48
55904	3400.0	7
55906	8550.0	21
55909	0	0
55910	0	0
55912	5755.0	16
55917	0	0
55918	0	0
55919	300.0	1
55920	400.0	2
55921	500.0	1
55922	450.0	2
55923	0	0
55924	0	0
55925	0	0
55926	0	0
55927	0	0
55929	0	0
55931	0	0
55932	0	0
55933	0	0
55934	0	0
55935	0	0
55936	0	0
55939	0	0
55940	0	0
55941	0	0
55943	0	0
55944	0	0
