zoneID	money	freq
38601	1000.0	1
38603	500.0	2
38606	9350.0	14
38609	0	0
38610	500.0	1
38611	500.0	1
38614	15500.0	19
38617	0	0
38618	1000.0	1
38619	0	0
38620	0	0
38621	0	0
38622	0	0
38623	0	0
38625	0	0
38626	2500.0	3
38627	0	0
38629	0	0
38630	0	0
38631	6500.0	7
38632	13950.0	18
38633	0	0
38635	2000.0	6
38637	0	0
38639	1000.0	1
38641	2000.0	2
38642	500.0	2
38643	1249.0	3
38644	1000.0	1
38645	2000.0	2
38646	5000.0	6
38647	0	0
38649	0	0
38650	0	0
38651	1500.0	2
38652	4000.0	7
38654	19210.0	24
38655	53600.0	67
38658	0	0
38659	2000.0	3
38661	250.0	1
38663	3250.0	4
38664	5500.0	6
38665	0	0
38666	1500.0	3
38668	3250.0	4
38669	0	0
38670	0	0
38671	13500.0	21
38672	8000.0	9
38673	0	0
38674	0	0
38676	6250.0	7
38677	600.0	2
38680	0	0
38683	0	0
38685	0	0
386HH	0	0
386XX	0	0
38701	35533.0	73
38703	250.0	1
38720	0	0
38721	500.0	2
38722	0	0
38723	2250.0	3
38725	6999.0	10
38726	0	0
38730	1000.0	1
38732	17650.0	25
38736	2500.0	3
38737	0	0
38738	0	0
38739	1200.0	2
38740	0	0
38744	0	0
38745	0	0
38746	3000.0	5
38748	3200.0	6
38751	35749.0	66
38753	4250.0	8
38754	250.0	1
38756	6800.0	16
38758	0	0
38759	325.0	1
38760	0	0
38761	0	0
38762	0	0
38763	0	0
38764	0	0
38765	0	0
38767	0	0
38768	0	0
38769	4500.0	6
38771	3250.0	6
38772	1700.0	7
38773	0	0
38774	0	0
38778	2200.0	3
387HH	0	0
387XX	0	0
38801	31200.0	72
38804	12250.0	25
38821	9200.0	17
38824	4250.0	8
38826	5500.0	10
38827	2000.0	3
38828	0	0
38829	4550.0	8
38833	0	0
38834	5000.0	10
38838	0	0
38841	800.0	4
38843	3000.0	5
38844	0	0
38846	0	0
38847	0	0
38848	0	0
38849	0	0
38850	0	0
38851	2250.0	3
38852	3250.0	4
38855	500.0	1
38856	0	0
38857	0	0
38858	0	0
38859	0	0
38860	0	0
38862	0	0
38863	1400.0	6
38864	0	0
38865	0	0
38866	3000.0	8
38868	0	0
38869	0	0
38870	350.0	1
38871	0	0
38873	0	0
38874	0	0
38876	400.0	1
38878	500.0	2
38879	0	0
38880	0	0
388HH	0	0
38901	1750.0	3
38913	0	0
38914	0	0
38915	0	0
38916	3000.0	3
38917	0	0
38920	0	0
38921	0	0
38922	500.0	1
38923	0	0
38924	0	0
38925	0	0
38927	0	0
38928	1000.0	1
38929	0	0
38930	29700.0	45
38940	0	0
38941	3500.0	5
38943	0	0
38944	0	0
38946	1000.0	2
38947	0	0
38948	0	0
38949	0	0
38950	0	0
38951	0	0
38952	700.0	2
38953	0	0
38954	500.0	1
38957	2000.0	2
38959	0	0
38961	0	0
38962	0	0
38963	0	0
38964	2000.0	2
38965	500.0	1
38966	0	0
38967	1250.0	2
389HH	0	0
389XX	0	0
39038	5000.0	8
39039	2250.0	3
39040	3750.0	6
39041	3000.0	3
39042	35460.0	58
39044	500.0	1
39045	0	0
39046	15950.0	23
39047	34573.0	61
39051	11500.0	17
39054	1700.0	4
39056	6422.0	9
39057	0	0
39059	1500.0	3
39060	2500.0	4
39061	0	0
39062	0	0
39063	0	0
39066	0	0
39067	0	0
39069	3000.0	3
39071	3560.0	6
39073	5000.0	5
39074	5775.0	11
39078	0	0
39079	0	0
39082	1000.0	1
39083	1300.0	2
39086	0	0
39088	2500.0	4
39090	900.0	3
39092	2500.0	3
39094	0	0
39095	2750.0	4
39096	0	0
39097	0	0
39098	0	0
390HH	0	0
390XX	0	0
39107	0	0
39108	0	0
39109	0	0
39110	65765.0	118
39111	10750.0	20
39112	0	0
39113	0	0
39114	1100.0	4
39115	0	0
39116	1000.0	1
39117	2520.0	5
39119	1500.0	2
39120	6800.0	18
39140	0	0
39144	0	0
39145	0	0
39146	0	0
39148	0	0
39149	0	0
39150	7000.0	9
39151	0	0
39152	0	0
39153	800.0	3
39154	5750.0	7
39156	0	0
39157	79805.0	127
39159	4000.0	8
39160	0	0
39161	0	0
39162	0	0
39166	0	0
39168	3950.0	9
39169	250.0	1
39170	500.0	2
39174	0	0
39175	3000.0	5
39176	1275.0	2
39177	0	0
39179	0	0
39180	14000.0	20
39183	1250.0	2
39189	500.0	1
39191	500.0	1
39192	0	0
39194	42149.0	63
391HH	0	0
391XX	0	0
39201	34050.0	55
39202	29900.0	41
39203	0	0
39204	4650.0	6
39206	4750.0	11
39208	40820.0	74
39209	9250.0	12
39210	0	0
39211	193635.0	291
39212	11150.0	17
39213	0	0
39216	60524.0	97
39218	2000.0	3
39269	0	0
392HH	0	0
39301	16430.0	42
39305	56440.0	127
39307	0	0
39320	700.0	2
39322	0	0
39323	0	0
39325	0	0
39326	0	0
39327	200.0	1
39328	3000.0	6
39330	4000.0	5
39332	0	0
39335	4400.0	7
39336	500.0	1
39337	0	0
39338	0	0
39339	8600.0	23
39341	1500.0	3
39345	10420.0	22
39346	300.0	1
39347	0	0
39348	0	0
39350	86030.0	103
39352	1250.0	2
39354	1700.0	5
39355	1300.0	4
39356	0	0
39358	0	0
39359	500.0	1
39360	0	0
39361	6250.0	13
39362	0	0
39363	0	0
39364	1150.0	3
39365	0	0
39366	0	0
39367	0	0
393HH	0	0
393XX	0	0
39401	15300.0	29
39402	27200.0	58
39421	200.0	1
39422	9200.0	22
39423	0	0
39425	0	0
39426	1000.0	1
39427	1000.0	1
39428	2300.0	5
39429	15000.0	22
39436	0	0
39437	3100.0	9
39439	1750.0	6
39440	51350.0	111
39443	8000.0	14
