zoneID	money	freq
27006	4706.0	8
27007	0	0
27009	0	0
27011	0	0
27012	12750.0	21
27013	0	0
27014	0	0
27016	0	0
27017	0	0
27018	0	0
27019	0	0
27020	2000.0	2
27021	0	0
27022	0	0
27023	12945.0	20
27024	0	0
27025	1250.0	2
27027	0	0
27028	8300.0	11
27030	4000.0	8
27040	6500.0	9
27041	0	0
27042	0	0
27043	0	0
27045	1000.0	1
27046	0	0
27047	0	0
27048	5750.0	11
27050	0	0
27051	0	0
27052	250.0	1
27053	0	0
27054	2000.0	3
27055	500.0	1
270HH	0	0
27101	23350.0	34
27103	15200.0	25
27104	127100.0	190
27105	6150.0	15
27106	107934.0	190
27107	1250.0	3
27109	0	0
27127	4400.0	7
271HH	0	0
27202	0	0
27203	13150.0	19
27207	0	0
27208	500.0	1
27209	7800.0	11
27212	0	0
27214	15000.0	21
27215	38400.0	54
27217	2209.0	6
27229	2000.0	2
27231	0	0
27233	0	0
27235	0	0
27239	400.0	1
27242	250.0	1
27243	250.0	1
27244	5250.0	6
27248	500.0	1
27249	1000.0	1
27252	0	0
27253	4500.0	5
27256	0	0
27258	500.0	1
27260	7000.0	8
27262	22900.0	43
27263	250.0	1
27265	5750.0	8
27278	29934.0	62
27281	0	0
27282	7000.0	12
27283	3300.0	5
27284	5950.0	12
27288	9000.0	17
27291	0	0
27292	14509.0	36
27295	3990.0	11
27298	1000.0	1
27299	0	0
272HH	0	0
27301	0	0
27302	3550.0	6
27305	0	0
27306	19250.0	21
27310	2050.0	4
27311	0	0
27312	12816.0	33
27313	0	0
27314	0	0
27315	0	0
27316	500.0	1
27317	0	0
27320	1750.0	3
27325	1000.0	3
27326	0	0
27330	31450.0	47
27341	625.0	2
27342	1000.0	1
27343	0	0
27344	4500.0	6
27349	0	0
27350	0	0
27355	0	0
27356	2000.0	2
27357	0	0
27358	10000.0	17
27360	300.0	1
27370	500.0	1
27371	4750.0	7
27376	1250.0	3
27377	5500.0	9
27379	0	0
273HH	0	0
27401	38763.0	64
27403	30300.0	49
27405	9400.0	14
27406	12359.0	20
27407	22850.0	38
27408	348910.0	511
27409	16800.0	23
27410	186875.0	293
27455	31230.0	52
274HH	0	0
27501	8100.0	17
27502	24500.0	48
27503	2400.0	3
27504	5166.0	13
27505	450.0	2
27506	2250.0	6
27507	0	0
27508	250.0	1
27509	300.0	1
27510	10655.0	22
27511	71150.0	135
27513	30050.0	50
27514	225823.0	423
27516	57448.0	114
27520	15560.0	30
27521	5050.0	10
27522	0	0
27524	6500.0	8
27525	9100.0	14
27526	8150.0	18
27529	13488.0	22
27530	12150.0	19
27534	11450.0	22
27536	24650.0	46
27540	6500.0	9
27541	2250.0	3
27542	6500.0	12
27544	1250.0	2
27545	2250.0	6
27546	29760.0	59
27549	10350.0	16
27551	1500.0	3
27553	0	0
27555	0	0
27557	1000.0	1
27559	450.0	2
27560	12750.0	19
27562	250.0	1
27563	4049.0	9
27565	19400.0	44
27568	750.0	2
