zoneID	money	freq
03031	16250.0	35
03032	2000.0	2
03033	250.0	1
03034	1200.0	4
03036	500.0	1
03037	7000.0	13
03038	7500.0	13
03042	2500.0	3
03043	500.0	1
03044	0	0
03045	6650.0	16
03047	1000.0	1
03048	0	0
03049	13650.0	27
03051	1750.0	4
03052	3000.0	5
03053	22175.0	41
03054	950.0	3
03055	4500.0	7
03057	1450.0	4
03060	13100.0	30
03062	12750.0	27
03063	8700.0	21
03064	3450.0	5
03070	4650.0	9
03071	0	0
03076	850.0	3
03077	1750.0	4
03079	10450.0	18
03082	0	0
03084	0	0
03086	0	0
03087	10812.0	24
030HH	0	0
03101	13300.0	27
03102	2150.0	4
03103	4150.0	11
03104	68040.0	134
03106	1700.0	6
03109	5800.0	15
03110	51500.0	92
031HH	0	0
03215	4750.0	8
03216	450.0	2
03217	3450.0	8
03218	0	0
03220	250.0	1
03221	700.0	3
03222	4500.0	6
03223	800.0	3
03224	3200.0	8
03225	2000.0	2
03226	27500.0	31
03227	6800.0	22
03229	25350.0	47
03230	0	0
03233	0	0
03234	1000.0	1
03235	250.0	1
03237	2900.0	6
03240	0	0
03241	0	0
03242	700.0	3
03243	450.0	1
03244	500.0	2
03246	6900.0	13
03251	250.0	1
03253	700.0	3
03254	2500.0	4
03255	4000.0	4
03256	750.0	3
03257	10150.0	24
03259	250.0	1
03260	750.0	2
03261	1200.0	2
03262	0	0
03263	0	0
03264	1900.0	3
03266	200.0	1
03268	500.0	1
03269	1000.0	3
03273	0	0
03275	1250.0	2
03276	1250.0	3
03278	4450.0	9
03279	0	0
03280	0	0
03281	1900.0	4
03282	0	0
03284	200.0	1
03287	900.0	4
03290	2750.0	4
03291	0	0
032HH	0	0
032XX	0	0
03301	72450.0	145
03303	7850.0	17
03304	14200.0	33
03307	2000.0	3
033HH	0	0
03431	23425.0	52
03440	500.0	2
03441	0	0
03442	0	0
03443	0	0
03444	6400.0	10
03445	200.0	1
03446	2000.0	2
03447	1000.0	4
03448	2200.0	11
03449	6500.0	13
03450	500.0	2
03451	2500.0	3
03452	9150.0	13
03455	3500.0	6
03456	0	0
03457	500.0	1
03458	12900.0	26
03461	250.0	1
03462	750.0	2
03464	0	0
03465	0	0
03466	9100.0	34
03467	500.0	1
03470	500.0	1
034HH	0	0
03561	7200.0	11
03570	500.0	3
03574	500.0	1
03576	0	0
03579	0	0
03580	3500.0	5
03581	0	0
03582	2000.0	4
03583	1000.0	1
03584	2900.0	7
03585	1000.0	3
03588	0	0
03590	0	0
03592	0	0
03595	0	0
03598	0	0
035HH	0	0
035XX	0	0
03601	1000.0	1
03602	1500.0	5
03603	0	0
03605	0	0
03607	0	0
03608	3250.0	5
03609	200.0	1
036HH	0	0
03741	0	0
03743	250.0	1
03745	3000.0	5
03748	0	0
03750	4150.0	11
03751	0	0
03752	0	0
03753	0	0
03755	64050.0	149
03765	200.0	1
03766	8950.0	27
03768	18920.0	57
03770	5250.0	6
03771	0	0
03773	4250.0	7
03774	0	0
03777	550.0	2
03779	0	0
03780	0	0
03781	300.0	1
03782	1200.0	3
03784	500.0	1
03785	500.0	1
037HH	0	0
03801	109976.0	205
03809	500.0	1
03810	1880.0	3
03811	4950.0	7
03812	0	0
03813	1000.0	2
03814	300.0	1
03815	300.0	1
03816	200.0	1
03817	0	0
03818	450.0	2
03819	0	0
03820	30355.0	75
03824	39400.0	84
03825	2990.0	8
03826	300.0	1
03827	5450.0	13
03830	0	0
03832	1200.0	2
03833	46675.0	110
03835	300.0	1
03836	0	0
03837	500.0	1
03838	0	0
03839	200.0	1
03840	2750.0	4
03841	1500.0	3
03842	36700.0	51
03844	5000.0	7
03845	1000.0	1
03846	1400.0	3
03848	2000.0	4
03849	0	0
03852	250.0	1
03853	0	0
03854	19720.0	36
03855	0	0
03856	3000.0	6
03857	2550.0	8
03858	0	0
03860	0	0
03862	46350.0	62
03864	900.0	4
03865	2500.0	3
03867	1000.0	4
03868	750.0	3
03869	1350.0	5
03870	34990.0	67
03872	1000.0	1
03873	0	0
03874	11450.0	18
03875	0	0
03878	6150.0	13
03882	0	0
03883	4000.0	4
03884	700.0	3
03885	14900.0	33
03886	250.0	1
03887	0	0
03894	800.0	2
03897	0	0
038HH	0	0
