zoneID	money	freq
87001	4916.0	8
87002	8150.0	21
87004	16595.0	20
87005	0	0
87006	300.0	1
87007	0	0
87008	20600.0	38
87010	1500.0	4
87011	0	0
87012	0	0
87013	600.0	3
87014	250.0	1
87015	8950.0	15
87016	5000.0	6
87017	0	0
87018	0	0
87020	2100.0	5
87022	8000.0	10
87023	0	0
87024	0	0
87025	200.0	1
87026	1000.0	1
87027	0	0
87028	0	0
87029	0	0
87031	21848.0	55
87032	2000.0	2
87034	1000.0	1
87035	3925.0	13
87036	1450.0	3
87037	0	0
87038	0	0
87040	0	0
87041	0	0
87042	1900.0	4
87043	44763.0	88
87044	0	0
87045	0	0
87047	12800.0	27
87048	66415.0	126
87049	2000.0	2
87052	0	0
87053	1000.0	1
87056	6000.0	17
87059	5750.0	13
87060	300.0	1
87061	0	0
87062	900.0	3
87063	4000.0	4
87064	0	0
87068	500.0	1
87070	0	0
87072	0	0
87083	0	0
870HH	0	0
870XX	0	0
87102	90158.0	176
87104	101838.0	196
87105	37032.0	79
87106	69704.0	186
87107	205694.0	402
87108	50473.0	105
87109	94437.0	212
87110	167411.0	379
87111	361728.0	709
87112	64565.0	119
87113	22215.0	43
87114	62609.0	123
87116	250.0	1
87118	0	0
87120	48283.0	110
87121	6775.0	21
87122	160953.0	304
87123	87849.0	170
87124	35950.0	61
871XX	0	0
87301	9733.0	28
87305	6925.0	14
87310	0	0
87311	0	0
87312	0	0
87313	0	0
87315	0	0
87316	0	0
87317	0	0
87319	0	0
87320	0	0
87321	500.0	1
87322	0	0
87323	0	0
87325	0	0
87326	0	0
87327	2500.0	3
87328	0	0
87347	0	0
87357	0	0
87364	0	0
87375	0	0
873XX	0	0
87401	33257.0	76
87402	20550.0	40
87410	3020.0	6
87412	0	0
87413	900.0	4
87415	0	0
87416	0	0
87417	0	0
87418	200.0	1
87419	0	0
87420	0	0
87421	0	0
87455	0	0
87461	0	0
874HH	0	0
874XX	0	0
87501	288774.0	587
87505	160548.0	339
87510	950.0	4
87511	250.0	1
87512	0	0
87513	0	0
87514	2100.0	5
87515	0	0
87516	1000.0	1
87517	0	0
87518	850.0	2
87519	0	0
87520	0	0
87521	0	0
87522	2250.0	5
87524	1000.0	1
87525	0	0
87527	0	0
87528	35000.0	40
87529	6062.0	7
87530	0	0
87531	1933.0	5
87532	19671.0	43
87533	250.0	3
87535	400.0	2
87537	0	0
87539	0	0
87540	2250.0	3
87543	0	0
87544	91041.0	206
87548	0	0
87549	0	0
87551	0	0
87552	4066.0	13
87553	0	0
87556	0	0
87557	2098.0	6
87558	0	0
87560	600.0	2
87562	2500.0	4
87564	0	0
87565	2500.0	5
87566	2250.0	3
87567	11000.0	28
87569	0	0
87571	10600.0	18
87573	840.0	3
87575	0	0
87577	0	0
87578	0	0
87579	0	0
87580	0	0
87581	0	0
87582	250.0	1
87583	0	0
875HH	0	0
875XX	0	0
87701	5316.0	13
87710	500.0	1
87711	0	0
87712	0	0
87713	0	0
87714	4650.0	13
87715	0	0
87718	0	0
87722	0	0
87723	0	0
87724	0	0
87728	0	0
87729	0	0
87730	0	0
87731	0	0
87732	500.0	1
87733	0	0
87734	0	0
87735	0	0
87736	0	0
87740	17266.0	26
87742	0	0
87743	0	0
87745	250.0	1
87747	0	0
87750	0	0
87752	0	0
87753	0	0
877XX	0	0
87801	26801.0	47
87820	0	0
87821	0	0
87823	1000.0	1
87824	0	0
87825	0	0
87827	0	0
87828	0	0
87829	450.0	2
87830	0	0
87831	500.0	1
87832	1000.0	4
87901	6200.0	18
87930	0	0
87931	1750.0	3
87933	250.0	1
87935	14025.0	26
87936	250.0	1
87937	7600.0	11
87939	2000.0	2
87940	2100.0	5
87941	0	0
87942	500.0	1
87943	0	0
879HH	0	0
879XX	0	0
88001	22498.0	50
88002	0	0
88003	2500.0	4
88004	21900.0	45
88005	102534.0	174
88008	10750.0	20
88009	0	0
88011	32459.0	58
88012	4950.0	8
88020	1450.0	3
88021	13400.0	33
88022	0	0
88023	1000.0	2
88024	0	0
88025	4200.0	7
88026	0	0
88027	0	0
88029	2450.0	4
88030	8770.0	22
88033	14750.0	20
88036	0	0
88038	0	0
88039	0	0
88040	0	0
88041	500.0	1
88042	0	0
88043	0	0
88044	1550.0	6
88045	6050.0	13
88047	13450.0	18
88048	1300.0	2
88049	500.0	2
88051	0	0
88052	1500.0	3
88053	550.0	2
88055	0	0
88056	0	0
88061	6153.0	13
88063	1000.0	1
88065	500.0	1
88072	0	0
880XX	0	0
88101	44769.0	66
88112	0	0
88113	0	0
88114	0	0
88115	0	0
88116	1000.0	1
88118	0	0
88119	0	0
88120	1000.0	1
88121	0	0
88124	1450.0	3
88125	0	0
88126	0	0
88130	22800.0	45
88132	0	0
88134	0	0
88135	2000.0	4
88136	0	0
88201	125923.0	266
88210	94950.0	143
88213	0	0
88220	93064.0	155
88230	20100.0	31
88231	10800.0	14
88232	6250.0	7
88240	139004.0	250
88242	12050.0	19
88250	1166.0	3
88252	9050.0	13
88253	30725.0	37
88254	0	0
88255	3000.0	5
88256	5766.0	17
88260	33433.0	51
88262	0	0
88263	0	0
88264	400.0	2
88265	0	0
88267	3450.0	8
88268	0	0
88301	3500.0	6
88310	31176.0	77
88312	11900.0	24
88314	1000.0	1
88316	177050.0	24
88317	2250.0	4
88318	0	0
88321	0	0
88323	0	0
88324	2000.0	2
88325	1283.0	4
88330	1450.0	2
88336	2250.0	3
88337	950.0	3
88338	2000.0	4
88339	1200.0	5
88340	6000.0	8
88341	2000.0	5
88343	0	0
88344	0	0
88345	9150.0	19
88346	1250.0	2
88347	0	0
88348	0	0
88350	0	0
88351	750.0	3
88352	0	0
88353	1200.0	4
88354	0	0
883XX	0	0
88401	9550.0	20
88410	0	0
88411	0	0
88414	0	0
88415	1300.0	5
88416	0	0
88417	0	0
88418	0	0
88419	450.0	2
88421	0	0
88422	0	0
88424	1000.0	1
88426	1650.0	3
88427	0	0
88430	0	0
88431	0	0
88434	0	0
88435	0	0
88436	0	0
88437	500.0	2
884HH	0	0
884XX	0	0
