zoneID	money	freq
89001	0	0
89003	0	0
89004	1000.0	1
89005	68070.0	131
89007	0	0
89008	0	0
89010	0	0
89011	8450.0	14
89012	29950.0	55
89013	1000.0	1
89014	367683.0	475
89015	58389.0	94
89017	0	0
89018	0	0
89019	6500.0	7
89020	0	0
89021	2100.0	4
89022	0	0
89024	6950.0	12
89025	0	0
89027	2750.0	4
89028	4250.0	8
89029	7250.0	11
89030	16500.0	25
89031	6800.0	9
89032	16000.0	18
89039	0	0
89040	1750.0	5
89042	0	0
89043	0	0
89046	4000.0	5
89047	0	0
89048	3200.0	4
89049	0	0
89052	41100.0	73
890HH	0	0
890XX	0	0
89101	116283.0	157
89102	306396.0	414
89103	100175.0	134
89104	72508.0	90
89106	19750.0	29
89107	107199.0	141
89108	20800.0	33
89109	394057.0	507
89110	14925.0	22
89113	245844.0	316
89115	3350.0	5
89117	372976.0	537
89118	62291.0	96
89119	144300.0	174
89120	105225.0	149
89121	86832.0	138
89122	5928.0	7
89123	59850.0	88
89124	7500.0	10
89128	112441.0	172
89129	134900.0	171
89130	10500.0	20
89131	52250.0	63
89134	325337.0	475
89135	34521.0	52
89139	16450.0	19
89141	1500.0	4
89142	0	0
89143	1250.0	2
89144	73075.0	107
89145	53950.0	85
89146	96196.0	142
89147	47000.0	73
89148	22000.0	26
89149	37300.0	54
89156	0	0
89191	0	0
891XX	0	0
89301	0	0
89310	0	0
89311	0	0
89314	0	0
89316	200.0	1
89317	0	0
89318	250.0	1
893HH	0	0
893XX	0	0
89403	500.0	2
89404	0	0
89405	0	0
89406	3450.0	5
89408	0	0
89409	0	0
89410	4000.0	6
89411	1000.0	2
89413	3000.0	5
89414	0	0
89415	0	0
89418	0	0
89419	250.0	1
89420	0	0
89421	0	0
89422	0	0
89423	7500.0	18
89424	0	0
89425	0	0
89426	0	0
89427	0	0
89428	0	0
89429	0	0
89430	1000.0	2
89431	6300.0	12
89433	0	0
89434	5450.0	11
89436	2500.0	4
89439	0	0
89440	0	0
89442	0	0
89444	0	0
89445	750.0	3
89447	4250.0	5
89448	10650.0	13
89449	41123.0	48
89451	54000.0	62
894HH	0	0
894XX	0	0
89501	47309.0	74
89502	24754.0	44
89503	15483.0	37
89506	1800.0	5
89509	126810.0	214
89510	20957.0	38
89511	46315.0	73
89512	1000.0	2
89523	2500.0	3
895XX	0	0
89701	4400.0	8
89703	3450.0	10
89704	13404.0	21
89705	2650.0	3
89706	750.0	2
897HH	0	0
897XX	0	0
89801	2866.0	8
89803	750.0	2
89815	200.0	1
89820	0	0
89821	0	0
89822	0	0
89823	0	0
89824	0	0
89825	0	0
89826	0	0
89828	2050.0	6
89830	0	0
89831	0	0
89832	0	0
89833	0	0
89834	500.0	2
89835	2000.0	3
89883	500.0	1
898XX	0	0
