zoneID	money	freq
06390	200.0	1
10001	141146.0	198
10002	52949.0	89
10003	407169.0	647
10004	318000.0	373
10005	173869.0	236
10006	126311.0	238
10007	89595.0	147
10009	39849.0	79
10010	269162.0	377
10011	433600.0	634
10012	263403.0	382
10013	217899.0	332
10014	373461.0	518
10016	420116.0	606
10017	981050.0	1322
10018	205883.0	214
10019	933206.0	1256
10020	182400.0	223
10021	3822784.0	5030
10022	1845984.0	2398
10023	1227158.0	1720
10024	1385005.0	1890
10025	397050.0	697
10026	24000.0	26
10027	39625.0	67
10028	1498271.0	1927
10029	70950.0	98
10030	3638.0	8
10031	10305.0	22
10032	11017.0	20
10033	16200.0	32
10034	2000.0	6
10035	10000.0	10
10036	378100.0	483
10037	7450.0	16
10038	69272.0	108
10039	1833.0	5
10040	11750.0	14
10041	6650.0	7
10044	13459.0	26
10048	20750.0	22
10069	12250.0	17
100HH	0	0
10103	50875.0	68
10111	54000.0	64
10112	112750.0	142
10115	0	0
10119	29900.0	37
10128	1332181.0	1864
10152	81098.0	131
10153	155749.0	179
10154	38450.0	52
10162	10224.0	17
10165	41100.0	73
10167	103500.0	109
10169	18250.0	25
10170	11050.0	13
10171	85214.0	109
10172	45045.0	60
10173	1200.0	3
10177	5500.0	6
10271	18750.0	23
10278	0	0
10279	26950.0	37
10280	34820.0	54
10282	37700.0	43
102HH	0	0
10301	17260.0	38
10302	3550.0	6
10303	2450.0	4
10304	45550.0	74
10305	41325.0	61
10306	17325.0	32
10307	16000.0	27
10308	17200.0	26
10309	18950.0	37
10310	9950.0	18
10312	49225.0	69
10314	55100.0	102
103HH	0	0
10451	10750.0	15
10452	2300.0	5
10453	1000.0	1
10454	1250.0	3
10455	0	0
10456	1500.0	3
10457	1000.0	2
10458	21200.0	30
10459	250.0	1
10460	1200.0	3
10461	8000.0	16
10462	4750.0	9
10463	109667.0	177
10464	2150.0	5
10465	9750.0	13
10466	1850.0	5
10467	20822.0	34
10468	8000.0	9
10469	11550.0	20
10470	4700.0	8
10471	131100.0	185
10472	500.0	1
10473	4450.0	7
10474	8850.0	12
10475	5000.0	5
104HH	0	0
10501	2500.0	3
10502	14700.0	24
10503	22950.0	45
10504	134598.0	182
10506	112350.0	155
10507	46500.0	67
10509	20150.0	32
10510	89176.0	122
10511	3500.0	4
10512	6575.0	17
10514	177211.0	287
10516	14750.0	21
10518	7050.0	14
10519	3350.0	6
10520	26447.0	50
10522	36050.0	51
10523	11625.0	23
10524	11950.0	18
10526	11250.0	16
10527	250.0	1
10528	141607.0	200
10530	23150.0	62
10532	8200.0	16
10533	65921.0	80
10535	1250.0	2
10536	154339.0	203
10537	0	0
10538	261331.0	362
10541	20150.0	32
10543	152900.0	219
10546	3400.0	8
10547	3250.0	5
10548	500.0	2
10549	110500.0	158
10550	2600.0	5
10552	9750.0	26
10553	3900.0	8
10560	34276.0	56
10562	15700.0	29
10566	6250.0	16
10567	26900.0	36
10570	45881.0	74
10573	47108.0	69
10576	77525.0	115
10577	123600.0	154
10578	1500.0	2
10579	3500.0	7
10580	352528.0	459
10583	821422.0	1076
10588	950.0	3
10589	8800.0	12
10590	23850.0	32
10591	42946.0	65
10594	4750.0	8
10595	6250.0	9
10597	9050.0	19
10598	17550.0	31
105HH	0	0
10601	17550.0	34
10603	7059.0	10
10604	44550.0	69
10605	126675.0	173
10606	13035.0	23
10607	9550.0	15
106HH	0	0
10701	13410.0	29
10703	4399.0	9
10704	10950.0	23
