zoneID	money	freq
73002	0	0
73003	43550.0	87
73004	0	0
73005	1000.0	3
73006	1260.0	3
73007	250.0	1
73008	6100.0	10
73009	0	0
73010	1250.0	3
73011	0	0
73013	46377.0	91
73014	500.0	2
73015	1250.0	4
73016	0	0
73017	0	0
73018	8200.0	25
73020	3450.0	7
73021	0	0
73022	0	0
73024	0	0
73026	950.0	2
73027	250.0	1
73028	0	0
73029	1000.0	1
73030	14200.0	24
73031	0	0
73032	0	0
73033	0	0
73034	38100.0	78
73036	3450.0	6
73038	0	0
73040	1308.0	4
73041	0	0
73042	0	0
73043	0	0
73044	4500.0	8
73045	500.0	1
73047	4000.0	4
73048	750.0	2
73049	850.0	4
73050	200.0	1
73051	450.0	2
73052	4750.0	6
73053	0	0
73054	0	0
73055	11000.0	21
73056	0	0
73057	0	0
73058	0	0
73059	0	0
73061	0	0
73062	750.0	2
73063	0	0
73064	1200.0	3
73065	4205.0	8
73066	0	0
73067	0	0
73068	0	0
73069	18850.0	30
73071	12200.0	26
73072	137393.0	233
73073	0	0
73074	250.0	1
73075	2200.0	4
73077	5300.0	10
73078	16250.0	21
73079	0	0
73080	650.0	3
73082	0	0
73084	0	0
73086	250.0	1
73089	250.0	1
73090	0	0
73092	0	0
73093	1500.0	2
73095	0	0
73096	500.0	2
73097	0	0
73098	0	0
73099	7900.0	18
730HH	0	0
730XX	0	0
73102	44450.0	74
73103	22581.0	42
73104	1750.0	2
73105	1500.0	5
73106	11150.0	21
73107	7925.0	15
73108	1000.0	2
73109	675.0	2
73110	2125.0	6
73111	9750.0	18
73112	83200.0	132
73114	7000.0	16
73115	2000.0	3
73116	210300.0	362
73117	0	0
73118	38750.0	69
73119	400.0	1
73120	110500.0	205
73121	23990.0	37
73122	3900.0	9
73127	4150.0	10
73128	0	0
73129	750.0	2
73130	500.0	1
73131	1200.0	3
73132	10550.0	24
73134	3000.0	4
73135	1000.0	1
73139	5050.0	14
73141	0	0
73142	33400.0	70
73145	0	0
73149	0	0
73150	5750.0	7
73151	3250.0	6
73159	700.0	3
73160	19450.0	37
73162	32550.0	53
73165	950.0	4
73169	0	0
73170	23425.0	45
73173	0	0
73179	1000.0	1
731HH	0	0
73401	12400.0	23
73425	0	0
73430	0	0
73432	0	0
73433	0	0
73434	0	0
73435	0	0
73437	0	0
73438	0	0
73439	300.0	1
73440	0	0
73441	0	0
73442	0	0
73443	0	0
73444	0	0
73446	9800.0	26
73447	0	0
73448	750.0	2
73449	0	0
73450	0	0
73453	0	0
73455	0	0
73456	0	0
73458	500.0	1
73459	0	0
73460	550.0	2
73461	0	0
73463	0	0
73481	0	0
73487	0	0
73488	0	0
73491	0	0
734HH	0	0
73501	18450.0	33
73503	0	0
73505	48100.0	96
73507	10350.0	23
73520	0	0
73521	22850.0	71
73526	1000.0	1
73527	1000.0	4
73528	500.0	2
73529	0	0
73530	0	0
73531	0	0
73532	0	0
73533	11169.0	18
73537	250.0	1
73538	1900.0	4
73539	250.0	1
73540	0	0
73541	0	0
73542	8500.0	19
73543	0	0
73544	0	0
73546	0	0
73547	0	0
73548	0	0
73549	250.0	1
73550	250.0	1
73551	3000.0	6
73552	0	0
73553	1000.0	1
73554	1700.0	4
73555	0	0
73556	0	0
73557	0	0
73559	0	0
73560	0	0
73561	250.0	1
73562	0	0
73564	0	0
73565	0	0
73566	0	0
73567	0	0
73568	0	0
73569	250.0	1
73570	1000.0	4
73571	0	0
73572	3450.0	6
73573	500.0	1
735HH	0	0
735XX	0	0
73601	4400.0	15
73620	250.0	1
73622	0	0
73624	0	0
73625	0	0
73626	0	0
73627	0	0
73628	2450.0	4
73632	250.0	1
73638	1300.0	3
73639	300.0	1
73641	0	0
73642	1000.0	1
73644	8950.0	14
73645	0	0
73646	0	0
73647	0	0
73650	700.0	2
73651	500.0	2
73654	5350.0	8
73655	0	0
73658	0	0
73659	0	0
73660	0	0
73661	0	0
73662	450.0	1
73663	0	0
73664	250.0	1
73666	0	0
73667	0	0
73668	0	0
73669	1500.0	2
73673	0	0
736HH	0	0
736XX	0	0
73701	3300.0	10
73703	36750.0	76
73716	0	0
73717	0	0
73718	200.0	1
73719	0	0
73720	0	0
73722	0	0
73724	0	0
73726	0	0
73727	300.0	1
73728	0	0
73729	0	0
73730	0	0
73731	0	0
73733	0	0
73734	0	0
73735	0	0
73736	0	0
73737	950.0	5
73738	0	0
73739	0	0
73741	200.0	1
73742	1000.0	1
73743	0	0
73744	0	0
73746	0	0
73747	0	0
73749	0	0
73750	6500.0	15
73753	0	0
73754	0	0
73755	0	0
73756	0	0
73757	0	0
73758	0	0
73759	0	0
73760	0	0
73761	0	0
73762	700.0	2
73763	250.0	1
73764	0	0
73766	250.0	1
73768	300.0	1
73771	0	0
73772	2050.0	5
73773	2000.0	5
737HH	0	0
73801	8450.0	24
73802	3250.0	10
73832	0	0
73834	0	0
73835	1000.0	1
73838	0	0
73840	0	0
73841	0	0
73842	0	0
73843	250.0	1
73844	0	0
73847	0	0
73848	4300.0	17
73851	0	0
73852	250.0	1
73853	0	0
73855	750.0	3
73857	0	0
73858	0	0
73859	0	0
73860	250.0	1
738HH	0	0
738XX	0	0
73901	0	0
73931	0	0
73932	450.0	2
73933	350.0	1
73937	200.0	1
73938	0	0
73939	250.0	1
73942	15150.0	47
73944	250.0	1
73945	250.0	1
73946	0	0
73947	0	0
73949	0	0
73950	0	0
73951	0	0
739HH	0	0
739XX	0	0
74001	0	0
74002	1000.0	1
74003	2000.0	7
74006	23605.0	60
74008	17450.0	29
74010	8650.0	15
74011	20350.0	34
74012	36040.0	69
74014	8700.0	16
74015	8250.0	11
74016	250.0	1
74017	5250.0	11
74020	4100.0	8
74021	4000.0	5
74022	0	0
74023	1000.0	3
74026	0	0
74027	0	0
74028	0	0
74029	0	0
74030	0	0
74032	1250.0	2
74033	302.0	1
74034	0	0
74035	0	0
74036	1250.0	2
74037	11747.0	18
74038	0	0
74039	250.0	1
74041	2000.0	2
74042	1000.0	1
74044	1500.0	3
74045	0	0
74047	1250.0	3
74048	0	0
74050	0	0
74051	2250.0	3
74052	0	0
74053	0	0
74054	0	0
74055	21000.0	30
74056	1200.0	2
74058	1586.0	3
74059	250.0	1
74060	0	0
74061	200.0	1
74062	0	0
74063	16550.0	32
74066	8900.0	18
74068	0	0
74070	1950.0	4
74071	0	0
74072	0	0
74073	0	0
74074	10000.0	18
74075	8750.0	16
74079	1050.0	3
74080	0	0
74081	0	0
74083	0	0
74084	0	0
74085	0	0
740HH	0	0
74103	88900.0	176
74104	22800.0	50
74105	183237.0	378
74106	2000.0	5
74107	10401.0	17
74108	500.0	1
74110	700.0	2
74112	9250.0	16
74114	254341.0	456
74115	1500.0	3
74116	1250.0	2
74117	0	0
74119	44250.0	75
74120	7550.0	18
74126	0	0
74127	750.0	3
74128	1800.0	6
74129	7050.0	16
74130	0	0
74131	1200.0	3
74132	4450.0	13
74133	34300.0	72
74134	1500.0	3
74135	59860.0	122
74136	186819.0	358
74137	131205.0	259
74145	15400.0	30
74146	14250.0	17
74301	7700.0	19
74330	0	0
74331	5500.0	7
74332	750.0	2
74333	0	0
74335	0	0
74337	0	0
74338	0	0
74339	0	0
74340	0	0
74342	0	0
74343	0	0
74344	200.0	1
74346	0	0
74347	0	0
74349	5250.0	6
74350	0	0
74352	1000.0	1
74354	1750.0	3
74358	0	0
74360	0	0
74361	250.0	1
74363	0	0
74364	0	0
74365	0	0
74366	0	0
74367	0	0
74368	0	0
74369	0	0
74370	250.0	1
743HH	0	0
74401	9950.0	19
74403	9400.0	19
74421	750.0	2
74422	0	0
74423	0	0
74425	500.0	1
74426	1000.0	4
74427	0	0
74428	0	0
74429	500.0	1
74430	0	0
74431	0	0
74432	1000.0	2
74434	0	0
74435	0	0
74436	6000.0	9
74437	10600.0	6
74438	0	0
74440	0	0
74441	0	0
74442	0	0
74444	0	0
74445	750.0	2
74446	2500.0	4
74447	3250.0	7
74450	0	0
74451	4500.0	7
74452	0	0
74454	0	0
74455	0	0
74456	0	0
74457	0	0
74459	0	0
74460	0	0
74461	0	0
74462	250.0	1
74463	0	0
74464	1000.0	1
74467	250.0	1
74468	0	0
74469	1000.0	2
74470	0	0
74471	0	0
74472	0	0
744HH	0	0
744XX	0	0
74501	2749.0	7
74521	0	0
74522	0	0
74523	6700.0	13
74525	250.0	1
74528	0	0
74530	0	0
74531	0	0
74533	0	0
74534	5000.0	5
74535	0	0
74536	0	0
74538	0	0
74540	0	0
74543	0	0
74545	0	0
74546	0	0
74547	0	0
74549	0	0
74552	500.0	1
74553	0	0
74554	0	0
74555	300.0	1
74556	0	0
74557	0	0
74558	0	0
74560	0	0
74561	0	0
74562	0	0
74563	0	0
74565	0	0
74567	0	0
74569	0	0
74570	0	0
74571	0	0
74572	0	0
74574	0	0
74576	0	0
74577	0	0
74578	0	0
745HH	0	0
745XX	0	0
74601	10400.0	23
74604	40650.0	96
74630	950.0	4
74631	1250.0	3
74632	0	0
74633	0	0
74636	0	0
74637	0	0
74640	0	0
74641	0	0
74643	0	0
74644	0	0
74646	750.0	1
74647	11540.0	24
74650	0	0
74651	500.0	2
74652	0	0
74653	1750.0	5
746HH	0	0
74701	9000.0	14
74720	0	0
74721	0	0
74722	0	0
74723	0	0
74724	0	0
74726	0	0
74727	0	0
74728	500.0	1
74729	0	0
74730	0	0
74731	0	0
74733	0	0
74734	0	0
74735	0	0
74736	0	0
74737	0	0
74738	250.0	1
74740	0	0
74741	0	0
74743	500.0	1
74745	1100.0	4
74747	0	0
74748	0	0
74750	0	0
74753	0	0
74754	0	0
74755	0	0
74756	0	0
74759	0	0
74760	0	0
74761	0	0
74764	0	0
74766	0	0
747HH	0	0
747XX	0	0
74801	27448.0	57
74804	3750.0	9
74820	26330.0	40
74824	0	0
74825	0	0
74826	0	0
74827	0	0
74829	0	0
74830	0	0
74831	250.0	1
74832	0	0
74833	0	0
74834	4750.0	14
74836	0	0
74837	0	0
74839	0	0
74840	0	0
74842	5000.0	5
74843	0	0
74844	0	0
74845	0	0
74848	1225.0	3
74849	0	0
74850	0	0
74851	1000.0	1
74852	0	0
74854	0	0
74855	250.0	1
74856	250.0	1
74857	0	0
74859	0	0
74860	500.0	2
74864	200.0	1
74865	1100.0	5
74866	0	0
74867	0	0
74868	5000.0	10
74869	0	0
74871	0	0
74872	0	0
74873	500.0	1
74875	0	0
74878	0	0
74880	0	0
74881	1000.0	1
74883	0	0
74884	0	0
748HH	0	0
74901	0	0
74902	0	0
74930	0	0
74931	0	0
74932	0	0
74935	0	0
74936	0	0
74937	0	0
74939	0	0
74940	0	0
74941	0	0
74942	0	0
74943	0	0
74944	0	0
74945	0	0
74946	0	0
74947	0	0
74948	1000.0	1
74949	0	0
74951	0	0
74953	1000.0	3
74954	800.0	3
74955	500.0	1
74956	0	0
74957	0	0
74959	2000.0	3
74960	300.0	1
74962	250.0	1
74963	0	0
74964	0	0
74965	0	0
74966	0	0
749HH	0	0
