zoneID	money	freq
15001	17945.0	38
15003	900.0	3
15004	1000.0	4
15005	1500.0	3
15006	0	0
15007	0	0
15009	10512.0	21
15010	9900.0	31
15012	18200.0	31
15014	0	0
15015	10000.0	17
15017	17150.0	29
15018	0	0
15019	0	0
15020	0	0
15021	12100.0	32
15022	23052.0	41
15024	5570.0	11
15025	16881.0	29
15026	2800.0	5
15027	1900.0	8
15028	0	0
15030	0	0
15031	0	0
15033	8500.0	13
15034	0	0
15035	0	0
15037	5050.0	10
15038	0	0
15042	0	0
15043	0	0
15044	39400.0	72
15045	1000.0	1
15046	0	0
15049	0	0
15050	200.0	1
15051	0	0
15052	0	0
15053	0	0
15054	0	0
15055	1750.0	4
15056	0	0
15057	750.0	3
15059	730.0	2
15060	0	0
15061	10250.0	19
15062	8750.0	26
15063	28250.0	60
15064	0	0
15065	7250.0	10
15066	750.0	2
15067	2000.0	2
15068	24450.0	35
15071	3500.0	9
15072	0	0
15074	1450.0	5
15075	500.0	1
15076	0	0
15078	0	0
15081	0	0
15082	0	0
15083	250.0	1
15084	2000.0	2
15085	1800.0	3
15086	0	0
15087	0	0
15088	0	0
15089	2250.0	3
15090	79585.0	152
150HH	0	0
15101	47200.0	98
15102	45000.0	88
15104	250.0	1
15106	11150.0	21
15108	25750.0	45
15110	1000.0	2
15112	200.0	1
15116	9550.0	19
15120	3000.0	4
15122	4500.0	6
15126	4450.0	9
15129	4500.0	6
15131	7000.0	10
15132	4750.0	9
15133	250.0	1
15135	2000.0	3
15136	1950.0	5
15137	2300.0	4
15139	27100.0	45
15140	0	0
15142	11100.0	24
15143	113662.0	246
15144	300.0	1
15145	1000.0	1
15146	20051.0	47
15147	3250.0	9
15148	3000.0	3
151HH	0	0
15201	750.0	2
15202	2000.0	6
15203	6550.0	14
15204	250.0	1
15205	28750.0	46
15206	48400.0	111
15207	0	0
15208	16450.0	29
15209	3500.0	5
15210	0	0
15211	12000.0	22
15212	12744.0	29
15213	62000.0	100
15214	4750.0	13
15215	67100.0	122
15216	16041.0	31
15217	133831.0	255
15218	14675.0	30
15219	91100.0	159
15220	20100.0	35
15221	26600.0	60
15222	125200.0	203
15223	2300.0	4
15224	0	0
15225	2000.0	2
15226	1000.0	1
15227	10320.0	23
15228	95085.0	169
15229	1500.0	2
15232	73600.0	131
15233	8250.0	10
15234	10750.0	20
15235	16850.0	35
15236	27800.0	45
15237	57621.0	126
15238	202833.0	328
15239	15750.0	25
15241	152370.0	279
15243	67775.0	117
152HH	0	0
15301	68320.0	136
15310	0	0
15311	0	0
15312	1800.0	3
15313	0	0
15314	4800.0	9
15315	0	0
15316	0	0
15317	107600.0	173
15320	1850.0	4
15321	2800.0	4
15322	250.0	1
15323	2000.0	3
15324	0	0
15325	0	0
15327	0	0
15329	500.0	1
15330	26450.0	50
15331	0	0
15332	1250.0	3
15333	6000.0	12
15334	1000.0	1
15337	0	0
15338	0	0
15340	750.0	2
15341	250.0	1
15342	1950.0	7
15344	1000.0	2
15345	0	0
15346	0	0
15347	5000.0	5
15348	0	0
15349	0	0
15350	0	0
15351	0	0
15352	500.0	1
15353	0	0
15357	0	0
15358	750.0	3
15359	0	0
15360	6350.0	19
15361	0	0
15362	0	0
15363	0	0
15364	0	0
15367	22550.0	37
15368	0	0
15370	8250.0	15
15376	500.0	1
15377	0	0
15378	0	0
15379	0	0
15380	0	0
153HH	0	0
15401	40050.0	64
15410	0	0
15411	0	0
15412	0	0
15413	0	0
15417	2750.0	4
15419	2050.0	4
15420	0	0
15422	0	0
15423	500.0	2
15424	0	0
15425	9400.0	12
15427	0	0
15428	0	0
15429	500.0	1
15430	0	0
15431	0	0
15432	0	0
15433	0	0
15434	0	0
15436	0	0
15437	1500.0	2
15438	6150.0	10
15440	0	0
15442	5500.0	13
15443	0	0
15444	0	0
15445	700.0	3
15446	0	0
15447	0	0
15448	0	0
15450	0	0
15451	0	0
15454	0	0
15455	0	0
15456	500.0	1
15458	1000.0	1
15459	0	0
15460	0	0
15461	250.0	1
15462	0	0
15464	0	0
15466	0	0
15468	2750.0	4
15469	0	0
15470	0	0
15472	250.0	1
15473	750.0	2
15474	0	0
15475	7900.0	12
15476	0	0
15477	500.0	2
15478	200.0	1
15479	0	0
15480	0	0
15482	0	0
15483	3700.0	9
15484	0	0
15485	0	0
15486	200.0	1
15489	0	0
15490	0	0
15492	2300.0	6
154HH	0	0
15501	7000.0	13
15520	0	0
15521	4300.0	6
15522	36800.0	48
15530	1000.0	1
15531	2000.0	2
15532	0	0
15533	4450.0	7
15534	0	0
15535	0	0
15536	0	0
15537	17077.0	21
15538	0	0
15539	0	0
15540	0	0
15541	0	0
15542	1000.0	1
15544	0	0
15545	0	0
15546	0	0
15547	0	0
15550	0	0
15551	0	0
15552	250.0	1
15553	0	0
15554	0	0
15557	0	0
15558	0	0
15559	0	0
15560	0	0
15562	0	0
15563	0	0
155HH	0	0
15601	41950.0	83
15610	1000.0	2
15611	0	0
15612	0	0
15613	4000.0	7
15615	0	0
15617	0	0
15618	250.0	1
15620	0	0
15622	3400.0	13
15623	0	0
15624	0	0
15625	0	0
15626	750.0	2
15627	500.0	2
15628	0	0
15629	0	0
15631	0	0
15632	5550.0	18
15633	0	0
15634	0	0
15635	0	0
15636	1000.0	1
15637	750.0	1
15639	0	0
15640	0	0
15641	0	0
15642	29550.0	37
15644	4650.0	14
15646	0	0
15647	0	0
15650	18000.0	31
15655	6750.0	8
15656	1500.0	2
15658	53800.0	71
15660	0	0
15661	0	0
15662	250.0	1
15663	0	0
15665	0	0
15666	13000.0	15
15668	32800.0	64
15670	250.0	1
15671	0	0
15672	800.0	2
15673	0	0
15674	0	0
15675	0	0
15676	0	0
15677	750.0	3
15678	0	0
15679	3350.0	7
15680	0	0
15681	0	0
15683	400.0	2
15684	3500.0	5
15685	1000.0	1
15686	0	0
15687	2250.0	3
15688	0	0
15689	0	0
15690	0	0
15692	0	0
15693	0	0
15695	0	0
15696	2450.0	4
15697	2300.0	6
15698	0	0
156HH	0	0
15701	96598.0	155
15710	0	0
15711	0	0
15712	0	0
15713	0	0
15714	1000.0	1
15715	0	0
15716	0	0
15717	11750.0	32
15721	0	0
15722	1250.0	2
15723	0	0
15724	0	0
15725	1000.0	1
15728	0	0
15729	0	0
15730	0	0
15731	0	0
15732	0	0
15733	0	0
15734	0	0
15736	0	0
15739	0	0
15741	0	0
15742	0	0
15744	0	0
15745	0	0
15747	250.0	1
15748	0	0
15752	0	0
15753	0	0
15754	0	0
15756	0	0
15757	2250.0	3
15759	500.0	1
15760	0	0
15761	0	0
15762	1500.0	2
15763	0	0
15764	0	0
15765	0	0
15767	1450.0	6
15770	0	0
15771	0	0
15772	0	0
15773	0	0
15774	1250.0	3
15775	0	0
15776	0	0
15777	0	0
15778	0	0
15779	0	0
15780	0	0
15781	0	0
15783	0	0
15784	0	0
157HH	0	0
15801	8150.0	15
15821	0	0
15823	900.0	4
15824	2600.0	9
15825	7850.0	20
15827	0	0
15828	0	0
15829	0	0
15832	0	0
15834	1750.0	3
15840	0	0
15841	0	0
15845	0	0
15846	0	0
15847	0	0
15848	0	0
15849	0	0
15851	2500.0	4
15853	2000.0	2
15856	0	0
15857	1000.0	1
15860	0	0
15861	0	0
15863	0	0
15864	1400.0	4
15865	0	0
15866	0	0
15868	500.0	1
15870	0	0
158HH	0	0
158XX	0	0
15901	13000.0	20
15902	8000.0	11
15904	62225.0	77
15905	199221.0	248
15906	3600.0	5
15909	2750.0	4
15920	0	0
15923	1000.0	1
15924	0	0
15925	0	0
15926	5000.0	7
15927	0	0
15928	6250.0	7
15929	0	0
15930	0	0
15931	24850.0	36
15934	800.0	3
15935	1550.0	3
15936	0	0
15937	0	0
15938	1500.0	3
15940	1000.0	1
15942	2000.0	4
15943	2000.0	2
15944	800.0	1
15946	4000.0	7
15948	0	0
15949	0	0
15952	0	0
15954	650.0	2
15955	2250.0	3
15956	500.0	1
15957	0	0
15958	0	0
15961	0	0
15963	13000.0	16
159HH	0	0
16001	16150.0	30
16002	6751.0	21
16020	0	0
16022	0	0
16023	0	0
16024	0	0
16025	0	0
16027	0	0
16028	0	0
16029	0	0
16030	0	0
16033	850.0	2
16034	0	0
16035	0	0
16036	0	0
16037	1250.0	3
16038	500.0	2
16040	0	0
16041	800.0	1
16045	0	0
16046	26850.0	43
16049	0	0
16050	200.0	1
16051	6700.0	12
16052	250.0	1
16053	2600.0	7
16054	0	0
16055	300.0	1
16056	250.0	1
16057	0	0
16059	2750.0	4
16061	0	0
16063	3500.0	12
16066	16900.0	38
160HH	0	0
16101	4050.0	9
16102	0	0
16105	16000.0	31
16110	0	0
16111	0	0
16112	500.0	1
16113	0	0
16114	0	0
16115	750.0	3
16116	0	0
16117	9200.0	18
16120	0	0
16121	0	0
16123	4500.0	7
16124	0	0
16125	4250.0	7
16127	3350.0	13
16130	0	0
16131	0	0
16132	250.0	1
16133	0	0
16134	0	0
16136	0	0
16137	7210.0	19
16140	750.0	2
16141	0	0
16142	3000.0	3
16143	0	0
16145	0	0
16146	1000.0	1
16148	2250.0	4
16150	4050.0	7
16151	0	0
16153	800.0	4
16154	0	0
16155	0	0
16156	0	0
16157	0	0
16159	0	0
16160	0	0
16161	0	0
161HH	0	0
16201	11900.0	31
16210	0	0
16212	0	0
16213	0	0
16214	5550.0	15
16217	250.0	1
16218	250.0	1
16222	0	0
16223	0	0
16224	0	0
16226	0	0
16228	0	0
16229	2500.0	3
16230	0	0
16232	0	0
16233	0	0
16234	0	0
16235	0	0
16236	0	0
16238	0	0
16239	0	0
16240	0	0
16242	11050.0	15
16244	0	0
16245	0	0
16246	250.0	1
16248	0	0
16249	0	0
16250	0	0
16253	0	0
16254	5300.0	18
16255	0	0
16256	0	0
16258	0	0
16259	2000.0	2
16260	0	0
16262	0	0
16263	0	0
162HH	0	0
162XX	0	0
16301	2200.0	5
16311	0	0
16313	500.0	2
16314	0	0
16316	0	0
16317	0	0
16319	0	0
16321	0	0
16322	0	0
16323	250.0	1
16326	0	0
16327	0	0
16329	0	0
16331	0	0
16332	0	0
16333	0	0
16334	0	0
16335	6950.0	14
16340	0	0
16341	0	0
16342	0	0
16343	0	0
16344	0	0
16345	0	0
16346	0	0
16347	1850.0	5
16350	250.0	1
16351	0	0
16352	0	0
16353	0	0
16354	1950.0	5
16360	0	0
16361	0	0
16362	0	0
16364	250.0	1
16365	7650.0	20
16370	0	0
16371	0	0
16372	0	0
16373	200.0	1
16374	0	0
163HH	0	0
163XX	0	0
16401	0	0
16402	0	0
16403	0	0
16404	0	0
16405	0	0
16406	0	0
16407	250.0	1
16410	250.0	1
16411	0	0
16412	5583.0	42
16415	16050.0	41
16416	0	0
16417	0	0
16420	0	0
16421	0	0
16422	0	0
16423	0	0
16424	0	0
16426	500.0	1
16427	0	0
16428	750.0	3
16433	250.0	1
16434	0	0
16435	0	0
16436	0	0
16438	600.0	3
16440	0	0
16441	1200.0	2
16442	0	0
16443	0	0
164HH	0	0
16501	2250.0	4
16502	6650.0	17
16503	250.0	1
16504	0	0
16505	24950.0	70
16506	26348.0	50
16507	12524.0	28
16508	9000.0	19
16509	17000.0	36
16510	3050.0	7
16511	0	0
165HH	0	0
16601	14700.0	22
16602	38800.0	59
16611	450.0	2
16613	0	0
16616	0	0
16617	0	0
16619	0	0
16620	0	0
16621	0	0
16622	0	0
16623	0	0
16624	0	0
16625	4000.0	4
16627	0	0
16630	1750.0	4
16631	0	0
16633	0	0
16634	0	0
16635	5950.0	10
16636	0	0
16637	0	0
16638	0	0
16639	0	0
16640	1750.0	3
16641	0	0
16645	0	0
16646	1250.0	2
16647	1750.0	3
16648	89850.0	128
16650	250.0	1
16651	0	0
16652	13700.0	19
16655	1000.0	1
16656	0	0
16657	0	0
16659	0	0
16661	0	0
16662	9200.0	11
16663	0	0
16664	1600.0	3
16665	0	0
16666	1000.0	1
16667	0	0
16668	0	0
16669	500.0	2
16670	0	0
16671	0	0
16672	0	0
16673	14000.0	19
16674	0	0
16677	0	0
16678	1000.0	2
16679	0	0
16680	0	0
16681	0	0
16682	0	0
16683	0	0
16685	0	0
16686	3750.0	6
16689	0	0
16691	0	0
16692	0	0
16693	0	0
16694	0	0
16695	0	0
166HH	0	0
166XX	0	0
16701	4650.0	9
16720	0	0
16724	0	0
16725	0	0
16726	0	0
16727	300.0	1
16729	0	0
16730	0	0
16731	0	0
16732	0	0
16733	0	0
16734	0	0
16735	1500.0	3
16738	0	0
16740	0	0
16743	0	0
16744	0	0
16745	0	0
16746	0	0
16748	0	0
16749	0	0
16750	0	0
16751	0	0
167XX	0	0
16801	27167.0	72
16802	0	0
16803	10500.0	23
16820	0	0
16822	0	0
16823	9900.0	16
16825	9500.0	12
16826	0	0
16827	0	0
16828	3280.0	6
16829	0	0
16830	3650.0	10
16832	0	0
16833	0	0
16834	0	0
16836	0	0
16837	0	0
16838	0	0
16839	0	0
16840	0	0
16841	1000.0	3
16843	0	0
16844	0	0
16845	0	0
16847	325.0	1
16848	0	0
16849	0	0
16851	0	0
16852	0	0
16853	0	0
16854	0	0
16855	0	0
16856	0	0
16858	0	0
16859	0	0
16860	0	0
16861	0	0
16863	0	0
16864	0	0
16865	0	0
16866	9100.0	11
16870	2300.0	4
16871	0	0
16872	0	0
16874	0	0
16875	0	0
16876	0	0
16877	0	0
16878	0	0
16879	0	0
16881	0	0
16882	0	0
168HH	0	0
168XX	0	0
16901	4500.0	12
16911	0	0
16912	0	0
16914	0	0
16915	3400.0	5
16917	0	0
16918	0	0
16920	0	0
16921	0	0
16922	0	0
16923	0	0
16925	0	0
16926	0	0
16927	0	0
16928	200.0	1
16929	0	0
16930	0	0
16932	0	0
16933	2700.0	4
16935	0	0
16936	0	0
16937	0	0
16938	0	0
16939	0	0
16940	0	0
16941	0	0
16942	0	0
16943	0	0
16946	250.0	1
16947	0	0
16948	0	0
16950	0	0
169HH	0	0
169XX	0	0
17002	0	0
17003	3250.0	5
17004	0	0
17005	0	0
17006	0	0
17007	1950.0	6
17009	0	0
17010	0	0
17011	83225.0	151
17013	22800.0	53
17016	750.0	2
17017	0	0
17018	1460.0	4
17019	4575.0	12
17020	0	0
17021	0	0
17022	8233.0	14
17023	0	0
17024	0	0
17025	1750.0	3
17026	1200.0	2
17027	500.0	1
17028	0	0
17029	0	0
17032	1550.0	3
17033	14218.0	37
17034	0	0
17035	0	0
17036	32575.0	60
17037	0	0
17038	500.0	1
17040	0	0
17041	500.0	1
17042	22800.0	41
17043	28500.0	52
17044	6200.0	10
17045	250.0	1
17046	2000.0	4
17047	2100.0	5
17048	0	0
17049	500.0	1
17051	0	0
17052	1000.0	1
17053	500.0	1
17055	59450.0	125
17057	3450.0	12
17058	0	0
17059	1000.0	2
17060	0	0
17061	3250.0	7
17062	-500.0	1
