zoneID	money	freq
29001	0	0
29003	5600.0	11
29006	500.0	1
29009	0	0
29010	2000.0	2
29014	0	0
29015	0	0
29016	8250.0	13
29018	0	0
29020	21500.0	36
29030	0	0
29031	0	0
29032	0	0
29033	3833.0	7
29036	4650.0	9
29037	0	0
29038	0	0
29039	0	0
29040	0	0
29042	6500.0	7
29044	4000.0	5
29045	750.0	2
29046	0	0
29047	0	0
29048	0	0
29051	1750.0	4
29052	0	0
29053	1500.0	2
29054	2170.0	4
29055	0	0
29056	500.0	1
29058	500.0	1
29059	0	0
29061	1650.0	5
29062	0	0
29063	5750.0	12
29065	0	0
29067	1000.0	2
29069	0	0
29070	2550.0	5
29072	44200.0	70
29073	5650.0	8
29074	0	0
29075	750.0	2
29078	5500.0	12
29079	0	0
29080	3000.0	3
29081	0	0
29082	0	0
290HH	0	0
290XX	0	0
29101	0	0
29102	18500.0	29
29104	0	0
29105	0	0
29107	0	0
29108	6200.0	12
29111	0	0
29112	500.0	1
29113	0	0
29114	0	0
29115	5900.0	9
29118	5400.0	9
29122	250.0	1
29123	0	0
29124	0	0
29125	0	0
29126	0	0
29127	500.0	1
29128	6500.0	7
29129	0	0
29130	0	0
29132	0	0
29133	0	0
29135	3950.0	8
29137	500.0	1
29138	1000.0	3
29142	1200.0	3
29145	0	0
29146	0	0
29148	2500.0	3
29150	6250.0	14
29152	0	0
29153	250.0	1
29154	0	0
29160	2800.0	5
29161	0	0
29162	0	0
29163	0	0
29164	0	0
29166	0	0
29168	0	0
29169	25850.0	45
29170	2000.0	2
29172	0	0
29175	0	0
29177	0	0
29178	0	0
29180	7250.0	15
291HH	0	0
291XX	0	0
29201	100950.0	170
29202	111850.0	177
29203	6850.0	15
29204	56050.0	83
29205	217706.0	362
29206	129675.0	235
29207	0	0
29209	31800.0	58
29210	14000.0	25
29212	14250.0	29
29223	46027.0	76
29229	2800.0	7
292HH	0	0
292XX	0	0
29301	6000.0	5
29302	41600.0	57
29303	4300.0	6
29306	5050.0	11
29307	7300.0	10
29316	800.0	2
29320	1500.0	3
29321	0	0
29322	0	0
29323	0	0
29325	2300.0	3
29330	0	0
29332	0	0
29334	500.0	1
29335	0	0
29338	0	0
29340	3500.0	6
29341	4000.0	4
29349	2500.0	7
29351	0	0
29353	0	0
29355	0	0
29356	5250.0	7
29360	9000.0	14
29364	0	0
29365	0	0
29369	5750.0	7
29370	0	0
29372	0	0
29373	0	0
29374	0	0
29375	0	0
29376	0	0
29377	0	0
29379	3500.0	4
29384	0	0
29385	0	0
29388	0	0
293HH	0	0
29401	221346.0	305
29403	22925.0	32
29404	0	0
29405	1000.0	1
29406	13000.0	19
29407	57150.0	87
29412	33283.0	50
29414	9300.0	11
29418	5650.0	15
29420	300.0	1
29423	0	0
29426	0	0
29429	250.0	1
29430	0	0
29431	0	0
29432	0	0
29434	0	0
29435	0	0
29436	0	0
29437	0	0
29438	1300.0	4
29439	4800.0	7
29440	16750.0	18
29445	1200.0	4
29446	0	0
29448	0	0
29449	1250.0	2
29450	500.0	1
29451	16750.0	22
29452	0	0
29453	0	0
29455	17200.0	25
29456	0	0
29458	550.0	2
29461	4150.0	8
29464	78524.0	111
29466	7000.0	11
29468	0	0
29469	0	0
29470	1250.0	2
29471	0	0
29472	0	0
29474	0	0
29475	0	0
29477	0	0
29479	0	0
29481	0	0
29482	30450.0	49
29483	16250.0	19
29485	750.0	2
29487	5900.0	9
29488	9550.0	16
29492	3750.0	5
29493	0	0
294HH	0	0
294XX	0	0
29501	55800.0	78
29505	6085.0	9
29506	8500.0	10
29510	750.0	3
29511	4750.0	10
29512	8750.0	11
29516	0	0
29518	250.0	1
29519	0	0
29520	9500.0	12
29525	250.0	1
29526	7750.0	10
29527	0	0
29530	0	0
29532	7700.0	13
29536	7750.0	11
29540	1000.0	2
29541	2650.0	4
29543	0	0
29544	9300.0	14
29545	0	0
29546	0	0
29547	1000.0	1
29550	7250.0	13
29554	1000.0	1
29555	0	0
29556	5100.0	9
29560	7700.0	14
29563	500.0	1
29564	0	0
29565	2250.0	6
29566	0	0
29567	0	0
29568	0	0
29569	750.0	2
29570	0	0
29571	5450.0	11
29572	11050.0	15
29574	2975.0	6
29575	500.0	1
29576	9900.0	13
29577	16600.0	28
29579	0	0
29580	0	0
29581	5000.0	7
29582	250.0	1
29583	4000.0	4
29584	0	0
29585	25910.0	36
29589	0	0
29590	0	0
29591	250.0	1
29592	0	0
29593	0	0
29594	0	0
29596	0	0
295HH	0	0
295XX	0	0
29601	45620.0	70
29605	39891.0	65
29607	18850.0	35
29609	12150.0	24
29611	0	0
29615	27150.0	39
29617	2555.0	6
29620	250.0	1
29621	26669.0	43
29624	4750.0	7
29625	1900.0	4
29626	2000.0	2
29627	250.0	1
29628	0	0
29630	1250.0	4
29631	3250.0	8
29635	500.0	1
29638	250.0	1
29639	0	0
29640	2000.0	4
29642	3750.0	7
29643	0	0
29644	0	0
29645	500.0	1
29646	12300.0	24
29649	5000.0	11
29650	7000.0	9
29651	1800.0	3
29653	0	0
29654	0	0
29655	500.0	1
29656	0	0
29657	4000.0	4
29658	0	0
29659	0	0
29661	0	0
29662	0	0
29664	0	0
29665	0	0
29666	2000.0	3
29667	0	0
29669	2300.0	3
29670	0	0
29671	3500.0	5
29672	2250.0	5
29673	1000.0	1
29676	0	0
29677	0	0
29678	750.0	2
29680	1000.0	1
29681	2170.0	5
29682	0	0
29683	0	0
29684	0	0
29685	1000.0	1
29686	0	0
29687	1000.0	1
29688	0	0
29689	1200.0	6
29690	5000.0	6
29691	2000.0	2
29692	4500.0	8
29693	1000.0	1
29696	0	0
29697	3000.0	3
296HH	0	0
29702	2500.0	4
29704	1250.0	2
29706	3500.0	6
29708	9500.0	18
29709	4500.0	5
29710	8500.0	14
29712	550.0	2
29714	1500.0	2
29715	33300.0	64
29717	1000.0	1
29718	0	0
29720	16550.0	36
29724	0	0
29726	0	0
29727	0	0
29728	0	0
29729	0	0
29730	35800.0	80
29732	77700.0	152
29741	0	0
29742	0	0
29743	0	0
29745	22400.0	57
297HH	0	0
29801	18650.0	34
29803	1750.0	5
29805	0	0
29809	0	0
29810	2750.0	4
29812	14250.0	17
29816	0	0
29817	0	0
29819	0	0
29821	0	0
29822	750.0	3
29824	0	0
29826	0	0
29827	-1000.0	1
29828	0	0
29829	2000.0	1
29831	0	0
29832	0	0
29834	0	0
29835	0	0
29836	0	0
29838	0	0
29840	250.0	1
29841	3000.0	6
29842	0	0
29843	0	0
29844	0	0
29845	0	0
29846	0	0
29847	0	0
29848	0	0
29849	0	0
29850	0	0
29851	0	0
29853	0	0
29856	0	0
29860	4000.0	4
298HH	0	0
298XX	0	0
29902	19450.0	33
29906	2250.0	3
29910	7900.0	12
29911	0	0
29916	0	0
29918	5500.0	6
29920	10200.0	12
29921	0	0
29922	0	0
29923	0	0
29924	16150.0	20
29926	10900.0	22
29927	1750.0	3
29928	18500.0	28
29929	0	0
29932	0	0
29934	0	0
29935	1250.0	3
29936	4300.0	8
29939	0	0
29940	0	0
29941	3000.0	3
29943	0	0
29944	0	0
29945	0	0
299HH	0	0
299XX	0	0
