zoneID	money	freq
57001	0	0
57002	0	0
57003	1500.0	2
57004	3000.0	8
57005	33305.0	60
57006	49650.0	93
57010	0	0
57012	0	0
57013	3950.0	9
57014	650.0	2
57015	0	0
57016	2700.0	9
57017	0	0
57018	2500.0	3
57020	500.0	1
57021	0	0
57022	11634.0	17
57024	0	0
57025	200.0	1
57026	1250.0	4
57027	0	0
57028	6450.0	11
57029	6650.0	13
57030	550.0	2
57031	0	0
57032	4250.0	11
57033	9750.0	15
57034	1000.0	1
57035	0	0
57036	0	0
57037	0	0
57038	2250.0	5
57039	250.0	1
57040	0	0
57041	200.0	1
57042	17760.0	32
57043	0	0
57044	0	0
57045	250.0	1
57046	1000.0	1
57047	0	0
57048	0	0
57049	68600.0	116
57050	0	0
57051	400.0	2
57052	0	0
57053	2500.0	5
57054	0	0
57055	1300.0	2
57057	250.0	1
57058	1000.0	2
57059	1000.0	1
57061	0	0
57062	1000.0	1
57063	2000.0	4
57064	250.0	1
57065	0	0
57066	500.0	1
57067	0	0
57068	1250.0	3
57069	10900.0	17
57070	0	0
57071	4000.0	5
57072	250.0	1
57073	0	0
57074	0	0
57075	8050.0	10
57076	245.0	1
57077	0	0
57078	31924.0	61
570HH	0	0
57103	163295.0	250
57104	56480.0	83
57105	285383.0	394
57106	64550.0	110
57107	3000.0	5
57108	147600.0	230
57110	44839.0	65
57201	73650.0	100
57212	500.0	2
57213	0	0
57214	0	0
57216	250.0	1
57217	0	0
57218	0	0
57219	0	0
57220	1750.0	7
57221	200.0	1
57223	0	0
57224	0	0
57225	0	0
57226	1400.0	3
57227	0	0
57231	4750.0	11
57232	0	0
57233	0	0
57234	0	0
57235	0	0
57236	0	0
57237	0	0
57238	1000.0	1
57239	0	0
57241	1250.0	2
57242	0	0
57243	0	0
57244	0	0
57245	200.0	1
57246	0	0
57247	0	0
57248	1250.0	3
57249	500.0	1
57251	0	0
57252	26050.0	35
57255	0	0
57256	0	0
57257	0	0
57258	0	0
57259	0	0
57260	0	0
57261	0	0
57262	3750.0	7
57263	250.0	1
57264	0	0
57265	1000.0	2
57266	0	0
57268	500.0	1
57269	0	0
57270	0	0
57271	0	0
57272	300.0	1
57273	350.0	1
57274	0	0
57276	0	0
57278	0	0
57279	0	0
572HH	0	0
57301	35400.0	60
57311	0	0
57312	0	0
57313	0	0
57314	200.0	1
57315	500.0	2
57317	3300.0	6
57319	1000.0	2
