zoneID	money	freq
98001	2200.0	9
98002	6800.0	7
98003	9700.0	22
98004	199425.0	291
98005	47599.0	77
98006	96450.0	170
98007	21850.0	27
98008	14500.0	28
98010	250.0	1
98011	9700.0	17
98012	11650.0	34
98014	5125.0	9
98019	1000.0	2
98020	55350.0	108
98021	5748.0	17
98022	-800.0	2
98023	10700.0	25
98024	3400.0	6
98025	0	0
98026	11420.0	26
98027	36675.0	61
98028	13250.0	29
98029	7250.0	18
98031	8400.0	12
98032	750.0	3
98033	96825.0	180
98034	18650.0	38
98036	5825.0	14
98037	4400.0	12
98038	11400.0	16
98039	108825.0	170
98040	133744.0	299
98042	31400.0	50
98043	4727.0	13
98045	0	0
98047	0	0
98051	0	0
98052	76367.0	153
98053	56300.0	76
98055	10200.0	22
98056	18957.0	26
98058	2000.0	2
98059	2100.0	7
98065	250.0	1
98068	0	0
98070	26900.0	36
98072	67500.0	121
98092	25200.0	27
980HH	0	0
980XX	0	0
98101	129389.0	232
98102	97625.0	186
98103	68700.0	131
98104	137041.0	226
98105	172168.0	316
98106	8639.0	11
98107	18025.0	40
98108	14750.0	35
98109	71837.0	145
98110	89599.0	210
98112	254515.0	455
98115	103466.0	243
98116	73040.0	135
98117	22175.0	48
98118	21850.0	51
98119	115652.0	208
98121	103857.0	189
98122	64500.0	121
98125	24900.0	54
98126	5600.0	13
98133	13150.0	33
98134	6145.0	15
98136	34570.0	76
98144	84515.0	166
98146	13500.0	20
98148	600.0	1
98154	1000.0	2
98155	50925.0	110
98164	1750.0	5
98166	13000.0	36
98168	11650.0	22
98174	0	0
98177	111988.0	189
98178	3200.0	6
98188	8000.0	9
98198	9980.0	21
98199	88750.0	158
981HH	0	0
98201	15840.0	44
98203	21890.0	47
98204	0	0
98205	2500.0	9
98208	5100.0	17
98220	0	0
98221	16975.0	25
98222	0	0
98223	14250.0	23
98224	1500.0	4
98225	34823.0	69
98226	17850.0	33
98230	700.0	3
98232	250.0	1
98233	500.0	2
98235	0	0
98236	4075.0	11
98237	0	0
98238	0	0
98239	3475.0	14
98240	0	0
98241	0	0
98243	5000.0	19
98244	2000.0	6
98245	200.0	1
98247	0	0
98248	1250.0	2
98249	4100.0	7
98250	34200.0	46
98251	0	0
98252	0	0
98253	0	0
98256	0	0
98257	9250.0	15
98258	6200.0	16
98260	11550.0	30
98261	2600.0	7
98262	2500.0	4
98264	2400.0	6
98267	0	0
98270	1750.0	11
98271	22700.0	37
98272	3025.0	11
